pretraining_objective,horizon,fee_bps,spread_multiplier,n_groups,mean_gross_proxy,mean_cost_adjusted_proxy,mean_degradation_percentage,mean_active_fraction,mean_average_cost_per_active_trade
masked_reconstruction,10,0.0,0.0,15,-10224.2,-10224.2,0.0,0.5052264409832705,0.0
masked_reconstruction,10,0.0,0.5,15,-10224.2,-10313.633666666668,0.8720587213976664,0.5052264409832705,0.004999999999999993
masked_reconstruction,10,0.0,1.0,15,-10224.2,-10403.067333333334,1.7441174427953359,0.5052264409832705,0.009999999999999992
masked_reconstruction,10,0.0,2.0,15,-10224.2,-10581.934666666668,3.488234885590671,0.5052264409832705,0.019999999999999993
masked_reconstruction,10,1.0,0.0,15,-10224.2,-10225.988673333333,0.017441174427953367,0.5052264409832705,0.00010000000000000002
masked_reconstruction,10,1.0,0.5,15,-10224.2,-10315.42234,0.8894998958256202,0.5052264409832705,0.005099999999999905
masked_reconstruction,10,1.0,1.0,15,-10224.2,-10404.856006666667,1.7615586172232867,0.5052264409832705,0.010099999999999993
masked_reconstruction,10,1.0,2.0,15,-10224.2,-10583.72334,3.505676060018624,0.5052264409832705,0.020100000000000003
masked_reconstruction,10,2.0,0.0,15,-10224.2,-10227.777346666668,0.034882348855907304,0.5052264409832705,0.00020000000000000004
masked_reconstruction,10,2.0,0.5,15,-10224.2,-10317.211013333335,0.9069410702535758,0.5052264409832705,0.0051999999999999
masked_reconstruction,10,2.0,1.0,15,-10224.2,-10406.64468,1.7789997916512417,0.5052264409832705,0.010199999999999909
masked_reconstruction,10,2.0,2.0,15,-10224.2,-10585.512013333333,3.523117234446578,0.5052264409832705,0.020199999999999992
masked_reconstruction,10,5.0,0.0,15,-10224.2,-10233.143366666665,0.08720587213976681,0.5052264409832705,0.0005000000000000002
masked_reconstruction,10,5.0,0.5,15,-10224.2,-10322.577033333333,0.959264593537436,0.5052264409832705,0.005499999999999993
masked_reconstruction,10,5.0,1.0,15,-10224.2,-10412.010699999997,1.8313233149351014,0.5052264409832705,0.010499999999999975
masked_reconstruction,10,5.0,2.0,15,-10224.2,-10590.878033333336,3.5754407577304383,0.5052264409832705,0.020499999999999977
masked_reconstruction,10,10.0,0.0,15,-10224.2,-10242.086733333334,0.1744117442795316,0.5052264409832705,0.0010000000000000005
masked_reconstruction,10,10.0,0.5,15,-10224.2,-10331.5204,1.046470465677202,0.5052264409832705,0.006000000000000002
masked_reconstruction,10,10.0,1.0,15,-10224.2,-10420.954066666667,1.9185291870748682,0.5052264409832705,0.010999999999999992
masked_reconstruction,10,10.0,2.0,15,-10224.2,-10599.821400000004,3.662646629870205,0.5052264409832705,0.020999999999999977
masked_reconstruction,20,0.0,0.0,15,-9021.933333333332,-9021.933333333332,0.0,0.630742201644663,0.0
masked_reconstruction,20,0.0,0.5,15,-9021.933333333332,-9134.693,1.2431248743109933,0.630742201644663,0.004999999999999978
masked_reconstruction,20,0.0,1.0,15,-9021.933333333332,-9247.452666666668,2.4862497486219866,0.630742201644663,0.00999999999999998
masked_reconstruction,20,0.0,2.0,15,-9021.933333333332,-9472.972000000002,4.9724994972439776,0.630742201644663,0.01999999999999998
masked_reconstruction,20,1.0,0.0,15,-9021.933333333332,-9024.188526666667,0.02486249748621744,0.630742201644663,0.00010000000000000002
masked_reconstruction,20,1.0,0.5,15,-9021.933333333332,-9136.948193333334,1.2679873717972119,0.630742201644663,0.005099999999999898
masked_reconstruction,20,1.0,1.0,15,-9021.933333333332,-9249.707859999999,2.5111122461082065,0.630742201644663,0.010099999999999993
masked_reconstruction,20,1.0,2.0,15,-9021.933333333332,-9475.227193333332,4.997361994730198,0.630742201644663,0.020100000000000003
masked_reconstruction,20,2.0,0.0,15,-9021.933333333332,-9026.443720000001,0.049724994972440664,0.630742201644663,0.00020000000000000004
masked_reconstruction,20,2.0,0.5,15,-9021.933333333332,-9139.203386666666,1.292849869283434,0.630742201644663,0.0051999999999999
masked_reconstruction,20,2.0,1.0,15,-9021.933333333332,-9251.963053333335,2.535974743594428,0.630742201644663,0.010199999999999902
masked_reconstruction,20,2.0,2.0,15,-9021.933333333332,-9477.482386666667,5.022224492216419,0.630742201644663,0.020199999999999992
masked_reconstruction,20,5.0,0.0,15,-9021.933333333332,-9033.209299999999,0.12431248743109892,0.630742201644663,0.0005000000000000002
masked_reconstruction,20,5.0,0.5,15,-9021.933333333332,-9145.968966666665,1.3674373617420943,0.630742201644663,0.0055000000000000005
masked_reconstruction,20,5.0,1.0,15,-9021.933333333332,-9258.72863333333,2.6105622360530853,0.630742201644663,0.010499999999999975
masked_reconstruction,20,5.0,2.0,15,-9021.933333333332,-9484.247966666668,5.0968119846750755,0.630742201644663,0.020499999999999997
masked_reconstruction,20,10.0,0.0,15,-9021.933333333332,-9044.485266666665,0.24862497486219787,0.630742201644663,0.0010000000000000005
masked_reconstruction,20,10.0,0.5,15,-9021.933333333332,-9157.244933333333,1.4917498491731958,0.630742201644663,0.005999999999999994
masked_reconstruction,20,10.0,1.0,15,-9021.933333333332,-9270.004600000002,2.7348747234841886,0.630742201644663,0.011000000000000001
masked_reconstruction,20,10.0,2.0,15,-9021.933333333332,-9495.523933333334,5.221124472106174,0.630742201644663,0.020999999999999977
masked_reconstruction,50,0.0,0.0,15,-4922.266666666666,-4922.266666666666,0.0,0.8176541798996632,0.0
masked_reconstruction,50,0.0,0.5,15,-4922.266666666666,-5068.495999999999,3.134499899170983,0.8176541798996632,0.004999999999999967
masked_reconstruction,50,0.0,1.0,15,-4922.266666666666,-5214.725333333334,6.268999798341965,0.8176541798996632,0.009999999999999966
masked_reconstruction,50,0.0,2.0,15,-4922.266666666666,-5507.184,12.537999596683933,0.8176541798996632,0.01999999999999997
masked_reconstruction,50,1.0,0.0,15,-4922.266666666666,-4925.1912533333325,0.0626899979834183,0.8176541798996632,0.00010000000000000002
masked_reconstruction,50,1.0,0.5,15,-4922.266666666666,-5071.420586666666,3.1971898971544026,0.8176541798996632,0.005099999999999898
masked_reconstruction,50,1.0,1.0,15,-4922.266666666666,-5217.649919999999,6.331689796325383,0.8176541798996632,0.010099999999999979
masked_reconstruction,50,1.0,2.0,15,-4922.266666666666,-5510.108586666667,12.600689594667351,0.8176541798996632,0.020100000000000003
masked_reconstruction,50,2.0,0.0,15,-4922.266666666666,-4928.1158399999995,0.12537999596684188,0.8176541798996632,0.00020000000000000004
masked_reconstruction,50,2.0,0.5,15,-4922.266666666666,-5074.345173333333,3.259879895137822,0.8176541798996632,0.0051999999999999
masked_reconstruction,50,2.0,1.0,15,-4922.266666666666,-5220.574506666667,6.394379794308804,0.8176541798996632,0.010199999999999902
masked_reconstruction,50,2.0,2.0,15,-4922.266666666666,-5513.033173333333,12.663379592650768,0.8176541798996632,0.02019999999999998
masked_reconstruction,50,5.0,0.0,15,-4922.266666666666,-4936.8895999999995,0.31344998991709855,0.8176541798996632,0.0005000000000000002
masked_reconstruction,50,5.0,0.5,15,-4922.266666666666,-5083.118933333332,3.4479498890880818,0.8176541798996632,0.005499999999999986
masked_reconstruction,50,5.0,1.0,15,-4922.266666666666,-5229.348266666667,6.582449788259066,0.8176541798996632,0.010499999999999949
masked_reconstruction,50,5.0,2.0,15,-4922.266666666666,-5521.806933333332,12.85144958660103,0.8176541798996632,0.02049999999999998
masked_reconstruction,50,10.0,0.0,15,-4922.266666666666,-4951.5125333333335,0.6268999798341954,0.8176541798996632,0.0010000000000000005
masked_reconstruction,50,10.0,0.5,15,-4922.266666666666,-5097.741866666666,3.76139987900518,0.8176541798996632,0.005999999999999988
masked_reconstruction,50,10.0,1.0,15,-4922.266666666666,-5243.9712,6.895899778176162,0.8176541798996632,0.010999999999999985
masked_reconstruction,50,10.0,2.0,15,-4922.266666666666,-5536.429866666668,13.164899576518126,0.8176541798996632,0.02099999999999995
next_field,10,0.0,0.0,15,-2465.4666666666667,-2465.4666666666667,0.0,0.11431133390028872,0.0
next_field,10,0.0,0.5,15,-2465.4666666666667,-2486.0026666666668,0.814209267663109,0.11431133390028872,0.004999999999999964
next_field,10,0.0,1.0,15,-2465.4666666666667,-2506.538666666667,1.6284185353262188,0.11431133390028872,0.009999999999999962
next_field,10,0.0,2.0,15,-2465.4666666666667,-2547.6106666666665,3.2568370706524417,0.11431133390028872,0.019999999999999966
next_field,10,1.0,0.0,15,-2465.4666666666667,-2465.877386666667,0.01628418535326039,0.11431133390028872,0.0001
next_field,10,1.0,0.5,15,-2465.4666666666667,-2486.4133866666666,0.8304934530163733,0.11431133390028872,0.005099999999999964
next_field,10,1.0,1.0,15,-2465.4666666666667,-2506.9493866666667,1.6447027206794822,0.11431133390028872,0.0101
next_field,10,1.0,2.0,15,-2465.4666666666667,-2548.021386666667,3.2731212560057013,0.11431133390028872,0.020100000000000003
next_field,10,2.0,0.0,15,-2465.4666666666667,-2466.288106666667,0.03256837070652399,0.11431133390028872,0.0002
next_field,10,2.0,0.5,15,-2465.4666666666667,-2486.8241066666665,0.8467776383696336,0.11431133390028872,0.005199999999999954
next_field,10,2.0,1.0,15,-2465.4666666666667,-2507.3601066666665,1.6609869060327433,0.11431133390028872,0.010199999999999964
next_field,10,2.0,2.0,15,-2465.4666666666667,-2548.4321066666666,3.2894054413589617,0.11431133390028872,0.0202
next_field,10,5.0,0.0,15,-2465.4666666666667,-2467.5202666666664,0.08142092676630878,0.11431133390028872,0.0005000000000000001
next_field,10,5.0,0.5,15,-2465.4666666666667,-2488.0562666666665,0.8956301944294218,0.11431133390028872,0.0054999999999999815
next_field,10,5.0,1.0,15,-2465.4666666666667,-2508.5922666666665,1.7098394620925335,0.11431133390028872,0.010499999999999954
next_field,10,5.0,2.0,15,-2465.4666666666667,-2549.664266666666,3.3382579974187525,0.11431133390028872,0.020499999999999952
next_field,10,10.0,0.0,15,-2465.4666666666667,-2469.573866666666,0.16284185353262168,0.11431133390028872,0.0010000000000000002
next_field,10,10.0,0.5,15,-2465.4666666666667,-2490.1098666666667,0.9770511211957313,0.11431133390028872,0.005999999999999981
next_field,10,10.0,1.0,15,-2465.4666666666667,-2510.6458666666667,1.7912603888588394,0.11431133390028872,0.01099999999999998
next_field,10,10.0,2.0,15,-2465.4666666666667,-2551.717866666667,3.4196789241850607,0.11431133390028872,0.020999999999999956
next_field,20,0.0,0.0,15,-2870.6666666666665,-2870.6666666666665,0.0,0.19625571914653156,0.0
next_field,20,0.0,0.5,15,-2870.6666666666665,-2906.988,1.7957811799165766,0.19625571914653156,0.004999999999999972
next_field,20,0.0,1.0,15,-2870.6666666666665,-2943.309333333333,3.5915623598331483,0.19625571914653156,0.009999999999999972
next_field,20,0.0,2.0,15,-2870.6666666666665,-3015.9519999999998,7.183124719666301,0.19625571914653156,0.01999999999999997
next_field,20,1.0,0.0,15,-2870.6666666666665,-2871.393093333333,0.035915623598331906,0.19625571914653156,0.0001
next_field,20,1.0,0.5,15,-2870.6666666666665,-2907.7144266666664,1.8316968035149068,0.19625571914653156,0.005099999999999944
next_field,20,1.0,1.0,15,-2870.6666666666665,-2944.0357599999998,3.627477983431481,0.19625571914653156,0.010099999999999991
next_field,20,1.0,2.0,15,-2870.6666666666665,-3016.6784266666664,7.219040343264632,0.19625571914653156,0.020100000000000003
next_field,20,2.0,0.0,15,-2870.6666666666665,-2872.11952,0.07183124719666284,0.19625571914653156,0.0002
next_field,20,2.0,0.5,15,-2870.6666666666665,-2908.440853333333,1.8676124271132393,0.19625571914653156,0.005199999999999944
next_field,20,2.0,1.0,15,-2870.6666666666665,-2944.762186666667,3.663393607029815,0.19625571914653156,0.010199999999999947
next_field,20,2.0,2.0,15,-2870.6666666666665,-3017.4048533333334,7.254955966862963,0.19625571914653156,0.020199999999999992
next_field,20,5.0,0.0,15,-2870.6666666666665,-2874.2987999999996,0.1795781179916576,0.19625571914653156,0.0005000000000000001
next_field,20,5.0,0.5,15,-2870.6666666666665,-2910.6201333333333,1.9753592979082328,0.19625571914653156,0.005499999999999971
next_field,20,5.0,1.0,15,-2870.6666666666665,-2946.9414666666667,3.771140477824808,0.19625571914653156,0.010499999999999971
