pretraining_objective,horizon,confidence_bucket,fill_assumption,n_groups,total_filled,total_adverse,mean_adverse_fraction,weighted_adverse_fraction,adverse_selection_mode
next_field,50.0,0.50-0.70,aggressive_crossing,1,111344,32416,0.2911337835895962,0.2911337835895962,label_proxy
next_field,50.0,0.50-0.70,passive_optimistic,1,111344,32416,0.2911337835895962,0.2911337835895962,label_proxy
next_field,50.0,0.70-0.85,aggressive_crossing,1,19747,5600,0.2835873803615739,0.28358738036157394,label_proxy
next_field,50.0,0.70-0.85,passive_conservative,1,9460,2575,0.272198731501057,0.27219873150105706,label_proxy
next_field,50.0,0.70-0.85,passive_optimistic,1,19747,5600,0.2835873803615739,0.28358738036157394,label_proxy
next_field,50.0,0.85-1.00,aggressive_crossing,1,1899,526,0.2769878883622959,0.27698788836229593,label_proxy
next_field,50.0,0.85-1.00,passive_conservative,1,1899,526,0.2769878883622959,0.27698788836229593,label_proxy
next_field,50.0,0.85-1.00,passive_optimistic,1,1899,526,0.2769878883622959,0.27698788836229593,label_proxy
supervised,10.0,0.33-0.50,aggressive_crossing,1,167717,32081,0.1912805499740634,0.19128054997406346,label_proxy
supervised,10.0,0.33-0.50,passive_optimistic,1,167717,32081,0.1912805499740634,0.19128054997406346,label_proxy
supervised,10.0,0.50-0.70,aggressive_crossing,1,62012,9458,0.1525188673160033,0.15251886731600336,label_proxy
supervised,10.0,0.50-0.70,passive_optimistic,1,62012,9458,0.1525188673160033,0.15251886731600336,label_proxy
supervised,10.0,0.70-0.85,aggressive_crossing,1,1025,90,0.0878048780487804,0.08780487804878048,label_proxy
supervised,10.0,0.70-0.85,passive_conservative,1,241,15,0.0622406639004149,0.06224066390041494,label_proxy
supervised,10.0,0.70-0.85,passive_optimistic,1,1025,90,0.0878048780487804,0.08780487804878048,label_proxy
supervised,20.0,0.33-0.50,aggressive_crossing,1,225816,56292,0.2492826017642682,0.24928260176426825,label_proxy
supervised,20.0,0.33-0.50,passive_optimistic,1,225816,56292,0.2492826017642682,0.24928260176426825,label_proxy
supervised,20.0,0.50-0.70,aggressive_crossing,1,100218,21917,0.2186932487177952,0.21869324871779522,label_proxy
supervised,20.0,0.50-0.70,passive_optimistic,1,100218,21917,0.2186932487177952,0.21869324871779522,label_proxy
supervised,20.0,0.70-0.85,aggressive_crossing,1,2970,432,0.1454545454545454,0.14545454545454545,label_proxy
supervised,20.0,0.70-0.85,passive_conservative,1,340,33,0.0970588235294117,0.09705882352941177,label_proxy
supervised,20.0,0.70-0.85,passive_optimistic,1,2970,432,0.1454545454545454,0.14545454545454545,label_proxy
