run_id,fold,horizon,seed,lookback,model_family,confidence_threshold,n_total,n_active,active_fraction,macro_f1,mcc
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.5,38378,19621,0.5112564490072438,0.7240041450375765,0.6149926660553799
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.6,38378,14937,0.3892073583824066,0.777957421053136,0.6940887041316977
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.7,38378,12281,0.32000104226379694,0.8099205515070667,0.741399278997861
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.8,38378,9888,0.25764761061024544,0.8460354427168975,0.7926685536370502
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.9,38378,6526,0.17004533847516806,0.8866622144689239,0.848933426330202
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.0,38348,38348,1.0,0.2729783754213661,-0.03364387997373246
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.5,38348,19556,0.5099614060707207,0.2419424897923725,0.0
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.6,38348,19543,0.5096224053405654,0.24190656277507905,0.0
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.7,38348,0,0.0,,
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.8,38348,0,0.0,,
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.9,38348,0,0.0,,
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.0,38348,38348,1.0,0.5056787374273811,0.30485204100548563
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.5,38348,27729,0.7230885574215082,0.5858788051044519,0.4126253430080659
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.6,38348,18845,0.4914206738291436,0.7091168810665917,0.5903124449582046
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.7,38348,14044,0.3662250964848232,0.7910404254126678,0.7142002816795089
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.8,38348,10655,0.27785021383122976,0.8361827403809957,0.7812301140973645
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.9,38348,6860,0.17888807760509023,0.8844668228537215,0.8484923206916567
fold_1__h10__seed_1__lb100__supervised,1,10,1,100,matrix_transformer,0.0,38298,38298,1.0,0.2666516771363188,-0.03405456590077106
fold_1__h10__seed_1__lb100__supervised,1,10,1,100,matrix_transformer,0.5,38298,19510,0.5094260796908455,0.24234713296142849,0.0
fold_1__h10__seed_1__lb100__supervised,1,10,1,100,matrix_transformer,0.6,38298,19478,0.5085905269204658,0.24229549985293639,0.0
fold_1__h10__seed_1__lb100__supervised,1,10,1,100,matrix_transformer,0.7,38298,0,0.0,,
fold_1__h10__seed_1__lb100__supervised,1,10,1,100,matrix_transformer,0.8,38298,0,0.0,,
fold_1__h10__seed_1__lb100__supervised,1,10,1,100,matrix_transformer,0.9,38298,0,0.0,,
fold_1__h10__seed_1__lb100__deeplob_style__supervised,1,10,1,100,deeplob_style,0.0,38298,38298,1.0,0.44411684668780776,0.24419676381367555
fold_1__h10__seed_1__lb100__deeplob_style__supervised,1,10,1,100,deeplob_style,0.5,38298,36346,0.9490312810068411,0.4469706939783759,0.2566264792496492
fold_1__h10__seed_1__lb100__deeplob_style__supervised,1,10,1,100,deeplob_style,0.6,38298,32610,0.8514804950650164,0.45573557474358756,0.2803184922037304
fold_1__h10__seed_1__lb100__deeplob_style__supervised,1,10,1,100,deeplob_style,0.7,38298,28793,0.7518147161731683,0.46472429037191293,0.30243655782033474
fold_1__h10__seed_1__lb100__deeplob_style__supervised,1,10,1,100,deeplob_style,0.8,38298,23071,0.6024074364196563,0.4839315228810261,0.3332237097286217
fold_1__h10__seed_1__lb100__deeplob_style__supervised,1,10,1,100,deeplob_style,0.9,38298,12877,0.33623165700558777,0.5711067710562049,0.45582915636051513
fold_1__h10__seed_2__lb20__supervised,1,10,2,20,matrix_transformer,0.0,38378,38378,1.0,0.6885389148367689,0.5691618482230616
fold_1__h10__seed_2__lb20__supervised,1,10,2,20,matrix_transformer,0.5,38378,35659,0.9291521184011673,0.7136841847453673,0.6070422199122608
fold_1__h10__seed_2__lb20__supervised,1,10,2,20,matrix_transformer,0.6,38378,32463,0.8458752410235031,0.7412464820157729,0.6486003469190235
fold_1__h10__seed_2__lb20__supervised,1,10,2,20,matrix_transformer,0.7,38378,29363,0.7650997967585595,0.7702386504826614,0.691048551523459
fold_1__h10__seed_2__lb20__supervised,1,10,2,20,matrix_transformer,0.8,38378,25945,0.6760383553077284,0.8008063012285288,0.7352659646033607
fold_1__h10__seed_2__lb20__supervised,1,10,2,20,matrix_transformer,0.9,38378,20565,0.5358538746156652,0.8342071982540817,0.7828033235394661
fold_1__h10__seed_2__lb20__deeplob_style__supervised,1,10,2,20,deeplob_style,0.0,38378,38378,1.0,0.6336027393177105,0.5225967069215747
fold_1__h10__seed_2__lb20__deeplob_style__supervised,1,10,2,20,deeplob_style,0.5,38378,34932,0.9102089738912919,0.6605335254279922,0.5683678400609917
fold_1__h10__seed_2__lb20__deeplob_style__supervised,1,10,2,20,deeplob_style,0.6,38378,31047,0.8089791026108708,0.6927389468376081,0.6137837551640457
fold_1__h10__seed_2__lb20__deeplob_style__supervised,1,10,2,20,deeplob_style,0.7,38378,26852,0.6996716869039554,0.7321369696271506,0.6621624100434345
fold_1__h10__seed_2__lb20__deeplob_style__supervised,1,10,2,20,deeplob_style,0.8,38378,21604,0.5629266767418833,0.7803352527557896,0.7191364279005865
fold_1__h10__seed_2__lb20__deeplob_style__supervised,1,10,2,20,deeplob_style,0.9,38378,10119,0.26366668403772997,0.8703008054304039,0.8301911389797426
fold_1__h10__seed_2__lb50__supervised,1,10,2,50,matrix_transformer,0.0,38348,38348,1.0,0.63934248711728,0.48455656072913006
