model_family,horizon,lookback,confidence_threshold,run_count,active_fraction_mean,active_fraction_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std
deeplob_style,10,20,0.0,15,1.0,0.0,0.5309623442214854,0.06189386468178619,0.36099980288981864,0.08446750255060426
deeplob_style,10,20,0.5,15,0.8767040996452966,0.10495032182701881,0.5639857636206304,0.07768492001311748,0.4114648749101573,0.10591489873774053
deeplob_style,10,20,0.6,15,0.7297033183618378,0.11168443439854728,0.6126180630867781,0.08338025044280169,0.4789402536342529,0.11178986244279941
deeplob_style,10,20,0.7,15,0.5973891020231529,0.11679009248421018,0.6672945713158808,0.09384869157681087,0.5497997436032981,0.12421905858107213
deeplob_style,10,20,0.8,15,0.46809129688058093,0.11791738879707014,0.7274710318836014,0.10860005898720947,0.6283068430527332,0.14454474187081587
deeplob_style,10,20,0.9,15,0.3084949097878245,0.09952857609946551,0.805325088837843,0.12156674466061006,0.7364100018816855,0.16061153476878454
deeplob_style,10,50,0.0,15,1.0,0.0,0.5071062927411945,0.0624708460971762,0.3321923525812285,0.08362289906967534
deeplob_style,10,50,0.5,15,0.8950162400910481,0.08773946890511775,0.5345528698642824,0.08473598980274032,0.37547203652010547,0.10799845283303554
deeplob_style,10,50,0.6,15,0.7488287040567009,0.13790241504581086,0.5813851475719838,0.11138566379068732,0.4442371678728147,0.13639881610882326
deeplob_style,10,50,0.7,15,0.6234210918630154,0.1748940744916205,0.6361171899035994,0.1402641906386221,0.519982565084676,0.16849085388432927
deeplob_style,10,50,0.8,15,0.5089383705997736,0.19534317544421118,0.6932816244288657,0.1623939667346978,0.5971218498433868,0.19253843885354383
deeplob_style,10,50,0.9,15,0.3578045546045132,0.1884602972230154,0.7692212139097877,0.17646524770886826,0.700253729072976,0.20859203537893184
deeplob_style,10,100,0.0,15,1.0,0.0,0.5049586052750467,0.08957991431066423,0.33377638855895525,0.11683931090227895
deeplob_style,10,100,0.5,15,0.9270882988364825,0.03732817034244046,0.5193642945826774,0.0969903800644773,0.3607137007929755,0.12271970061632417
deeplob_style,10,100,0.6,15,0.7988487350259587,0.11370850069537809,0.5515181024185997,0.1187151241557326,0.4154634872603947,0.1401903399320709
deeplob_style,10,100,0.7,15,0.6881351225530271,0.16213386928228335,0.5888995459343193,0.14319632079528619,0.4719785700714656,0.16611187461221302
deeplob_style,10,100,0.8,15,0.5641303050247665,0.19011045107554667,0.64038200129985,0.16870315929977478,0.5455450806372275,0.1981295674997187
deeplob_style,10,100,0.9,15,0.3962389287456127,0.1876631059438214,0.7077093260953301,0.19656488341441614,0.637483497426384,0.23196930033913535
deeplob_style,50,20,0.0,15,1.0,0.0,0.5391699598605125,0.06696611816387939,0.3594437955693596,0.08108800094409298
deeplob_style,50,20,0.5,15,0.8698032977832859,0.09280894180936519,0.5613056336008169,0.07876760600697799,0.39692848245192464,0.09352460374392016
deeplob_style,50,20,0.6,15,0.6883946370576962,0.19097330212596367,0.6145839803846317,0.07589098020867857,0.4672313048843055,0.09134160465917805
deeplob_style,50,20,0.7,15,0.5337670011115261,0.2380792853437969,0.678970600088246,0.10262156828939532,0.5564659913288672,0.12000648641614857
deeplob_style,50,20,0.8,15,0.39962918964192323,0.23411057601524546,0.7366885346458226,0.11652540374427925,0.6393198972909799,0.13693618390989817
deeplob_style,50,20,0.9,15,0.256442283705706,0.21507438520806693,0.8063137260023637,0.13556557397154467,0.7403545484346671,0.15844943670073847
deeplob_style,50,50,0.0,15,1.0,0.0,0.505083260138304,0.059873637328496015,0.3184431003908511,0.08369016631334204
deeplob_style,50,50,0.5,15,0.8379563733504607,0.14027369370146933,0.529838011244435,0.08656988157347875,0.3650931882358374,0.09434439735559408
deeplob_style,50,50,0.6,15,0.6890768733377648,0.21778047466249373,0.5643260312963154,0.1173839032950484,0.4198809550078684,0.12248375539888798
deeplob_style,50,50,0.7,15,0.5413538923587318,0.29061603931769164,0.6221213671611351,0.13509593981898368,0.49718169438980914,0.14014271039047316
deeplob_style,50,50,0.8,15,0.40442128747222955,0.3061050219954808,0.7101886174236124,0.15859460564124053,0.5537147166067925,0.2188789558742798
deeplob_style,50,50,0.9,15,0.2754645522345778,0.2449258634334626,0.7639423885488923,0.17655204899254814,0.6205903848561771,0.2634798533465814
deeplob_style,50,100,0.0,15,1.0,0.0,0.4922786354568898,0.0549061290846977,0.30850704845925087,0.07581094798572205
deeplob_style,50,100,0.5,15,0.9247646885284683,0.052159743055150344,0.4968476025895024,0.06405069273801348,0.32590717647491607,0.07744678349062431
deeplob_style,50,100,0.6,15,0.8111042268779142,0.11235948882609706,0.5111746994278434,0.08997956328542833,0.35791695964466747,0.1004180442357147
deeplob_style,50,100,0.7,15,0.7034068475962031,0.16917438968646742,0.5265792863777116,0.12993818037674829,0.39130666643002143,0.14220772094927572
deeplob_style,50,100,0.8,15,0.5645233160935805,0.24447672353304095,0.5450017847101445,0.1715397653224458,0.42277702720844373,0.20588511442443694
deeplob_style,50,100,0.9,15,0.3646265037593274,0.24927556622338687,0.6425415252595307,0.18887248989927713,0.5565508714488027,0.2153933447190506
matrix_transformer,10,20,0.0,15,1.0,0.0,0.7311069748188268,0.026743309355171736,0.6256524511216652,0.03744687164472246
matrix_transformer,10,20,0.5,15,0.9214568815888848,0.014142091795323853,0.7644310958533004,0.028775114077207616,0.6746712122967955,0.03934617125267377
matrix_transformer,10,20,0.6,15,0.8152262544890561,0.01792548194950183,0.8128481451486955,0.0375635222587578,0.7469604728553768,0.05245845902579071
matrix_transformer,10,20,0.7,15,0.7408408151896229,0.0210709828940556,0.8472599371391402,0.03864263179497261,0.7960975647535895,0.05337353459118002
matrix_transformer,10,20,0.8,15,0.6713842332447779,0.03272130877817321,0.874407571533527,0.035902581236526565,0.8329212204450126,0.04808609581899502
matrix_transformer,10,20,0.9,15,0.5544707235854732,0.051950571087431875,0.9056927782207195,0.03236587409161349,0.8744152421232022,0.04201597028127389
matrix_transformer,10,50,0.0,15,1.0,0.0,0.6539327960843377,0.16261855458172061,0.5228019246303185,0.22550888332252958
matrix_transformer,10,50,0.5,15,0.8660698239595254,0.14700394649421084,0.6787136079335006,0.1806718189833257,0.5664701174865624,0.23580863870120916
matrix_transformer,10,50,0.6,15,0.7824487965382139,0.12317288909010471,0.7140106618249099,0.1944020710234558,0.6180149642093131,0.2564349521887688
matrix_transformer,10,50,0.7,15,0.6435238677586703,0.2667745561997212,0.8227259088264177,0.03412826078855477,0.7643753040145804,0.048545999759281554
matrix_transformer,10,50,0.8,15,0.5674670665632383,0.24514248363039182,0.8547556134506491,0.025137448976196377,0.8083835277769301,0.034692171053784956
matrix_transformer,10,50,0.9,15,0.44638312279145076,0.21734143610576218,0.8692601595285842,0.0734632338492813,0.8510093717608094,0.028321241189318436
matrix_transformer,10,100,0.0,15,1.0,0.0,0.2978346807584551,0.0767476960618979,0.026461273884163646,0.10500100385402666
matrix_transformer,10,100,0.5,15,0.5837752724628003,0.14892781200778332,0.2763980305894483,0.0937358724498705,0.02870344258950534,0.11408843049969417
matrix_transformer,10,100,0.6,15,0.5001765913470777,0.07172939380359541,0.28141538923875964,0.10673335648170477,0.034946361999408905,0.1353466780342464
matrix_transformer,10,100,0.7,15,0.1968888589266423,0.22123123242729645,0.3160032387960186,0.15653638022630842,0.06937834744609897,0.20813504233829688
matrix_transformer,10,100,0.8,15,0.016907673418026355,0.06529992206915254,0.5549814074957969,0.35835338120119853,0.3696349400996796,0.5227427454159335
matrix_transformer,10,100,0.9,15,0.004990430794785686,0.019327855358605605,0.8497825609174593,,0.8270144024138822,
matrix_transformer,50,20,0.0,15,1.0,0.0,0.7514681473812842,0.06235525380314551,0.6286706619878922,0.09204034294194831
matrix_transformer,50,20,0.5,15,0.9312923720364377,0.015217458671821182,0.7744391850621761,0.06240328825790713,0.6627449102774977,0.09221209543468613
matrix_transformer,50,20,0.6,15,0.8250492194395775,0.03969920530871464,0.8058874136142531,0.06245900697920671,0.7108550447639798,0.09055243739648537
matrix_transformer,50,20,0.7,15,0.7187915971004577,0.06391199238448372,0.8370843289955875,0.06144215764835055,0.758501208048271,0.08688087622598004
matrix_transformer,50,20,0.8,15,0.5989096143058344,0.08553440493235341,0.868597999524742,0.05806250867330045,0.8066254481967293,0.07858602720383863
matrix_transformer,50,20,0.9,15,0.4367436086161155,0.10058451148931029,0.9061711580298979,0.052549219187926724,0.8655949477906508,0.0630856982467694
matrix_transformer,50,50,0.0,15,1.0,0.0,0.7108587571040059,0.1266841495229564,0.5691788949769677,0.1852877538660861
matrix_transformer,50,50,0.5,15,0.8713784925030127,0.16394341856912564,0.7380197422574503,0.12391675897759837,0.6089713757357056,0.18225939820106843
matrix_transformer,50,50,0.6,15,0.7443554104177622,0.19926856109194033,0.7638798412256815,0.14532999910553757,0.6544571143155234,0.19601327949613948
matrix_transformer,50,50,0.7,15,0.6305359571998578,0.19831269326480563,0.7888382151939903,0.16566217392367483,0.6963493930368944,0.21157041974092902
matrix_transformer,50,50,0.8,15,0.5131164790759897,0.19061006586574084,0.818713993793315,0.1761326566817856,0.7377430075532604,0.2364131607495223
matrix_transformer,50,50,0.9,15,0.3663174587173567,0.17153466184995936,0.9019056106278327,0.0688380843317268,0.856318530162388,0.0920183305268317
matrix_transformer,50,100,0.0,15,1.0,0.0,0.46269571406508786,0.10700930970477625,0.20369898883393595,0.15529270039105006
matrix_transformer,50,100,0.5,15,0.4331321612579348,0.32072820765792326,0.50013749264216,0.13427226270111797,0.2901187524872235,0.1568769592228787
matrix_transformer,50,100,0.6,15,0.2657181585232594,0.27507027496913095,0.49086456792192545,0.19882676404784144,0.29534864663432153,0.23568608874996036
matrix_transformer,50,100,0.7,15,0.16808663354699396,0.2159800871354058,0.5275109992768326,0.22885595412358106,0.3669588812758483,0.27613477578472884
matrix_transformer,50,100,0.8,15,0.09341145945768034,0.14687188490292505,0.5744926737162618,0.24644483605626225,0.4683267660976167,0.29526399084077803
matrix_transformer,50,100,0.9,15,0.029401463656564406,0.0632371821039658,0.6341043395201835,0.2927150736683848,0.39606579067958975,0.4207600387343793
