seed,model_family,horizon,lookback,run_count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,brier_score_mean,brier_score_std,ece_mean,ece_std
0,deeplob_style,10,20,5,0.5892637413378559,0.12149608070750884,0.5383663184202998,0.06393765448666307,0.377449459663993,0.08536283211113978,0.580854429724341,0.1650931686213899,0.16855555758697896,0.12404646567109828
0,deeplob_style,10,50,5,0.5672129545236521,0.12814196412869797,0.5107411027299358,0.06488151912332164,0.3481876605279129,0.0781970308006141,0.6839519692648467,0.2556008691233508,0.23333699115793632,0.19173990105982544
0,deeplob_style,10,100,5,0.5634849941697824,0.14611078472652372,0.49485418630082273,0.07818185622971273,0.33138123541898473,0.10036449651246578,0.6815146333588542,0.25737067828491755,0.24257751446243114,0.18078038375359884
0,deeplob_style,50,20,5,0.5491040851808927,0.05945740695631906,0.5343948272854678,0.06375584013126492,0.3463591514034646,0.09121978301848728,0.5971769361249556,0.052112115982528975,0.1591329973435101,0.06588671400671367
0,deeplob_style,50,50,5,0.5054131218302282,0.04022418412969626,0.4866532615388316,0.046240176578936504,0.3093576045992984,0.07383961672024728,0.7265069246717637,0.08361439281859182,0.25969350687775433,0.1025800423517665
0,deeplob_style,50,100,5,0.49973133974534817,0.04110545786404403,0.4773591003917046,0.04485831132045473,0.29322978862384375,0.07760729361288035,0.7863224937940656,0.08241303863131458,0.3050564170686467,0.05679699527427807
0,matrix_transformer,10,20,5,0.8028105621181638,0.023646766240048567,0.7334022887547343,0.02542748528515797,0.6308278706111834,0.03699433748943965,0.273903851339603,0.0371749029848856,0.03003494241631794,0.020085479473816878
0,matrix_transformer,10,50,5,0.745171396739856,0.09091878897600711,0.6118965162438036,0.20513851396004418,0.4700189193075646,0.2700774637590001,0.36507536673546165,0.13943624341739871,0.04996133468322622,0.051649151099012844
0,matrix_transformer,10,100,5,0.4777856734425595,0.10372985800367479,0.2727163682716696,0.006958057185243338,0.015831483335345238,0.038629054521943866,0.5934610058720222,0.03686754417849372,0.08853761604545027,0.06352656774895594
0,matrix_transformer,50,20,5,0.7510477992625739,0.06384452668482526,0.7515612973742959,0.0620921297603388,0.6287456819432748,0.09352167311347338,0.35596639073825764,0.0884949012596902,0.059968238916007256,0.04370820208096944
0,matrix_transformer,50,50,5,0.7157216251521676,0.11152445200481233,0.7136542653676436,0.11462433061483514,0.5733211309717039,0.16778684188616827,0.39437142058298075,0.1390831228513024,0.058839870599144264,0.05980097156383825
0,matrix_transformer,50,100,5,0.4305023026209708,0.07775572763524793,0.4222548286663376,0.0760645516035239,0.14893730046376225,0.10960642536172109,0.6445763334947697,0.04423830017006516,0.05740882574515216,0.0497280816076702
1,deeplob_style,10,20,5,0.5721368013180028,0.11585638285944093,0.5350661357764778,0.06566700848785151,0.3574757963372323,0.08067165786589656,0.5958091136106182,0.16175918163340997,0.18079542668083354,0.11458987904175628
1,deeplob_style,10,50,5,0.5790780228118602,0.10881136256922744,0.5434318653709271,0.06752168113102879,0.3722348904576792,0.09482982384478457,0.5537556554386587,0.15267436800956702,0.1537802584786531,0.1064649797911078
