horizon,lookback,model_family,pretraining_objective,completed_run_count,failed_run_count,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_mcc,std_mcc,mean_ece,std_ece,mean_brier_score,mean_nll
10,20,deeplob_style,none,15,0,0.5668792991716924,0.10841668987322886,0.5309623442214852,0.05979515409209546,0.3609998028898186,0.08160336015136824,0.19983225793376608,0.11810874129977099,0.6217140832572361,1.1567944944620538
10,20,matrix_transformer,none,15,0,0.7991857122731069,0.02343126004908314,0.7311069748188268,0.025836491420379103,0.6256524511216652,0.036177114997991436,0.03227318320869392,0.01844215505820417,0.27858671854805467,0.507566667768615
10,50,deeplob_style,none,15,0,0.5395055190661385,0.1014733272099483,0.5071062927411945,0.060352571096493224,0.3321923525812284,0.08078739566848266,0.23504828885559606,0.14253367143924595,0.6767142152817793,1.3335517155886245
10,50,matrix_transformer,none,15,0,0.7508458400255472,0.11319586704514863,0.6539327960843376,0.15710444935763226,0.5228019246303185,0.21786227918928353,0.04926953785088055,0.03888242784283541,0.34107348639174906,0.6079412614759643
10,100,deeplob_style,none,15,0,0.5576499096508022,0.12412336822917971,0.5049586052750468,0.08654241914448015,0.33377638855895525,0.11287749820333888,0.236081143837508,0.1552975180354424,0.6594996385863063,1.275802768518392
10,100,matrix_transformer,none,15,0,0.4552983143272085,0.09754416429183062,0.29783468075845515,0.07414531853566678,0.02646127388416365,0.10144060703845265,0.11622171160678921,0.057817467991760796,0.6151459061808209,1.0310477975615275
50,20,deeplob_style,none,15,0,0.557656708331175,0.054332961974149156,0.5391699598605125,0.06469541650284105,0.3594437955693596,0.0783384514184144,0.17597544724839997,0.08173480717164427,0.6154668590693809,1.1913266108081282
50,20,matrix_transformer,none,15,0,0.751056821485119,0.061623680849181,0.7514681473812842,0.06024089833104289,0.6286706619878922,0.08891941902801671,0.05839359319995417,0.03448256045762296,0.35271530488274716,0.6283632509139282
50,50,deeplob_style,none,15,0,0.522279887081187,0.05311318364487872,0.5050832601383038,0.057843429046129796,0.3184431003908511,0.08085238199985942,0.20475613019556632,0.09918963681064563,0.6652805813843138,1.2231055492572596
50,50,matrix_transformer,none,15,0,0.7128709895571722,0.11864209942831715,0.710858757104006,0.122388515900517,0.5691788949769677,0.17900497651524483,0.05497468421907212,0.04254468081774362,0.39072226096059826,0.6845137431697583
50,100,deeplob_style,none,15,0,0.511422809811022,0.04630549728788848,0.4922786354568899,0.0530443601494176,0.30850704845925087,0.07324033391645797,0.2822262025540581,0.08281529974047369,0.7480107314030682,1.6027734431574772
50,100,matrix_transformer,none,15,0,0.4697180979664079,0.10088751063098064,0.4626957140650879,0.10338081481877189,0.20369898883393595,0.1500270018199884,0.058933502010701314,0.02863802865541527,0.6126659854744932,1.0225122106072955
