horizon,fold,delta_macro_f1
10,fold_1,-0.15080423424084163
10,fold_2,-0.2150459257753337
10,fold_3,-0.25607092246225827
10,fold_4,-0.28869580016433016
10,fold_5,-0.28806984586259393
20,fold_1,-0.0948753549575343
20,fold_2,-0.1634140662511272
20,fold_3,-0.2068378019269783
20,fold_4,-0.23182116297087887
20,fold_5,-0.2182602688336995
50,fold_1,-0.029482045273476858
50,fold_2,-0.031599234706593815
50,fold_3,-0.037184998005682326
50,fold_4,-0.031237437820273627
50,fold_5,-0.044012293325769704
