horizon,feature_group,mean_macro_f1
10,depth_imbalance,0.2514215985791306
10,depth_slope,0.2514283766032149
10,liquidity_concentration,0.251424909099471
10,microprice,0.251448671610168
10,midprice,0.2514283766032149
10,price_levels,0.26049429204303853
10,size_levels,0.25197561336934027
10,snapshot_order_flow_proxy,0.4489052297746797
10,spread,0.26654451380353383
10,top_of_book,0.2514283766032149
10,top_of_book_imbalance,0.25142803602625835
10,volatility_proxy,0.2515951934276392
20,depth_imbalance,0.22054989947990933
20,depth_slope,0.22077030575447132
20,liquidity_concentration,0.22056811935520748
20,microprice,0.2205708275530974
20,midprice,0.2205701119065763
20,price_levels,0.2397000190854936
20,size_levels,0.22642809803862118
20,snapshot_order_flow_proxy,0.4212123310962317
20,spread,0.24831865983204326
20,top_of_book,0.2206399326174365
20,top_of_book_imbalance,0.22057133296620035
20,volatility_proxy,0.22099807597727877
50,depth_imbalance,0.16594262971862134
50,depth_slope,0.23620510478409865
50,liquidity_concentration,0.16606724400980766
50,microprice,0.1859365727050998
50,midprice,0.1859460192470522
50,price_levels,0.3397807455049391
50,size_levels,0.3470616882757106
50,snapshot_order_flow_proxy,0.2839355698275857
50,spread,0.2885023596156787
50,top_of_book,0.2782921063538639
50,top_of_book_imbalance,0.16568506212426815
50,volatility_proxy,0.1664318013858669
