horizon,fold,delta_macro_f1
10,fold_1,-0.4968646792734493
10,fold_2,-0.5166751323786302
10,fold_3,-0.5150065696406108
10,fold_4,-0.4939890563810639
10,fold_5,-0.4979863572540644
50,fold_1,-0.1779778119641664
50,fold_2,-0.1802086704004677
50,fold_3,-0.1632703288880481
50,fold_4,-0.1402961662766697
50,fold_5,-0.187203527919811
