fold,horizon,seed,lookback,model_family,pretraining_objective,accuracy,macro_f1,mcc,ece,brier_score,nll,class_f1_down,class_f1_stationary,class_f1_up,checkpoint_hash,prediction_file,status,run_id,run_dir,architecture_hash,preprocessing_hash
1,10,0,10,matrix_transformer,none,0.590340731478587,0.2598609546144611,0.0319831406009846,0.13033527113480917,0.5878413779888315,0.9933300906848914,0.027331995987963893,0.7424397322164693,0.009811135638950209,,runs/fold_1/horizon_10/seed_0/lookback_10/supervised/predictions.csv,completed,fold_1__h10__seed_0__lb10__supervised,runs/fold_1/horizon_10/seed_0/lookback_10/supervised,da77b6f72f5bb5090089251babf3f12bfd3eef7bfe55a1be4bda936f947321dc,96f9ed0bc32d73bb3eaf8f20d675a1cb951adee19d8a5563e6c059bc9e2448c0
1,10,0,10,matrix_transformer,masked_reconstruction,0.5912264249244555,0.24812577739607686,0.012203749026723299,0.1270182237023448,0.590658213461356,0.9998028165397608,0.0012993762993762994,0.7430779558888543,0.0,ea1fa96f65e9ae742454f878c3eb2fd0d64abed48ed614a7b2804b0bb1141ba4,runs/fold_1/horizon_10/seed_0/lookback_10/masked_reconstruction/predictions.csv,completed,fold_1__h10__seed_0__lb10__masked_reconstruction,runs/fold_1/horizon_10/seed_0/lookback_10/masked_reconstruction,da77b6f72f5bb5090089251babf3f12bfd3eef7bfe55a1be4bda936f947321dc,96f9ed0bc32d73bb3eaf8f20d675a1cb951adee19d8a5563e6c059bc9e2448c0
1,10,0,10,matrix_transformer,next_field,0.5911222256955299,0.24767518009168302,0.0,0.16919407152495625,0.6214368155048346,1.0738281822469482,0.0,0.7430255402750491,0.0,bc13e1bbec2d8c65839eebcf3b6e5eecf994194def820f5bdad4a91fca8aa8fb,runs/fold_1/horizon_10/seed_0/lookback_10/next_field/predictions.csv,completed,fold_1__h10__seed_0__lb10__next_field,runs/fold_1/horizon_10/seed_0/lookback_10/next_field,da77b6f72f5bb5090089251babf3f12bfd3eef7bfe55a1be4bda936f947321dc,96f9ed0bc32d73bb3eaf8f20d675a1cb951adee19d8a5563e6c059bc9e2448c0
