ssl_objective,horizon,matched_run_count,mean_delta_macro_f1,mean_delta_mcc,mean_delta_ece,mean_delta_brier_score,macro_f1_wins,ece_wins
market_state_multitask,10,15,0.05590013699937781,0.09784631738223976,-0.018191297106665838,-0.07549148604569163,9,7
market_state_multitask,50,15,-0.0334631899603205,-0.04599648254738874,0.012190701141201441,0.0284102827468907,4,5
