horizon,model,ablation_mode,feature_group,completed_runs,failed_runs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_mcc,std_mcc,mean_ece
10,logistic,all_features,all,15,0,0.7422715740953186,0.06206949120033188,0.6090270207086947,0.12440074902051616,0.49824970862950824,0.147547029203592,0.08318824481902072
10,logistic,derived_microstructure_only,derived_microstructure,15,0,0.7424679164145629,0.06396001422187914,0.60790570392301,0.12966575386509718,0.4981584696415599,0.1522295236263894,0.08527089623095889
10,logistic,no_proxy_features,no_proxy,15,0,0.6089061842753004,0.02042570668642544,0.27539732609095935,0.009423231680203434,0.06964597262072778,0.025293444084300426,0.025901936386139787
10,logistic,only_one_group,depth_imbalance,15,0,0.6057209616060406,0.021336837523835556,0.2514152861765014,0.005458235449009626,-0.0016018636116916334,0.003634770846196357,0.024891081694402777
10,logistic,only_one_group,depth_slope,15,0,0.6057833660448411,0.021298969614078542,0.25142837660321493,0.005449979854387344,0.0,0.0,0.029056840062762487
10,logistic,only_one_group,liquidity_concentration,15,0,0.6057675465169328,0.02130807243247294,0.2514242232926426,0.005452362204140393,-0.0014238873260420946,0.001780645116793721,0.02486814933425241
10,logistic,only_one_group,microprice,15,0,0.605788768092217,0.021297027261998475,0.25144867161016804,0.005442312597810801,0.0017532426706844894,0.002667973053220158,0.031567043543759825
10,logistic,only_one_group,midprice,15,0,0.6057833660448411,0.021298969614078542,0.25142837660321493,0.005449979854387344,0.0,0.0,0.03138407730605127
10,logistic,only_one_group,price_levels,15,0,0.6065982574064637,0.02078923827194095,0.258065535225522,0.006088888339045911,0.03293875433143501,0.018920852516375344,0.02993451531837047
10,logistic,only_one_group,size_levels,15,0,0.6056518660306084,0.021228547000019096,0.2522020627405114,0.005219745636469663,0.007194927297924506,0.006356589279069662,0.032227975326827495
10,logistic,only_one_group,snapshot_order_flow_proxy,15,0,0.7393493001060936,0.06400795318678484,0.5974920912040652,0.13582242160758012,0.49338843769559015,0.15307248617977984,0.09031312233193296
10,logistic,only_one_group,spread,15,0,0.6087207472977251,0.020189518846713148,0.26717530290107394,0.00495462645843228,0.06431608368030026,0.017493661557627854,0.027530699038116235
10,logistic,only_one_group,top_of_book,15,0,0.6057833660448411,0.021298969614078542,0.25142837660321493,0.005449979854387344,0.0,0.0,0.027094825499000226
10,logistic,only_one_group,top_of_book_imbalance,15,0,0.6057730490087022,0.021300830525989675,0.2514281610707569,0.005449052003446676,-6.753058356910619e-05,0.0015464949434047428,0.024968669561926518
10,logistic,only_one_group,volatility_proxy,15,0,0.605355481845013,0.021381069412412426,0.25159519342763925,0.005633047645613291,-0.004994489023108926,0.00665084160257759,0.031768981331436234
10,logistic,raw_lob_only,raw_lob,15,0,0.6063999320266331,0.020698701967917944,0.25965864386588583,0.004668434565795553,0.03631187880931429,0.01402394108928637,0.029261342682711026
10,logistic,remove_one_group,depth_imbalance,15,0,0.7420692311616146,0.0616502936714602,0.6088444129957075,0.1233445049364343,0.49801783785689324,0.14650980534223115,0.08295647841457585
10,logistic,remove_one_group,depth_slope,15,0,0.742146393635634,0.061833165126806325,0.6089795969806662,0.12381725096394866,0.49801520275911204,0.14727448221031555,0.08325825447320363
10,logistic,remove_one_group,liquidity_concentration,15,0,0.7426039353326193,0.06198883820615916,0.6099076400099517,0.12384467569493084,0.49908815112562604,0.1473294984839502,0.08312523651298101
