ssl_objective,horizon,matched_run_count,mean_delta_macro_f1,mean_delta_mcc,mean_delta_ece,mean_delta_brier_score,macro_f1_wins,ece_wins
market_state_multitask,10,4,0.005507524383666125,0.027906420409354874,0.01146440144522595,-0.0033196668918120996,2,1
market_state_multitask,50,4,-0.04344785802151342,-0.047173922492001225,0.033052072913103255,0.03666400069741775,1,1
