ssl_objective,seed,matched_run_count,mean_delta_macro_f1,mean_delta_mcc,mean_delta_ece,mean_delta_brier_score,macro_f1_wins,ece_wins
market_state_multitask,0,10,0.02769689604392379,0.056615464944082296,0.005259939146806179,-0.030140044217033833,5,4
market_state_multitask,1,10,-0.009657144525009338,-0.007328687398985035,-0.0064811961506810204,-0.006609936092310797,5,3
market_state_multitask,2,10,0.015615669039671523,0.028487974707179266,-0.007779636944321761,-0.033871824638856754,3,5
