horizon,lookback,model_family,pretraining_objective,completed_run_count,failed_run_count,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_mcc,std_mcc,mean_ece,std_ece,mean_brier_score,mean_nll
10,50,matrix_transformer,market_state_multitask,15,0,0.6908064153207747,0.1039722242049208,0.4839247942383957,0.2296785740307011,0.3064944099650033,0.2981621342099139,0.0699166462900704,0.0461815939189853,0.4391284233200925,0.7590883289207356
10,50,matrix_transformer,none,15,0,0.5930474439275439,0.1636504506721623,0.428024657239018,0.212080597995363,0.2086480925827635,0.2913073416022131,0.0881079433967362,0.0488527656778781,0.5146199093657842,0.8815656270945454
50,50,matrix_transformer,market_state_multitask,15,0,0.6402124215763874,0.1464259460250611,0.6363965340749591,0.1519366800729604,0.4673657332294167,0.2187293335568836,0.0804736699052704,0.0315583919181378,0.4655051828922636,0.7973276157079682
50,50,matrix_transformer,none,15,0,0.672125526571423,0.1187675562588585,0.6698597240352797,0.1189208764819545,0.5133622157768055,0.1790842008150349,0.0682829687640689,0.0260031962048323,0.4370949001453729,0.7554784923317553
