grouping,ssl_objective,horizon,threshold,matched_run_count,mean_ssl_active_fraction,mean_ssl_abstention_fraction,mean_ssl_active_examples,mean_supervised_active_fraction,mean_supervised_macro_f1,mean_ssl_macro_f1,mean_delta_macro_f1,mean_supervised_mcc,mean_ssl_mcc,mean_delta_mcc
by_horizon,market_state_multitask,10,0.33,15,1.0,0.0,35529.4,1.0,0.42802465723901795,0.4839247942383958,0.05590013699937783,0.20864809258276354,0.3064944099650033,0.09784631738223978
by_horizon,market_state_multitask,10,0.5,15,0.7936011060683076,0.20639889393169242,28159.666666666668,0.7037493809804419,0.4255043534645492,0.4938827961953029,0.06837844273075375,0.22407895507171594,0.3216588545914546,0.0975798995197387
by_horizon,market_state_multitask,10,0.7,15,0.43821286812469235,0.5617871318753076,15951.133333333333,0.3341776167702853,0.5296742514743074,0.6349957871338722,0.0672362161247552,0.35187065260208594,0.5059965169731835,0.09485495396203555
by_horizon,market_state_multitask,10,0.85,15,0.2915457877312662,0.7084542122687338,10525.6,0.21281252644742252,0.8735174320561079,0.8854317982626405,0.008319019734282757,0.8318844812718573,0.8501347367211874,0.011421510061951134
by_horizon,market_state_multitask,10,0.95,15,0.20431323553147068,0.7956867644685294,7471.666666666667,0.1506056254496707,0.9156970181291151,0.904406842714778,0.0022266518799237967,0.885003775676175,0.8779271504441221,0.003461093850225
by_horizon,market_state_multitask,50,0.33,15,1.0,0.0,35529.4,1.0,0.6698597240352797,0.6363965340749592,-0.033463189960320515,0.5133622157768055,0.46736573322941677,-0.04599648254738877
by_horizon,market_state_multitask,50,0.5,15,0.7996150522579355,0.2003849477420645,28174.2,0.8323829219361811,0.6943778200710317,0.6456853406379274,-0.04869247943310421,0.5511233171726406,0.5008156471872164,-0.050307669985424235
by_horizon,market_state_multitask,50,0.7,15,0.5451784114936572,0.45482158850634274,19278.6,0.5824524142183335,0.7305884598718098,0.7105222534558594,-0.04508903973654062,0.6333731809263659,0.612515474729017,-0.048775133271325474
by_horizon,market_state_multitask,50,0.85,15,0.3663472569667671,0.6336527430332329,13149.4,0.3987633213297848,0.800180770347725,0.8071407373282156,-0.03576420722809803,0.732967832673058,0.7395238761836382,-0.04982609746427046
by_horizon,market_state_multitask,50,0.95,15,0.1880650448558389,0.8119349551441611,6879.866666666667,0.2067804116956324,0.8122489572571446,0.8314918406973093,-0.07204127190982067,0.7646158762924106,0.7697266062743219,-0.12232524940015706
overall,market_state_multitask,,0.33,30,1.0,0.0,35529.4,1.0,0.5489421906371488,0.5601606641566775,0.011218473519528654,0.36100515417978457,0.38693007159721005,0.0259249174174255
overall,market_state_multitask,,0.5,30,0.7966080791631215,0.20339192083687846,28166.933333333334,0.7680661514583116,0.5599410867677904,0.5697840684166152,0.009842981648824767,0.3876011361221783,0.4112372508893355,0.023636114767157223
overall,market_state_multitask,,0.7,30,0.4916956398091748,0.5083043601908251,17614.866666666665,0.45831501549430936,0.6455862947805588,0.677290608274185,0.001713150205665967,0.5142759574045551,0.5656471333164502,0.01107073640924162
overall,market_state_multitask,,0.85,30,0.32894652234901667,0.6710534776509834,11837.5,0.30578792388860365,0.8194798918499309,0.8345426086552644,-0.02539168323694961,0.7589985296727421,0.7782376773717804,-0.03541489569339479
overall,market_state_multitask,,0.95,30,0.19618914019365477,0.8038108598063453,7175.766666666666,0.17869301857265155,0.839472131170821,0.8583552624932188,-0.053474290962384555,0.7962969024460328,0.8095899646526694,-0.09087866358756155
