run_id,fold,horizon,seed,lookback,epoch,train_loss,validation_loss,train_reconstruction,train_future_spread_widening,train_future_volatility,train_future_return,train_future_imbalance,train_contrastive,train_total,validation_reconstruction,validation_future_spread_widening,validation_future_volatility,validation_future_return,validation_future_imbalance,validation_contrastive,validation_total
fold_1__h10__seed_0__lb50__market_state_multitask,1,10,0,50,1,3.32797807330968,3.054690803405616,0.8295491301009971,0.6857737074075817,1.1122685714019185,1.127738353674575,0.9433388976345894,,3.32797807330968,0.5744700118970448,0.6472394845480811,1.0609324351816496,1.0938798014452933,1.0645099515888914,,3.054690803405616
fold_1__h10__seed_0__lb50__market_state_multitask,1,10,0,50,2,3.257798008678964,3.030937542294513,0.7083618475238357,0.6449293130971521,1.2341918105805454,1.1378399945667974,0.9440712627673046,,3.257798008678964,0.5393636107200981,0.6415747589778965,1.0966324739579694,1.1032766883846197,1.0383873698495245,,3.030937542294513
fold_1__h10__seed_0__lb50__market_state_multitask,1,10,0,50,3,3.215893707859668,2.991861149170973,0.676967235296842,0.644700382394864,1.1588302426453971,1.1729728748595978,0.9283764906290258,,3.215893707859668,0.4919682731210738,0.643380662658707,1.0704203265495014,1.1015922713621018,1.0828002749776549,,2.991861149170973
fold_1__h10__seed_0__lb50__market_state_multitask,1,10,0,50,4,3.1731180573664663,2.953017854333005,0.6596043823777026,0.6598288272499988,1.1165486955986894,1.168006423883234,0.9146369329032484,,3.1731180573664663,0.4632678159297366,0.6399056961443771,1.0615211655350876,1.0933843591868186,1.0913043831511264,,2.953017854333005
fold_1__h10__seed_0__lb50__market_state_multitask,1,10,0,50,5,3.0759090266164857,2.9407357906271345,0.646292523085655,0.6379807293326176,1.0945853922536777,1.1077067499932216,0.911253441121821,,3.0759090266164857,0.4521024042071334,0.6400438870957862,1.055776945530515,1.087049728034708,1.107346439735371,,2.9407357906271345
fold_1__h50__seed_0__lb50__market_state_multitask,1,50,0,50,1,3.2964335892395984,2.966560932897752,0.839720079537924,0.699825985097176,1.007557853247354,1.1298443674507204,0.9463544018677412,,3.2964335892395984,0.5220531819205457,0.6925626070268692,0.8695688589681234,1.0998885787834267,1.1271067921560598,,2.966560932897752
fold_1__h50__seed_0__lb50__market_state_multitask,1,50,0,50,2,3.182862584525266,2.970058702326181,0.7194214506558831,0.7027201638002162,1.0562774911829913,1.1179298435510334,0.9320249433358824,,3.182862584525266,0.5276089488191807,0.6879836118376738,0.8585334019703496,1.1204622496295318,1.097458045533363,,2.970058702326181
fold_1__h50__seed_0__lb50__market_state_multitask,1,50,0,50,3,3.082025417780026,2.908470057426615,0.6749896407839375,0.6839715224087598,1.0025297670796418,1.0999863413879252,0.927597615814676,,3.082025417780026,0.4803139201238209,0.684915192338319,0.8526101079638395,1.1052675117101256,1.1082518985194545,,2.908470057426615
fold_1__h50__seed_0__lb50__market_state_multitask,1,50,0,50,4,3.01160196604954,2.8795443636633062,0.6525070495622699,0.674363937161056,0.9587680247958784,1.0826592358296572,0.9197392967420404,,3.01160196604954,0.4556404511938376,0.6774421173902759,0.8413295269666998,1.0901744377964886,1.1486871632796571,,2.8795443636633062
fold_1__h50__seed_0__lb50__market_state_multitask,1,50,0,50,5,2.955963460588686,2.861802396990292,0.6348984571619785,0.6692180819873962,0.9277087058643924,1.0628852810703326,0.9194326929377376,,2.955963460588686,0.4431784412757779,0.6748083254287892,0.8363768086502138,1.0935668703948462,1.1389290607376463,,2.861802396990292
