ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason
feature_groups,liquidity_depth_features,fold_1,logistic,test,accuracy,0.5906971898846264,0.594343308070943,-0.0036461181863166603,ok,
feature_groups,liquidity_depth_features,fold_1,logistic,test,macro_f1,0.24905670602420302,0.33282132091497396,-0.08376461489077094,ok,
feature_groups,liquidity_depth_features,fold_1,logistic,test,mcc,0.002979811431890538,0.11839941945666792,-0.11541960802477738,ok,
feature_groups,price_only,fold_1,logistic,validation,accuracy,0.6149822844609415,0.6166694786569934,-0.0016871941960519,ok,
feature_groups,price_only,fold_1,logistic,validation,macro_f1,0.2538654408692019,0.31122033278641087,-0.057354891917208994,ok,
feature_groups,price_only,fold_1,logistic,validation,mcc,0.0,0.09601141106438442,-0.09601141106438442,ok,
feature_groups,price_only,fold_1,logistic,test,accuracy,0.5911659765085814,0.594343308070943,-0.0031773315623616627,ok,
feature_groups,price_only,fold_1,logistic,test,macro_f1,0.24779140157690624,0.33282132091497396,-0.08502991933806772,ok,
feature_groups,price_only,fold_1,logistic,test,mcc,0.005187412117908834,0.11839941945666792,-0.11321200733875908,ok,
feature_groups,labels_excluded,fold_1,logistic,validation,accuracy,0.6166694786569934,0.6166694786569934,0.0,ok,
feature_groups,labels_excluded,fold_1,logistic,validation,macro_f1,0.31122033278641087,0.31122033278641087,0.0,ok,
feature_groups,labels_excluded,fold_1,logistic,validation,mcc,0.09601141106438442,0.09601141106438442,0.0,ok,
feature_groups,labels_excluded,fold_1,logistic,test,accuracy,0.594343308070943,0.594343308070943,0.0,ok,
feature_groups,labels_excluded,fold_1,logistic,test,macro_f1,0.33282132091497396,0.33282132091497396,0.0,ok,
feature_groups,labels_excluded,fold_1,logistic,test,mcc,0.11839941945666792,0.11839941945666792,0.0,ok,
horizon,horizon_10,fold_1,logistic,validation,accuracy,0.6166694786569934,0.6166694786569934,0.0,ok,
horizon,horizon_10,fold_1,logistic,validation,macro_f1,0.31122033278641087,0.31122033278641087,0.0,ok,
horizon,horizon_10,fold_1,logistic,validation,mcc,0.09601141106438442,0.09601141106438442,0.0,ok,
horizon,horizon_10,fold_1,logistic,test,accuracy,0.594343308070943,0.594343308070943,0.0,ok,
horizon,horizon_10,fold_1,logistic,test,macro_f1,0.33282132091497396,0.33282132091497396,0.0,ok,
horizon,horizon_10,fold_1,logistic,test,mcc,0.11839941945666792,0.11839941945666792,0.0,ok,
horizon,horizon_50,fold_1,logistic,validation,accuracy,0.44896237556942803,0.6166694786569934,-0.16770710308756537,ok,
horizon,horizon_50,fold_1,logistic,validation,macro_f1,0.4405348114385165,0.31122033278641087,0.12931447865210566,ok,
horizon,horizon_50,fold_1,logistic,validation,mcc,0.1770970771096052,0.09601141106438442,0.08108566604522079,ok,
horizon,horizon_50,fold_1,logistic,test,accuracy,0.4419355678829075,0.594343308070943,-0.15240774018803555,ok,
horizon,horizon_50,fold_1,logistic,test,macro_f1,0.43945640693667487,0.33282132091497396,0.10663508602170091,ok,
horizon,horizon_50,fold_1,logistic,test,mcc,0.16127240971133025,0.11839941945666792,0.04287299025466233,ok,
horizon,horizon_100,fold_1,logistic,validation,accuracy,0.5059895393959845,0.6166694786569934,-0.11067993926100894,ok,
horizon,horizon_100,fold_1,logistic,validation,macro_f1,0.42123030201079814,0.31122033278641087,0.11000996922438727,ok,
horizon,horizon_100,fold_1,logistic,validation,mcc,0.20393885837237336,0.09601141106438442,0.10792744730798894,ok,
horizon,horizon_100,fold_1,logistic,test,accuracy,0.505221762116832,0.594343308070943,-0.08912154595411104,ok,
