ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,confidence_threshold
calibration,confidence_threshold_0.7,fold_3,elastic_net,test,hit_rate_proxy,0.7601947656725502,0.5983405483405484,0.16185421733200178,ok,,0.7
calibration,confidence_threshold_0,fold_3,elastic_net,test,eligible_predictions,13860.0,13860.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_3,elastic_net,test,eligible_predictions,9811.0,13860.0,-4049.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_3,elastic_net,test,eligible_predictions,6500.0,13860.0,-7360.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_3,elastic_net,test,eligible_predictions,3286.0,13860.0,-10574.0,ok,,0.7
calibration,confidence_threshold_0,fold_4,elastic_net,test,hit_rate_proxy,0.5651593207403167,0.5651593207403167,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_4,elastic_net,test,hit_rate_proxy,0.6312838893484055,0.5651593207403167,0.0661245686080888,ok,,0.5
calibration,confidence_threshold_0.6,fold_4,elastic_net,test,hit_rate_proxy,0.6954209748892172,0.5651593207403167,0.13026165414890045,ok,,0.6
calibration,confidence_threshold_0.7,fold_4,elastic_net,test,hit_rate_proxy,0.7616120218579235,0.5651593207403167,0.19645270111760682,ok,,0.7
calibration,confidence_threshold_0,fold_4,elastic_net,test,eligible_predictions,15723.0,15723.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_4,elastic_net,test,eligible_predictions,10881.0,15723.0,-4842.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_4,elastic_net,test,eligible_predictions,6770.0,15723.0,-8953.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_4,elastic_net,test,eligible_predictions,2928.0,15723.0,-12795.0,ok,,0.7
calibration,confidence_threshold_0,fold_5,elastic_net,test,hit_rate_proxy,0.6338673896968203,0.6338673896968203,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_5,elastic_net,test,hit_rate_proxy,0.7048161574313827,0.6338673896968203,0.07094876773456238,ok,,0.5
calibration,confidence_threshold_0.6,fold_5,elastic_net,test,hit_rate_proxy,0.7427640156453715,0.6338673896968203,0.1088966259485512,ok,,0.6
calibration,confidence_threshold_0.7,fold_5,elastic_net,test,hit_rate_proxy,0.7932910244786945,0.6338673896968203,0.15942363478187416,ok,,0.7
calibration,confidence_threshold_0,fold_5,elastic_net,test,eligible_predictions,20285.0,20285.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_5,elastic_net,test,eligible_predictions,13517.0,20285.0,-6768.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_5,elastic_net,test,eligible_predictions,7670.0,20285.0,-12615.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_5,elastic_net,test,eligible_predictions,3309.0,20285.0,-16976.0,ok,,0.7
calibration,confidence_threshold_0,fold_1,gradient_boosting,test,hit_rate_proxy,0.5641208903410251,0.5641208903410251,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_1,gradient_boosting,test,hit_rate_proxy,0.6238948084334618,0.5641208903410251,0.059773918092436706,ok,,0.5
calibration,confidence_threshold_0.6,fold_1,gradient_boosting,test,hit_rate_proxy,0.6752124230881922,0.5641208903410251,0.1110915327471671,ok,,0.6
calibration,confidence_threshold_0.7,fold_1,gradient_boosting,test,hit_rate_proxy,0.7,0.5641208903410251,0.13587910965897487,ok,,0.7
calibration,confidence_threshold_0,fold_1,gradient_boosting,test,eligible_predictions,19588.0,19588.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_1,gradient_boosting,test,eligible_predictions,13233.0,19588.0,-6355.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_1,gradient_boosting,test,eligible_predictions,6826.0,19588.0,-12762.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_1,gradient_boosting,test,eligible_predictions,1920.0,19588.0,-17668.0,ok,,0.7
calibration,confidence_threshold_0,fold_2,gradient_boosting,test,hit_rate_proxy,0.6622545140637365,0.6622545140637365,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_2,gradient_boosting,test,hit_rate_proxy,0.7405745919633483,0.6622545140637365,0.07832007789961182,ok,,0.5
calibration,confidence_threshold_0.6,fold_2,gradient_boosting,test,hit_rate_proxy,0.7898974159200104,0.6622545140637365,0.12764290185627392,ok,,0.6
calibration,confidence_threshold_0.7,fold_2,gradient_boosting,test,hit_rate_proxy,0.8568738229755178,0.6622545140637365,0.19461930891178136,ok,,0.7
calibration,confidence_threshold_0,fold_2,gradient_boosting,test,eligible_predictions,13901.0,13901.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_2,gradient_boosting,test,eligible_predictions,10477.0,13901.0,-3424.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_2,gradient_boosting,test,eligible_predictions,7701.0,13901.0,-6200.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_2,gradient_boosting,test,eligible_predictions,3717.0,13901.0,-10184.0,ok,,0.7
calibration,confidence_threshold_0,fold_3,gradient_boosting,test,hit_rate_proxy,0.617027417027417,0.617027417027417,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_3,gradient_boosting,test,hit_rate_proxy,0.6980438883924138,0.617027417027417,0.08101647136499679,ok,,0.5
calibration,confidence_threshold_0.6,fold_3,gradient_boosting,test,hit_rate_proxy,0.7478113527252188,0.617027417027417,0.13078393569780178,ok,,0.6
calibration,confidence_threshold_0.7,fold_3,gradient_boosting,test,hit_rate_proxy,0.8173219036358262,0.617027417027417,0.2002944866084092,ok,,0.7
calibration,confidence_threshold_0,fold_3,gradient_boosting,test,eligible_predictions,13860.0,13860.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_3,gradient_boosting,test,eligible_predictions,10071.0,13860.0,-3789.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_3,gradient_boosting,test,eligible_predictions,7082.0,13860.0,-6778.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_3,gradient_boosting,test,eligible_predictions,3383.0,13860.0,-10477.0,ok,,0.7
calibration,confidence_threshold_0,fold_4,gradient_boosting,test,hit_rate_proxy,0.596832665521847,0.596832665521847,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_4,gradient_boosting,test,hit_rate_proxy,0.6659532726948457,0.596832665521847,0.06912060717299873,ok,,0.5
calibration,confidence_threshold_0.6,fold_4,gradient_boosting,test,hit_rate_proxy,0.7125727590221187,0.596832665521847,0.1157400935002717,ok,,0.6
calibration,confidence_threshold_0.7,fold_4,gradient_boosting,test,hit_rate_proxy,0.7677151120751988,0.596832665521847,0.17088244655335183,ok,,0.7
calibration,confidence_threshold_0,fold_4,gradient_boosting,test,eligible_predictions,15723.0,15723.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_4,gradient_boosting,test,eligible_predictions,11214.0,15723.0,-4509.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_4,gradient_boosting,test,eligible_predictions,8590.0,15723.0,-7133.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_4,gradient_boosting,test,eligible_predictions,5532.0,15723.0,-10191.0,ok,,0.7
calibration,confidence_threshold_0,fold_5,gradient_boosting,test,hit_rate_proxy,0.6587626324870594,0.6587626324870594,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_5,gradient_boosting,test,hit_rate_proxy,0.7383338864918686,0.6587626324870594,0.07957125400480924,ok,,0.5
calibration,confidence_threshold_0.6,fold_5,gradient_boosting,test,hit_rate_proxy,0.7860824742268041,0.6587626324870594,0.12731984173974475,ok,,0.6
calibration,confidence_threshold_0.7,fold_5,gradient_boosting,test,hit_rate_proxy,0.8388740287861419,0.6587626324870594,0.18011139629908257,ok,,0.7
calibration,confidence_threshold_0,fold_5,gradient_boosting,test,eligible_predictions,20285.0,20285.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_5,gradient_boosting,test,eligible_predictions,15065.0,20285.0,-5220.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_5,gradient_boosting,test,eligible_predictions,12028.0,20285.0,-8257.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_5,gradient_boosting,test,eligible_predictions,7851.0,20285.0,-12434.0,ok,,0.7
calibration,confidence_threshold_0,fold_1,logistic,test,hit_rate_proxy,0.574075964876455,0.574075964876455,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_1,logistic,test,hit_rate_proxy,0.6453655304424648,0.574075964876455,0.07128956556600985,ok,,0.5
calibration,confidence_threshold_0.6,fold_1,logistic,test,hit_rate_proxy,0.694091249065071,0.574075964876455,0.12001528418861607,ok,,0.6
calibration,confidence_threshold_0.7,fold_1,logistic,test,hit_rate_proxy,0.7420678336980306,0.574075964876455,0.16799186882157569,ok,,0.7
calibration,confidence_threshold_0,fold_1,logistic,test,eligible_predictions,19588.0,19588.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_1,logistic,test,eligible_predictions,13583.0,19588.0,-6005.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_1,logistic,test,eligible_predictions,8022.0,19588.0,-11566.0,ok,,0.6
