ablation_family,ablation_name,model_name,split,metric_name,fold_count,metric_value_mean,baseline_value_mean,delta_vs_baseline_mean,delta_vs_baseline_std,status
execution,cost_0_latency_1,gradient_boosting,test,gross_signal_return_proxy,5,10.597473661826209,13.028808645291075,-2.4313349834648688,2.2496714685540002,ok
execution,cost_0_latency_1,gradient_boosting,test,net_signal_return_proxy,5,10.597473661826209,13.028808645291075,-2.4313349834648688,2.2496714685540002,ok
execution,cost_0_latency_1,gradient_boosting,test,turnover_proxy,5,15345.6,15346.4,-0.8,0.4000000000000001,ok
execution,cost_0_latency_1,logistic,test,gross_signal_return_proxy,5,19.542644675501855,19.69851517367156,-0.15587049816970194,0.12560272524472263,ok
execution,cost_0_latency_1,logistic,test,net_signal_return_proxy,5,19.542644675501855,19.69851517367156,-0.15587049816970194,0.12560272524472263,ok
execution,cost_0_latency_1,logistic,test,turnover_proxy,5,15808.2,15809.2,-1.0,0.0,ok
execution,cost_0_latency_1,majority,test,gross_signal_return_proxy,5,21.28582479955753,21.28622984703073,-0.000405047473199005,0.004626371985088749,ok
execution,cost_0_latency_1,majority,test,net_signal_return_proxy,5,21.28582479955753,21.28622984703073,-0.000405047473199005,0.004626371985088749,ok
execution,cost_0_latency_1,majority,test,turnover_proxy,5,16670.4,16671.4,-1.0,0.0,ok
execution,cost_0_latency_1,random_forest,test,gross_signal_return_proxy,5,9.963590599004672,9.824365963998629,0.13922463500604185,1.1030902606123467,ok
execution,cost_0_latency_1,random_forest,test,net_signal_return_proxy,5,9.963590599004672,9.824365963998629,0.13922463500604185,1.1030902606123467,ok
execution,cost_0_latency_1,random_forest,test,turnover_proxy,5,15190.0,15191.0,-1.0,0.0,ok
execution,cost_1_latency_0,elastic_net,test,gross_signal_return_proxy,5,19.697543779947186,19.697543779947186,0.0,0.0,ok
execution,cost_1_latency_0,elastic_net,test,net_signal_return_proxy,5,18.697543779947186,19.697543779947186,-1.0,0.0,ok
execution,cost_1_latency_0,elastic_net,test,turnover_proxy,5,15811.0,15811.0,0.0,0.0,ok
execution,cost_1_latency_0,gradient_boosting,test,gross_signal_return_proxy,5,13.028808645291075,13.028808645291075,0.0,0.0,ok
execution,cost_1_latency_0,gradient_boosting,test,net_signal_return_proxy,5,12.028808645291075,13.028808645291075,-1.0,0.0,ok
execution,cost_1_latency_0,gradient_boosting,test,turnover_proxy,5,15346.4,15346.4,0.0,0.0,ok
execution,cost_1_latency_0,logistic,test,gross_signal_return_proxy,5,19.69851517367156,19.69851517367156,0.0,0.0,ok
execution,cost_1_latency_0,logistic,test,net_signal_return_proxy,5,18.69851517367156,19.69851517367156,-1.0,0.0,ok
execution,cost_1_latency_0,logistic,test,turnover_proxy,5,15809.2,15809.2,0.0,0.0,ok
execution,cost_1_latency_0,majority,test,gross_signal_return_proxy,5,21.28622984703073,21.28622984703073,0.0,0.0,ok
execution,cost_1_latency_0,majority,test,net_signal_return_proxy,5,20.28622984703073,21.28622984703073,-1.0,0.0,ok
execution,cost_1_latency_0,majority,test,turnover_proxy,5,16671.4,16671.4,0.0,0.0,ok
execution,cost_1_latency_0,random_forest,test,gross_signal_return_proxy,5,9.824365963998629,9.824365963998629,0.0,0.0,ok
execution,cost_1_latency_0,random_forest,test,net_signal_return_proxy,5,8.824365963998629,9.824365963998629,-1.000000000000001,1.4217791915866692e-15,ok
execution,cost_1_latency_0,random_forest,test,turnover_proxy,5,15191.0,15191.0,0.0,0.0,ok
execution,cost_1_latency_1,elastic_net,test,gross_signal_return_proxy,5,19.538370452466474,19.697543779947186,-0.15917332748070834,0.122602914020889,ok
execution,cost_1_latency_1,elastic_net,test,net_signal_return_proxy,5,18.538370452466474,19.697543779947186,-1.1591733274807083,0.122602914020889,ok
