ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,baseline_model
model_class,elastic_net,fold_3,elastic_net,test,macro_f1,0.3249415624447181,0.463843416975055,-0.13890185453033688,ok,,gradient_boosting
model_class,gradient_boosting,fold_3,gradient_boosting,test,macro_f1,0.463843416975055,0.463843416975055,0.0,ok,,gradient_boosting
model_class,logistic,fold_3,logistic,test,macro_f1,0.3255002225412065,0.463843416975055,-0.13834319443384852,ok,,gradient_boosting
model_class,majority,fold_3,majority,test,macro_f1,0.2495084534735015,0.463843416975055,-0.21433496350155348,ok,,gradient_boosting
model_class,random_forest,fold_3,random_forest,test,macro_f1,0.4511883262098428,0.463843416975055,-0.012655090765212207,ok,,gradient_boosting
model_class,ridge,fold_3,ridge,test,macro_f1,0.3090852518407341,0.463843416975055,-0.1547581651343209,ok,,gradient_boosting
model_class,elastic_net,fold_4,elastic_net,test,macro_f1,0.3190778540280845,0.464657144144019,-0.1455792901159345,ok,,gradient_boosting
model_class,gradient_boosting,fold_4,gradient_boosting,test,macro_f1,0.464657144144019,0.464657144144019,0.0,ok,,gradient_boosting
model_class,logistic,fold_4,logistic,test,macro_f1,0.3189018079817418,0.464657144144019,-0.1457553361622772,ok,,gradient_boosting
model_class,majority,fold_4,majority,test,macro_f1,0.2455509551826832,0.464657144144019,-0.2191061889613358,ok,,gradient_boosting
model_class,random_forest,fold_4,random_forest,test,macro_f1,0.4644540843218941,0.464657144144019,-0.0002030598221248736,ok,,gradient_boosting
model_class,ridge,fold_4,ridge,test,macro_f1,0.3034260689024967,0.464657144144019,-0.1612310752415223,ok,,gradient_boosting
model_class,elastic_net,fold_5,elastic_net,test,macro_f1,0.341993764286145,0.4719662227480547,-0.12997245846190975,ok,,gradient_boosting
model_class,gradient_boosting,fold_5,gradient_boosting,test,macro_f1,0.4719662227480547,0.4719662227480547,0.0,ok,,gradient_boosting
model_class,logistic,fold_5,logistic,test,macro_f1,0.3417645413774361,0.4719662227480547,-0.1302016813706186,ok,,gradient_boosting
model_class,majority,fold_5,majority,test,macro_f1,0.2533438902084983,0.4719662227480547,-0.21862233253955643,ok,,gradient_boosting
model_class,random_forest,fold_5,random_forest,test,macro_f1,0.4636472509528079,0.4719662227480547,-0.008318971795246821,ok,,gradient_boosting
model_class,ridge,fold_5,ridge,test,macro_f1,0.3215018702398506,0.4719662227480547,-0.1504643525082041,ok,,gradient_boosting
model_class,elastic_net,fold_1,elastic_net,test,mcc,0.1182872578915984,0.2490021932840827,-0.1307149353924843,ok,,gradient_boosting
model_class,gradient_boosting,fold_1,gradient_boosting,test,mcc,0.2490021932840827,0.2490021932840827,0.0,ok,,gradient_boosting
model_class,logistic,fold_1,logistic,test,mcc,0.1183994194566679,0.2490021932840827,-0.1306027738274148,ok,,gradient_boosting
model_class,majority,fold_1,majority,test,mcc,0.0,0.2490021932840827,-0.2490021932840827,ok,,gradient_boosting
model_class,random_forest,fold_1,random_forest,test,mcc,0.2212771282000258,0.2490021932840827,-0.02772506508405692,ok,,gradient_boosting
model_class,ridge,fold_1,ridge,test,mcc,0.1082255565487344,0.2490021932840827,-0.1407766367353483,ok,,gradient_boosting
