ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,horizon,label_column
horizon,horizon_50,fold_3,logistic,validation,mcc,0.18257450137022668,0.09375924442566622,0.08881525694456047,ok,,50,label_50
horizon,horizon_50,fold_3,logistic,test,accuracy,0.4429408745914702,0.6069740431623585,-0.1640331685708883,ok,,50,label_50
horizon,horizon_50,fold_3,logistic,test,macro_f1,0.4414561957984257,0.3255002225412065,0.11595597325721924,ok,,50,label_50
horizon,horizon_50,fold_3,logistic,test,mcc,0.1632216298788415,0.12785368394134666,0.035367945937494844,ok,,50,label_50
horizon,horizon_100,fold_3,logistic,validation,accuracy,0.44360243001189953,0.6755808855765015,-0.231978455564602,ok,,100,label_100
horizon,horizon_100,fold_3,logistic,validation,macro_f1,0.37456822927449834,0.3196867845286192,0.05488144474587914,ok,,100,label_100
horizon,horizon_100,fold_3,logistic,validation,mcc,0.16606758303908045,0.09375924442566622,0.07230833861341424,ok,,100,label_100
horizon,horizon_100,fold_3,logistic,test,accuracy,0.4967722766928666,0.6069740431623585,-0.11020176646949187,ok,,100,label_100
horizon,horizon_100,fold_3,logistic,test,macro_f1,0.38948738387172344,0.3255002225412065,0.06398716133051696,ok,,100,label_100
horizon,horizon_100,fold_3,logistic,test,mcc,0.1621954297059801,0.12785368394134666,0.03434174576463345,ok,,100,label_100
horizon,horizon_10,fold_4,logistic,validation,accuracy,0.6641884670786673,0.6641884670786673,0.0,ok,,10,label_10
horizon,horizon_10,fold_4,logistic,validation,macro_f1,0.34610236672458944,0.34610236672458944,0.0,ok,,10,label_10
horizon,horizon_10,fold_4,logistic,validation,mcc,0.1374370891239947,0.1374370891239947,0.0,ok,,10,label_10
horizon,horizon_10,fold_4,logistic,test,accuracy,0.5945091274974845,0.5945091274974845,0.0,ok,,10,label_10
horizon,horizon_10,fold_4,logistic,test,macro_f1,0.31890180798174184,0.31890180798174184,0.0,ok,,10,label_10
horizon,horizon_10,fold_4,logistic,test,mcc,0.12976720989395235,0.12976720989395235,0.0,ok,,10,label_10
horizon,horizon_50,fold_4,logistic,validation,accuracy,0.46921611449282097,0.6641884670786673,-0.19497235258584633,ok,,50,label_50
horizon,horizon_50,fold_4,logistic,validation,macro_f1,0.4603192868222459,0.34610236672458944,0.11421692009765644,ok,,50,label_50
horizon,horizon_50,fold_4,logistic,validation,mcc,0.1935663750315018,0.1374370891239947,0.0561292859075071,ok,,50,label_50
horizon,horizon_50,fold_4,logistic,test,accuracy,0.46821905993962915,0.5945091274974845,-0.12629006755785538,ok,,50,label_50
horizon,horizon_50,fold_4,logistic,test,macro_f1,0.46429037131159756,0.31890180798174184,0.14538856332985572,ok,,50,label_50
horizon,horizon_50,fold_4,logistic,test,mcc,0.19805214644955985,0.12976720989395235,0.0682849365556075,ok,,50,label_50
horizon,horizon_100,fold_4,logistic,validation,accuracy,0.4427303563960783,0.6641884670786673,-0.22145811068258903,ok,,100,label_100
horizon,horizon_100,fold_4,logistic,validation,macro_f1,0.3795899366228952,0.34610236672458944,0.03348756989830576,ok,,100,label_100
horizon,horizon_100,fold_4,logistic,validation,mcc,0.14726910061693765,0.1374370891239947,0.009832011492942966,ok,,100,label_100
horizon,horizon_100,fold_4,logistic,test,accuracy,0.5453787552105793,0.5945091274974845,-0.0491303722869052,ok,,100,label_100
horizon,horizon_100,fold_4,logistic,test,macro_f1,0.41776847635305064,0.31890180798174184,0.09886666837130881,ok,,100,label_100
horizon,horizon_100,fold_4,logistic,test,mcc,0.22273372359950366,0.12976720989395235,0.09296651370555131,ok,,100,label_100
horizon,horizon_10,fold_5,logistic,validation,accuracy,0.6327698406761912,0.6327698406761912,0.0,ok,,10,label_10
horizon,horizon_10,fold_5,logistic,validation,macro_f1,0.35152156743414315,0.35152156743414315,0.0,ok,,10,label_10
horizon,horizon_10,fold_5,logistic,validation,mcc,0.1348538475405057,0.1348538475405057,0.0,ok,,10,label_10
horizon,horizon_10,fold_5,logistic,test,accuracy,0.6218583980384144,0.6218583980384144,0.0,ok,,10,label_10
horizon,horizon_10,fold_5,logistic,test,macro_f1,0.3417645413774361,0.3417645413774361,0.0,ok,,10,label_10
horizon,horizon_10,fold_5,logistic,test,mcc,0.14147865764471945,0.14147865764471945,0.0,ok,,10,label_10
horizon,horizon_50,fold_5,logistic,validation,accuracy,0.4664522402573117,0.6327698406761912,-0.16631760041887955,ok,,50,label_50
horizon,horizon_50,fold_5,logistic,validation,macro_f1,0.4640068965114499,0.35152156743414315,0.11248532907730674,ok,,50,label_50
horizon,horizon_50,fold_5,logistic,validation,mcc,0.1992776991875729,0.1348538475405057,0.06442385164706721,ok,,50,label_50
horizon,horizon_50,fold_5,logistic,test,accuracy,0.4308336738863915,0.6218583980384144,-0.19102472415202287,ok,,50,label_50
horizon,horizon_50,fold_5,logistic,test,macro_f1,0.4298652977460331,0.3417645413774361,0.08810075636859699,ok,,50,label_50
horizon,horizon_50,fold_5,logistic,test,mcc,0.14753893885428337,0.14147865764471945,0.0060602812095639225,ok,,50,label_50
horizon,horizon_100,fold_5,logistic,validation,accuracy,0.4989902012117585,0.6327698406761912,-0.13377963946443272,ok,,100,label_100
horizon,horizon_100,fold_5,logistic,validation,macro_f1,0.4385931569730337,0.35152156743414315,0.08707158953889055,ok,,100,label_100
horizon,horizon_100,fold_5,logistic,validation,mcc,0.20939016143393419,0.1348538475405057,0.07453631389342849,ok,,100,label_100
horizon,horizon_100,fold_5,logistic,test,accuracy,0.473385778504291,0.6218583980384144,-0.14847261953412338,ok,,100,label_100
horizon,horizon_100,fold_5,logistic,test,macro_f1,0.37833713927411283,0.3417645413774361,0.03657259789667672,ok,,100,label_100
horizon,horizon_100,fold_5,logistic,test,mcc,0.1506899049043961,0.14147865764471945,0.009211247259676647,ok,,100,label_100
