ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,n_features
feature_groups,top_of_book_only,fold_2,logistic,test,accuracy,0.6435955843700718,0.6447520588750657,-0.0011564745049938985,ok,,4
feature_groups,top_of_book_only,fold_2,logistic,test,macro_f1,0.2610518834399432,0.31135009744071246,-0.05029821400076928,ok,,4
feature_groups,top_of_book_only,fold_2,logistic,test,mcc,0.0,0.09594275620858116,-0.09594275620858116,ok,,4
feature_groups,depth_features,fold_2,logistic,validation,accuracy,0.6281338239069051,0.6255668691708737,0.0025669547360314127,ok,,36
feature_groups,depth_features,fold_2,logistic,validation,macro_f1,0.26440403096302884,0.34718089930972457,-0.08277686834669573,ok,,36
feature_groups,depth_features,fold_2,logistic,validation,mcc,0.02968794888442314,0.12127658328419835,-0.09158863439977522,ok,,36
feature_groups,depth_features,fold_2,logistic,test,accuracy,0.6434554056421938,0.6447520588750657,-0.0012966532328718694,ok,,36
feature_groups,depth_features,fold_2,logistic,test,macro_f1,0.2620976067219481,0.31135009744071246,-0.04925249071876436,ok,,36
feature_groups,depth_features,fold_2,logistic,test,mcc,0.009986222025062108,0.09594275620858116,-0.08595653418351905,ok,,36
feature_groups,liquidity_depth_features,fold_2,logistic,validation,accuracy,0.6286472148541115,0.6255668691708737,0.003080345683237784,ok,,20
feature_groups,liquidity_depth_features,fold_2,logistic,validation,macro_f1,0.25732899022801303,0.34718089930972457,-0.08985190908171153,ok,,20
feature_groups,liquidity_depth_features,fold_2,logistic,validation,mcc,0.0,0.12127658328419835,-0.12127658328419835,ok,,20
feature_groups,liquidity_depth_features,fold_2,logistic,test,accuracy,0.6434554056421938,0.6447520588750657,-0.0012966532328718694,ok,,20
feature_groups,liquidity_depth_features,fold_2,logistic,test,macro_f1,0.2612783723725877,0.31135009744071246,-0.05007172506812474,ok,,20
feature_groups,liquidity_depth_features,fold_2,logistic,test,mcc,-0.0005073328892055143,0.09594275620858116,-0.09645008909778667,ok,,20
feature_groups,price_only,fold_2,logistic,validation,accuracy,0.628476084538376,0.6255668691708737,0.002909215367502327,ok,,20
feature_groups,price_only,fold_2,logistic,validation,macro_f1,0.267800908142202,0.34718089930972457,-0.07937999116752259,ok,,20
feature_groups,price_only,fold_2,logistic,validation,mcc,0.035358162277513705,0.12127658328419835,-0.08591842100668465,ok,,20
feature_groups,price_only,fold_2,logistic,test,accuracy,0.6431400035044682,0.6447520588750657,-0.0016120553705974983,ok,,20
feature_groups,price_only,fold_2,logistic,test,macro_f1,0.26408521002815893,0.31135009744071246,-0.047264887412553525,ok,,20
feature_groups,price_only,fold_2,logistic,test,mcc,0.01405672760947784,0.09594275620858116,-0.08188602859910332,ok,,20
feature_groups,labels_excluded,fold_2,logistic,validation,accuracy,0.6255668691708737,0.6255668691708737,0.0,ok,,144
feature_groups,labels_excluded,fold_2,logistic,validation,macro_f1,0.34718089930972457,0.34718089930972457,0.0,ok,,144
feature_groups,labels_excluded,fold_2,logistic,validation,mcc,0.12127658328419835,0.12127658328419835,0.0,ok,,144
feature_groups,labels_excluded,fold_2,logistic,test,accuracy,0.6447520588750657,0.6447520588750657,0.0,ok,,144
feature_groups,labels_excluded,fold_2,logistic,test,macro_f1,0.31135009744071246,0.31135009744071246,0.0,ok,,144
feature_groups,labels_excluded,fold_2,logistic,test,mcc,0.09594275620858116,0.09594275620858116,0.0,ok,,144
feature_groups,all_features,fold_3,logistic,validation,accuracy,0.6755808855765015,0.6755808855765015,0.0,ok,,144
feature_groups,all_features,fold_3,logistic,validation,macro_f1,0.3196867845286192,0.3196867845286192,0.0,ok,,144
feature_groups,all_features,fold_3,logistic,validation,mcc,0.09375924442566622,0.09375924442566622,0.0,ok,,144
feature_groups,all_features,fold_3,logistic,test,accuracy,0.6069740431623585,0.6069740431623585,0.0,ok,,144
feature_groups,all_features,fold_3,logistic,test,macro_f1,0.3255002225412065,0.3255002225412065,0.0,ok,,144
feature_groups,all_features,fold_3,logistic,test,mcc,0.12785368394134666,0.12785368394134666,0.0,ok,,144
feature_groups,top_of_book_only,fold_3,logistic,validation,accuracy,0.6774597607565604,0.6755808855765015,0.0018788751800589143,ok,,4
feature_groups,top_of_book_only,fold_3,logistic,validation,macro_f1,0.2692403424930307,0.3196867845286192,-0.05044644203558851,ok,,4
feature_groups,top_of_book_only,fold_3,logistic,validation,mcc,0.0,0.09375924442566622,-0.09375924442566622,ok,,4
feature_groups,top_of_book_only,fold_3,logistic,test,accuracy,0.5981146854657915,0.6069740431623585,-0.008859357696566983,ok,,4
feature_groups,top_of_book_only,fold_3,logistic,test,macro_f1,0.24950845347350156,0.3255002225412065,-0.07599176906770491,ok,,4
feature_groups,top_of_book_only,fold_3,logistic,test,mcc,0.0,0.12785368394134666,-0.12785368394134666,ok,,4
feature_groups,depth_features,fold_3,logistic,validation,accuracy,0.6767708398572055,0.6755808855765015,0.0011899542807040087,ok,,36
feature_groups,depth_features,fold_3,logistic,validation,macro_f1,0.2731628418917508,0.3196867845286192,-0.04652394263686843,ok,,36
feature_groups,depth_features,fold_3,logistic,validation,mcc,0.021795966764338183,0.09375924442566622,-0.07196327766132804,ok,,36
feature_groups,depth_features,fold_3,logistic,test,accuracy,0.6001134429948951,0.6069740431623585,-0.006860600167463371,ok,,36
feature_groups,depth_features,fold_3,logistic,test,macro_f1,0.26247976368211506,0.3255002225412065,-0.06302045885909141,ok,,36
feature_groups,depth_features,fold_3,logistic,test,mcc,0.056530402757326834,0.12785368394134666,-0.07132328118401983,ok,,36
feature_groups,liquidity_depth_features,fold_3,logistic,validation,accuracy,0.6774597607565604,0.6755808855765015,0.0018788751800589143,ok,,20
feature_groups,liquidity_depth_features,fold_3,logistic,validation,macro_f1,0.2692403424930307,0.3196867845286192,-0.05044644203558851,ok,,20
feature_groups,liquidity_depth_features,fold_3,logistic,validation,mcc,0.0,0.09375924442566622,-0.09375924442566622,ok,,20
feature_groups,liquidity_depth_features,fold_3,logistic,test,accuracy,0.5982497366501904,0.6069740431623585,-0.008724306512168045,ok,,20
feature_groups,liquidity_depth_features,fold_3,logistic,test,macro_f1,0.2500606176543975,0.3255002225412065,-0.07543960488680895,ok,,20
feature_groups,liquidity_depth_features,fold_3,logistic,test,mcc,0.013940700146689874,0.12785368394134666,-0.1139129837946568,ok,,20
feature_groups,price_only,fold_3,logistic,validation,accuracy,0.6773971315838918,0.6755808855765015,0.0018162460073902764,ok,,20
feature_groups,price_only,fold_3,logistic,validation,macro_f1,0.2720535325696248,0.3196867845286192,-0.04763325195899443,ok,,20
feature_groups,price_only,fold_3,logistic,validation,mcc,0.022563563233650854,0.09375924442566622,-0.07119568119201536,ok,,20
feature_groups,price_only,fold_3,logistic,test,accuracy,0.6005996272587311,0.6069740431623585,-0.006374415903627417,ok,,20
feature_groups,price_only,fold_3,logistic,test,macro_f1,0.26271172647030827,0.3255002225412065,-0.0627884960708982,ok,,20
feature_groups,price_only,fold_3,logistic,test,mcc,0.060588702627801035,0.12785368394134666,-0.06726498131354564,ok,,20
feature_groups,labels_excluded,fold_3,logistic,validation,accuracy,0.6755808855765015,0.6755808855765015,0.0,ok,,144
feature_groups,labels_excluded,fold_3,logistic,validation,macro_f1,0.3196867845286192,0.3196867845286192,0.0,ok,,144
feature_groups,labels_excluded,fold_3,logistic,validation,mcc,0.09375924442566622,0.09375924442566622,0.0,ok,,144
feature_groups,labels_excluded,fold_3,logistic,test,accuracy,0.6069740431623585,0.6069740431623585,0.0,ok,,144
feature_groups,labels_excluded,fold_3,logistic,test,macro_f1,0.3255002225412065,0.3255002225412065,0.0,ok,,144
feature_groups,labels_excluded,fold_3,logistic,test,mcc,0.12785368394134666,0.12785368394134666,0.0,ok,,144
feature_groups,all_features,fold_4,logistic,validation,accuracy,0.6641884670786673,0.6641884670786673,0.0,ok,,144
feature_groups,all_features,fold_4,logistic,validation,macro_f1,0.34610236672458944,0.34610236672458944,0.0,ok,,144
feature_groups,all_features,fold_4,logistic,validation,mcc,0.1374370891239947,0.1374370891239947,0.0,ok,,144
feature_groups,all_features,fold_4,logistic,test,accuracy,0.5945091274974845,0.5945091274974845,0.0,ok,,144
feature_groups,all_features,fold_4,logistic,test,macro_f1,0.31890180798174184,0.31890180798174184,0.0,ok,,144
feature_groups,all_features,fold_4,logistic,test,mcc,0.12976720989395235,0.12976720989395235,0.0,ok,,144
feature_groups,top_of_book_only,fold_4,logistic,validation,accuracy,0.6600529715161935,0.6641884670786673,-0.004135495562473834,ok,,4
feature_groups,top_of_book_only,fold_4,logistic,validation,macro_f1,0.26507305603761966,0.34610236672458944,-0.08102931068696978,ok,,4
feature_groups,top_of_book_only,fold_4,logistic,validation,mcc,0.0,0.1374370891239947,-0.1374370891239947,ok,,4
feature_groups,top_of_book_only,fold_4,logistic,test,accuracy,0.583096162138853,0.5945091274974845,-0.011412965358631566,ok,,4
feature_groups,top_of_book_only,fold_4,logistic,test,macro_f1,0.24555095518268322,0.31890180798174184,-0.07335085279905862,ok,,4
feature_groups,top_of_book_only,fold_4,logistic,test,mcc,0.0,0.12976720989395235,-0.12976720989395235,ok,,4
feature_groups,depth_features,fold_4,logistic,validation,accuracy,0.6622368849031179,0.6641884670786673,-0.00195158217554936,ok,,36
feature_groups,depth_features,fold_4,logistic,validation,macro_f1,0.28727364936668237,0.34610236672458944,-0.05882871735790707,ok,,36
feature_groups,depth_features,fold_4,logistic,validation,mcc,0.07825033415781746,0.1374370891239947,-0.05918675496617723,ok,,36
feature_groups,depth_features,fold_4,logistic,test,accuracy,0.5839873508696277,0.5945091274974845,-0.010521776627856805,ok,,36
feature_groups,depth_features,fold_4,logistic,test,macro_f1,0.2536907986551717,0.31890180798174184,-0.06521100932657015,ok,,36
feature_groups,depth_features,fold_4,logistic,test,mcc,0.038311872222576815,0.12976720989395235,-0.09145533767137554,ok,,36
feature_groups,liquidity_depth_features,fold_4,logistic,validation,accuracy,0.6600529715161935,0.6641884670786673,-0.004135495562473834,ok,,20
feature_groups,liquidity_depth_features,fold_4,logistic,validation,macro_f1,0.26507305603761966,0.34610236672458944,-0.08102931068696978,ok,,20
feature_groups,liquidity_depth_features,fold_4,logistic,validation,mcc,0.0,0.1374370891239947,-0.1374370891239947,ok,,20
feature_groups,liquidity_depth_features,fold_4,logistic,test,accuracy,0.5832111542331465,0.5945091274974845,-0.011297973264338013,ok,,20
feature_groups,liquidity_depth_features,fold_4,logistic,test,macro_f1,0.24603512077210546,0.31890180798174184,-0.07286668720963638,ok,,20
feature_groups,liquidity_depth_features,fold_4,logistic,test,mcc,0.012399852046353915,0.12976720989395235,-0.11736735784759844,ok,,20
feature_groups,price_only,fold_4,logistic,validation,accuracy,0.6640955345941174,0.6641884670786673,-9.293248454989023e-05,ok,,20
feature_groups,price_only,fold_4,logistic,validation,macro_f1,0.2948430000824504,0.34610236672458944,-0.05125936664213904,ok,,20
feature_groups,price_only,fold_4,logistic,validation,mcc,0.09348903922514099,0.1374370891239947,-0.0439480498988537,ok,,20
feature_groups,price_only,fold_4,logistic,test,accuracy,0.5851660198361363,0.5945091274974845,-0.009343107661348271,ok,,20
feature_groups,price_only,fold_4,logistic,test,macro_f1,0.2566762093794004,0.31890180798174184,-0.06222559860234145,ok,,20
feature_groups,price_only,fold_4,logistic,test,mcc,0.052332797535014096,0.12976720989395235,-0.07743441235893825,ok,,20
feature_groups,labels_excluded,fold_4,logistic,validation,accuracy,0.6641884670786673,0.6641884670786673,0.0,ok,,144
feature_groups,labels_excluded,fold_4,logistic,validation,macro_f1,0.34610236672458944,0.34610236672458944,0.0,ok,,144
feature_groups,labels_excluded,fold_4,logistic,validation,mcc,0.1374370891239947,0.1374370891239947,0.0,ok,,144
feature_groups,labels_excluded,fold_4,logistic,test,accuracy,0.5945091274974845,0.5945091274974845,0.0,ok,,144
feature_groups,labels_excluded,fold_4,logistic,test,macro_f1,0.31890180798174184,0.31890180798174184,0.0,ok,,144
feature_groups,labels_excluded,fold_4,logistic,test,mcc,0.12976720989395235,0.12976720989395235,0.0,ok,,144
feature_groups,all_features,fold_5,logistic,validation,accuracy,0.6327698406761912,0.6327698406761912,0.0,ok,,144
feature_groups,all_features,fold_5,logistic,validation,macro_f1,0.35152156743414315,0.35152156743414315,0.0,ok,,144
feature_groups,all_features,fold_5,logistic,validation,mcc,0.1348538475405057,0.1348538475405057,0.0,ok,,144
feature_groups,all_features,fold_5,logistic,test,accuracy,0.6218583980384144,0.6218583980384144,0.0,ok,,144
feature_groups,all_features,fold_5,logistic,test,macro_f1,0.3417645413774361,0.3417645413774361,0.0,ok,,144
feature_groups,all_features,fold_5,logistic,test,mcc,0.14147865764471945,0.14147865764471945,0.0,ok,,144
feature_groups,top_of_book_only,fold_5,logistic,validation,accuracy,0.6288428453885855,0.6327698406761912,-0.003926995287605761,ok,,4
