ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,confidence_threshold,cost_bps,latency_steps
execution,cost_1_latency_1,fold_2,elastic_net,test,gross_signal_return_proxy,21.06913628778287,21.13963515271724,-0.0704988649343683,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_2,elastic_net,test,turnover_proxy,13410.0,13411.0,-1.0,ok,,0.0,1.0,1
execution,cost_5_latency_1,fold_2,elastic_net,test,net_signal_return_proxy,16.06913628778287,21.13963515271724,-5.070498864934368,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_2,elastic_net,test,gross_signal_return_proxy,21.06913628778287,21.13963515271724,-0.0704988649343683,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_2,elastic_net,test,turnover_proxy,13410.0,13411.0,-1.0,ok,,0.0,5.0,1
execution,cost_0_latency_0,fold_3,elastic_net,test,net_signal_return_proxy,22.34417084570848,22.34417084570848,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_3,elastic_net,test,gross_signal_return_proxy,22.34417084570848,22.34417084570848,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_3,elastic_net,test,turnover_proxy,13232.0,13232.0,0.0,ok,,0.0,0.0,0
execution,cost_0.5_latency_0,fold_3,elastic_net,test,net_signal_return_proxy,21.84417084570848,22.34417084570848,-0.5,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_3,elastic_net,test,gross_signal_return_proxy,22.34417084570848,22.34417084570848,0.0,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_3,elastic_net,test,turnover_proxy,13232.0,13232.0,0.0,ok,,0.0,0.5,0
execution,cost_1_latency_0,fold_3,elastic_net,test,net_signal_return_proxy,21.34417084570848,22.34417084570848,-1.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_3,elastic_net,test,gross_signal_return_proxy,22.34417084570848,22.34417084570848,0.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_3,elastic_net,test,turnover_proxy,13232.0,13232.0,0.0,ok,,0.0,1.0,0
execution,cost_5_latency_0,fold_3,elastic_net,test,net_signal_return_proxy,17.344170845708476,22.34417084570848,-5.0000000000000036,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_3,elastic_net,test,gross_signal_return_proxy,22.34417084570848,22.34417084570848,0.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_3,elastic_net,test,turnover_proxy,13232.0,13232.0,0.0,ok,,0.0,5.0,0
execution,cost_0_latency_1,fold_3,elastic_net,test,net_signal_return_proxy,22.169788811944105,22.34417084570848,-0.174382033764374,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_3,elastic_net,test,gross_signal_return_proxy,22.169788811944105,22.34417084570848,-0.174382033764374,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_3,elastic_net,test,turnover_proxy,13231.0,13232.0,-1.0,ok,,0.0,0.0,1
execution,cost_0.5_latency_1,fold_3,elastic_net,test,net_signal_return_proxy,21.669788811944105,22.34417084570848,-0.674382033764374,ok,,0.0,0.5,1
execution,cost_0.5_latency_1,fold_3,elastic_net,test,gross_signal_return_proxy,22.169788811944105,22.34417084570848,-0.174382033764374,ok,,0.0,0.5,1
execution,cost_0.5_latency_1,fold_3,elastic_net,test,turnover_proxy,13231.0,13232.0,-1.0,ok,,0.0,0.5,1
execution,cost_1_latency_1,fold_3,elastic_net,test,net_signal_return_proxy,21.169788811944105,22.34417084570848,-1.174382033764374,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_3,elastic_net,test,gross_signal_return_proxy,22.169788811944105,22.34417084570848,-0.174382033764374,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_3,elastic_net,test,turnover_proxy,13231.0,13232.0,-1.0,ok,,0.0,1.0,1
execution,cost_5_latency_1,fold_3,elastic_net,test,net_signal_return_proxy,17.169788811944102,22.34417084570848,-5.1743820337643776,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_3,elastic_net,test,gross_signal_return_proxy,22.169788811944105,22.34417084570848,-0.174382033764374,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_3,elastic_net,test,turnover_proxy,13231.0,13232.0,-1.0,ok,,0.0,5.0,1
execution,cost_0_latency_0,fold_4,elastic_net,test,net_signal_return_proxy,25.033863340014275,25.033863340014275,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_4,elastic_net,test,gross_signal_return_proxy,25.033863340014275,25.033863340014275,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_4,elastic_net,test,turnover_proxy,15081.0,15081.0,0.0,ok,,0.0,0.0,0
execution,cost_0.5_latency_0,fold_4,elastic_net,test,net_signal_return_proxy,24.533863340014275,25.033863340014275,-0.5,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_4,elastic_net,test,gross_signal_return_proxy,25.033863340014275,25.033863340014275,0.0,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_4,elastic_net,test,turnover_proxy,15081.0,15081.0,0.0,ok,,0.0,0.5,0
execution,cost_1_latency_0,fold_4,elastic_net,test,net_signal_return_proxy,24.033863340014275,25.033863340014275,-1.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_4,elastic_net,test,gross_signal_return_proxy,25.033863340014275,25.033863340014275,0.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_4,elastic_net,test,turnover_proxy,15081.0,15081.0,0.0,ok,,0.0,1.0,0
execution,cost_5_latency_0,fold_4,elastic_net,test,net_signal_return_proxy,20.033863340014275,25.033863340014275,-5.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_4,elastic_net,test,gross_signal_return_proxy,25.033863340014275,25.033863340014275,0.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_4,elastic_net,test,turnover_proxy,15081.0,15081.0,0.0,ok,,0.0,5.0,0
execution,cost_0_latency_1,fold_4,elastic_net,test,net_signal_return_proxy,24.766386980568782,25.033863340014275,-0.2674763594454923,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_4,elastic_net,test,gross_signal_return_proxy,24.766386980568782,25.033863340014275,-0.2674763594454923,ok,,0.0,0.0,1
