model_name,split,fold_count,run_count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,brier_score_mean,brier_score_std,ece_mean,ece_std
elastic_net,test,5,5,0.6125126029671083,0.01904939152983718,0.3259838670303604,0.010600277536486926,0.12270045219701528,0.015443698428098708,0.5286961353680342,0.01404198735560442,0.020399590857112144,0.007682251339680233
elastic_net,validation,5,5,0.6429905562186773,0.022878414598568736,0.33534098426017617,0.016552670419685462,0.11683306264739106,0.01879315860363715,0.5026650737158145,0.02176397032977018,0.03980897313777468,0.013825688040150007
gradient_boosting,test,5,5,0.640951393883556,0.021365776251107478,0.4653881257525262,0.0039116403154020535,0.2723530079601043,0.013000875512783852,0.4816810476119559,0.021828702400396808,0.024544392940297935,0.014393801650746118
gradient_boosting,validation,5,5,0.6516128858032735,0.029158412197775756,0.4236291856533795,0.011690838215628711,0.22114739243105813,0.01679040539060606,0.4771631329164152,0.026769280895911608,0.03641162605095837,0.02343596169435948
logistic,test,5,5,0.6124873871288532,0.019034953502876942,0.32606759805121416,0.010585670397441236,0.12268834542905349,0.015255086404003367,0.5287059829375056,0.0140527018287368,0.02056450997143546,0.007462458635432239
logistic,validation,5,5,0.6429551082318454,0.022857478995852037,0.33514239015669745,0.01639795603994729,0.11666763508774987,0.018626996008203278,0.5026823258528191,0.021761565452861446,0.039830477111653426,0.013481406571657948
majority,test,5,5,0.605783366044841,0.021298969614078542,0.251428376603215,0.0054499798543873445,0.0,0.0,0.5558101439616567,0.017861033991615108,0.024285120472328826,0.013244260181182773
majority,validation,5,5,0.6419970153952785,0.02308535860890223,0.26057719658930073,0.0056761824563294665,0.0,0.0,0.5255898445031522,0.019261299414108434,0.03693071624717559,0.019884209360498294
random_forest,test,5,5,0.6262954786373914,0.017420529125995295,0.454670076484462,0.008104155512290816,0.2431454593434173,0.017184359522691983,0.5131649804279246,0.014408422478734648,0.07294956695317915,0.022756195160658323
random_forest,validation,5,5,0.6244812766821874,0.022509807730806526,0.39666794038159275,0.006285423914756722,0.16310840162644252,0.009671528726235008,0.5270081700227945,0.020706051072787217,0.09376857748235554,0.0289556039224845
ridge,test,5,5,0.6126442514594794,0.019147656783847295,0.30866617990813905,0.008230934932882482,0.11158592211250622,0.015296294816296085,,0.0,,0.0
ridge,validation,5,5,0.6446220580241185,0.02326150811691952,0.3206994751816313,0.01641826767430194,0.1078590160591559,0.021508707202732326,,0.0,,0.0
