model_name,split,confidence_threshold,cost_bps,latency_steps,fold_count,run_count,eligible_predictions,eligible_predictions_std,trade_count_proxy,trade_count_proxy_std,turnover_proxy,turnover_proxy_std,gross_signal_return_proxy,gross_signal_return_proxy_std,cost_proxy,cost_proxy_std,net_signal_return_proxy,net_signal_return_proxy_std,hit_rate_proxy,hit_rate_proxy_std
elastic_net,test,0.0,0.0,0,5,5,16671.4,2758.3766675347297,15811.0,2441.3611777039464,15811.0,2441.3611777039464,19.697543779947182,4.051872734680955,0.0,0.0,19.697543779947182,4.051872734680955,0.6021972891566216,0.030271762580410554
elastic_net,test,0.0,0.0,1,5,5,16670.4,2758.3766675347297,15810.0,2441.3611777039464,15810.0,2441.3611777039464,19.538370452466474,4.017409152010621,0.0,0.0,19.538370452466474,4.017409152010621,0.6021978086154889,0.030242007041233636
elastic_net,test,0.0,0.5,0,5,5,16671.4,2758.3766675347297,15811.0,2441.3611777039464,15811.0,2441.3611777039464,19.697543779947182,4.051872734680955,0.5,0.0,19.197543779947182,4.051872734680955,0.6021972891566216,0.030271762580410554
elastic_net,test,0.0,0.5,1,5,5,16670.4,2758.3766675347297,15810.0,2441.3611777039464,15810.0,2441.3611777039464,19.538370452466474,4.017409152010621,0.5,0.0,19.038370452466474,4.017409152010621,0.6021978086154889,0.030242007041233636
elastic_net,test,0.0,1.0,0,5,5,16671.4,2758.3766675347297,15811.0,2441.3611777039464,15811.0,2441.3611777039464,19.697543779947182,4.051872734680955,1.0,0.0,18.697543779947182,4.051872734680955,0.6021972891566216,0.030271762580410554
elastic_net,test,0.0,1.0,1,5,5,16670.4,2758.3766675347297,15810.0,2441.3611777039464,15810.0,2441.3611777039464,19.538370452466474,4.017409152010621,1.0,0.0,18.538370452466474,4.017409152010621,0.6021978086154889,0.030242007041233636
elastic_net,test,0.0,5.0,0,5,5,16671.4,2758.3766675347297,15811.0,2441.3611777039464,15811.0,2441.3611777039464,19.697543779947182,4.051872734680955,5.0,0.0,14.697543779947182,4.051872734680955,0.6021972891566216,0.030271762580410554
elastic_net,test,0.0,5.0,1,5,5,16670.4,2758.3766675347297,15810.0,2441.3611777039464,15810.0,2441.3611777039464,19.538370452466474,4.017409152010621,5.0,0.0,14.538370452466475,4.017409152010621,0.6021978086154889,0.030242007041233636
elastic_net,test,0.5,0.0,0,5,5,11815.4,1494.282115264718,11652.2,1443.8519868740009,11652.2,1443.8519868740009,18.2037569019253,4.572214817493107,0.0,0.0,18.2037569019253,4.572214817493107,0.664685541534993,0.027149414064512295
elastic_net,test,0.5,0.0,1,5,5,11814.6,1495.0139263565407,11651.4,1444.5866675281204,11651.4,1444.5866675281204,18.56750104014999,4.452740866772065,0.0,0.0,18.56750104014999,4.452740866772065,0.6646794719826878,0.027118665585373666
elastic_net,test,0.5,0.5,0,5,5,11815.4,1494.282115264718,11652.2,1443.8519868740009,11652.2,1443.8519868740009,18.2037569019253,4.572214817493107,0.5,0.0,17.7037569019253,4.572214817493107,0.664685541534993,0.027149414064512295
elastic_net,test,0.5,0.5,1,5,5,11814.6,1495.0139263565407,11651.4,1444.5866675281204,11651.4,1444.5866675281204,18.56750104014999,4.452740866772065,0.5,0.0,18.06750104014999,4.452740866772065,0.6646794719826878,0.027118665585373666
elastic_net,test,0.5,1.0,0,5,5,11815.4,1494.282115264718,11652.2,1443.8519868740009,11652.2,1443.8519868740009,18.2037569019253,4.572214817493107,1.0,0.0,17.2037569019253,4.572214817493107,0.664685541534993,0.027149414064512295
elastic_net,test,0.5,1.0,1,5,5,11814.6,1495.0139263565407,11651.4,1444.5866675281204,11651.4,1444.5866675281204,18.56750104014999,4.452740866772065,1.0,0.0,17.56750104014999,4.452740866772065,0.6646794719826878,0.027118665585373666
elastic_net,test,0.5,5.0,0,5,5,11815.4,1494.282115264718,11652.2,1443.8519868740009,11652.2,1443.8519868740009,18.2037569019253,4.572214817493107,5.0,0.0,13.2037569019253,4.572214817493107,0.664685541534993,0.027149414064512295
elastic_net,test,0.5,5.0,1,5,5,11814.6,1495.0139263565407,11651.4,1444.5866675281204,11651.4,1444.5866675281204,18.56750104014999,4.452740866772065,5.0,0.0,13.567501040149988,4.452740866772065,0.6646794719826878,0.027118665585373666
elastic_net,test,0.6,0.0,0,5,5,7270.2,561.0349008751595,7202.4,536.3314646745985,7202.4,536.3314646745985,18.29805980287593,7.90071966344279,0.0,0.0,18.29805980287593,7.90071966344279,0.7140105673425973,0.021777427067293773
elastic_net,test,0.6,0.0,1,5,5,7270.2,561.6754935013632,7202.4,537.007113546925,7202.4,537.007113546925,19.775500596949254,5.687625706962374,0.0,0.0,19.775500596949254,5.687625706962374,0.7140107851299741,0.02175264916948341
elastic_net,test,0.6,0.5,0,5,5,7270.2,561.0349008751595,7202.4,536.3314646745985,7202.4,536.3314646745985,18.29805980287593,7.90071966344279,0.5,0.0,17.79805980287593,7.90071966344279,0.7140105673425973,0.021777427067293773
elastic_net,test,0.6,0.5,1,5,5,7270.2,561.6754935013632,7202.4,537.007113546925,7202.4,537.007113546925,19.775500596949254,5.687625706962374,0.5,0.0,19.275500596949254,5.687625706962374,0.7140107851299741,0.02175264916948341
elastic_net,test,0.6,1.0,0,5,5,7270.2,561.0349008751595,7202.4,536.3314646745985,7202.4,536.3314646745985,18.29805980287593,7.90071966344279,1.0,0.0,17.29805980287593,7.90071966344279,0.7140105673425973,0.021777427067293773
elastic_net,test,0.6,1.0,1,5,5,7270.2,561.6754935013632,7202.4,537.007113546925,7202.4,537.007113546925,19.775500596949254,5.687625706962374,1.0,0.0,18.775500596949254,5.687625706962374,0.7140107851299741,0.02175264916948341
elastic_net,test,0.6,5.0,0,5,5,7270.2,561.0349008751595,7202.4,536.3314646745985,7202.4,536.3314646745985,18.29805980287593,7.90071966344279,5.0,0.0,13.29805980287593,7.90071966344279,0.7140105673425973,0.021777427067293773
elastic_net,test,0.6,5.0,1,5,5,7270.2,561.6754935013632,7202.4,537.007113546925,7202.4,537.007113546925,19.775500596949254,5.687625706962374,5.0,0.0,14.775500596949254,5.687625706962374,0.7140107851299741,0.02175264916948341
elastic_net,test,0.7,0.0,0,5,5,3326.2,237.14501892302098,3293.2,220.53970164122376,3293.2,220.53970164122376,23.433327247870714,18.574434578235664,0.0,0.0,23.433327247870714,18.574434578235664,0.7695209616545303,0.019738649214035245
elastic_net,test,0.7,0.0,1,5,5,3326.2,237.61599272776232,3293.2,221.08496104439126,3293.2,221.08496104439126,23.621104334733147,15.89692823288222,0.0,0.0,23.621104334733147,15.89692823288222,0.7695151003860924,0.019679173760043803
elastic_net,test,0.7,0.5,0,5,5,3326.2,237.14501892302098,3293.2,220.53970164122376,3293.2,220.53970164122376,23.433327247870714,18.574434578235664,0.5,0.0,22.933327247870714,18.574434578235664,0.7695209616545303,0.019738649214035245
elastic_net,test,0.7,0.5,1,5,5,3326.2,237.61599272776232,3293.2,221.08496104439126,3293.2,221.08496104439126,23.621104334733147,15.89692823288222,0.5,0.0,23.121104334733147,15.89692823288222,0.7695151003860924,0.019679173760043803
elastic_net,test,0.7,1.0,0,5,5,3326.2,237.14501892302098,3293.2,220.53970164122376,3293.2,220.53970164122376,23.433327247870714,18.574434578235664,1.0,0.0,22.433327247870714,18.574434578235664,0.7695209616545303,0.019738649214035245
elastic_net,test,0.7,1.0,1,5,5,3326.2,237.61599272776232,3293.2,221.08496104439126,3293.2,221.08496104439126,23.621104334733147,15.89692823288222,1.0,0.0,22.621104334733147,15.89692823288222,0.7695151003860924,0.019679173760043803
elastic_net,test,0.7,5.0,0,5,5,3326.2,237.14501892302098,3293.2,220.53970164122376,3293.2,220.53970164122376,23.433327247870714,18.574434578235664,5.0,0.0,18.433327247870714,18.574434578235664,0.7695209616545303,0.019738649214035245
elastic_net,test,0.7,5.0,1,5,5,3326.2,237.61599272776232,3293.2,221.08496104439126,3293.2,221.08496104439126,23.621104334733147,15.89692823288222,5.0,0.0,18.62110433473315,15.89692823288222,0.7695151003860924,0.019679173760043803
gradient_boosting,test,0.0,0.0,0,5,5,16671.4,2758.3766675347297,15346.4,2433.8054646992637,15346.4,2433.8054646992637,13.028808645291075,9.479706649377869,0.0,0.0,13.028808645291075,9.479706649377869,0.6197996238882171,0.037298314749569364
gradient_boosting,test,0.0,0.0,1,5,5,16670.4,2758.3766675347297,15345.6,2433.617521304447,15345.6,2433.617521304447,10.597473661826209,9.504684643159543,0.0,0.0,10.597473661826209,9.504684643159543,0.6198156748099248,0.037274031586114184
gradient_boosting,test,0.0,0.5,0,5,5,16671.4,2758.3766675347297,15346.4,2433.8054646992637,15346.4,2433.8054646992637,13.028808645291075,9.479706649377869,0.5,0.0,12.528808645291075,9.479706649377869,0.6197996238882171,0.037298314749569364
gradient_boosting,test,0.0,0.5,1,5,5,16670.4,2758.3766675347297,15345.6,2433.617521304447,15345.6,2433.617521304447,10.597473661826209,9.504684643159543,0.5,0.0,10.097473661826209,9.504684643159543,0.6198156748099248,0.037274031586114184
gradient_boosting,test,0.0,1.0,0,5,5,16671.4,2758.3766675347297,15346.4,2433.8054646992637,15346.4,2433.8054646992637,13.028808645291075,9.479706649377869,1.0,0.0,12.028808645291075,9.479706649377869,0.6197996238882171,0.037298314749569364
gradient_boosting,test,0.0,1.0,1,5,5,16670.4,2758.3766675347297,15345.6,2433.617521304447,15345.6,2433.617521304447,10.597473661826209,9.504684643159543,1.0,0.0,9.597473661826209,9.504684643159543,0.6198156748099248,0.037274031586114184
gradient_boosting,test,0.0,5.0,0,5,5,16671.4,2758.3766675347297,15346.4,2433.8054646992637,15346.4,2433.8054646992637,13.028808645291075,9.479706649377869,5.0,0.0,8.028808645291075,9.479706649377869,0.6197996238882171,0.037298314749569364
gradient_boosting,test,0.0,5.0,1,5,5,16670.4,2758.3766675347297,15345.6,2433.617521304447,15345.6,2433.617521304447,10.597473661826209,9.504684643159543,5.0,0.0,5.597473661826209,9.504684643159543,0.6198156748099248,0.037274031586114184
gradient_boosting,test,0.5,0.0,0,5,5,12012.0,1874.6818396730685,11680.0,1765.0655511906632,11680.0,1765.0655511906632,12.174072871674399,6.872261769219748,0.0,0.0,12.174072871674399,6.872261769219748,0.6933600895951877,0.044385467242863054
gradient_boosting,test,0.5,0.0,1,5,5,12011.6,1874.7787709487218,11679.6,1765.1663491014097,11679.6,1765.1663491014097,10.96367777445247,6.567409510169982,0.0,0.0,10.96367777445247,6.567409510169982,0.6933569283998805,0.04436476639359083
gradient_boosting,test,0.5,0.5,0,5,5,12012.0,1874.6818396730685,11680.0,1765.0655511906632,11680.0,1765.0655511906632,12.174072871674399,6.872261769219748,0.5,0.0,11.674072871674399,6.872261769219748,0.6933600895951877,0.044385467242863054
gradient_boosting,test,0.5,0.5,1,5,5,12011.6,1874.7787709487218,11679.6,1765.1663491014097,11679.6,1765.1663491014097,10.96367777445247,6.567409510169982,0.5,0.0,10.463677774452472,6.567409510169982,0.6933569283998805,0.04436476639359083
gradient_boosting,test,0.5,1.0,0,5,5,12012.0,1874.6818396730685,11680.0,1765.0655511906632,11680.0,1765.0655511906632,12.174072871674399,6.872261769219748,1.0,0.0,11.174072871674399,6.872261769219748,0.6933600895951877,0.044385467242863054
gradient_boosting,test,0.5,1.0,1,5,5,12011.6,1874.7787709487218,11679.6,1765.1663491014097,11679.6,1765.1663491014097,10.96367777445247,6.567409510169982,1.0,0.0,9.963677774452472,6.567409510169982,0.6933569283998805,0.04436476639359083
gradient_boosting,test,0.5,5.0,0,5,5,12012.0,1874.6818396730685,11680.0,1765.0655511906632,11680.0,1765.0655511906632,12.174072871674399,6.872261769219748,5.0,0.0,7.174072871674399,6.872261769219748,0.6933600895951877,0.044385467242863054
gradient_boosting,test,0.5,5.0,1,5,5,12011.6,1874.7787709487218,11679.6,1765.1663491014097,11679.6,1765.1663491014097,10.96367777445247,6.567409510169982,5.0,0.0,5.963677774452472,6.567409510169982,0.6933569283998805,0.04436476639359083
gradient_boosting,test,0.6,0.0,0,5,5,8445.4,1891.6331145335769,8387.2,1875.431939580853,8387.2,1875.431939580853,14.475989736957672,8.759493636778366,0.0,0.0,14.475989736957672,8.759493636778366,0.7423152849964688,0.043811516121778235
gradient_boosting,test,0.6,0.0,1,5,5,8445.2,1891.59090714668,8387.0,1875.3867867722647,8387.0,1875.3867867722647,13.903602382947241,7.483736635905614,0.0,0.0,13.903602382947241,7.483736635905614,0.74232260064067,0.043787567082714314
gradient_boosting,test,0.6,0.5,0,5,5,8445.4,1891.6331145335769,8387.2,1875.431939580853,8387.2,1875.431939580853,14.475989736957672,8.759493636778366,0.5,0.0,13.975989736957672,8.759493636778366,0.7423152849964688,0.043811516121778235
gradient_boosting,test,0.6,0.5,1,5,5,8445.2,1891.59090714668,8387.0,1875.3867867722647,8387.0,1875.3867867722647,13.903602382947241,7.483736635905614,0.5,0.0,13.403602382947241,7.483736635905614,0.74232260064067,0.043787567082714314
gradient_boosting,test,0.6,1.0,0,5,5,8445.4,1891.6331145335769,8387.2,1875.431939580853,8387.2,1875.431939580853,14.475989736957672,8.759493636778366,1.0,0.0,13.475989736957672,8.759493636778366,0.7423152849964688,0.043811516121778235
gradient_boosting,test,0.6,1.0,1,5,5,8445.2,1891.59090714668,8387.0,1875.3867867722647,8387.0,1875.3867867722647,13.903602382947241,7.483736635905614,1.0,0.0,12.903602382947241,7.483736635905614,0.74232260064067,0.043787567082714314
gradient_boosting,test,0.6,5.0,0,5,5,8445.4,1891.6331145335769,8387.2,1875.431939580853,8387.2,1875.431939580853,14.475989736957672,8.759493636778366,5.0,0.0,9.475989736957672,8.759493636778364,0.7423152849964688,0.043811516121778235
gradient_boosting,test,0.6,5.0,1,5,5,8445.2,1891.59090714668,8387.0,1875.3867867722647,8387.0,1875.3867867722647,13.903602382947241,7.483736635905614,5.0,0.0,8.903602382947241,7.483736635905614,0.74232260064067,0.043787567082714314
gradient_boosting,test,0.7,0.0,0,5,5,4480.6,2040.074567264638,4475.0,2037.945337834163,4475.0,2037.945337834163,13.475326207828573,16.198936465942136,0.0,0.0,13.475326207828573,16.198936465942136,0.7961569734945371,0.05659388646169073
gradient_boosting,test,0.7,0.0,1,5,5,4480.8,2040.2271834283551,4475.2,2038.0979760551256,4475.2,2038.0979760551256,9.72702405335214,16.495547008192954,0.0,0.0,9.72702405335214,16.495547008192954,0.7961940251905334,0.05661251415004527
gradient_boosting,test,0.7,0.5,0,5,5,4480.6,2040.074567264638,4475.0,2037.945337834163,4475.0,2037.945337834163,13.475326207828573,16.198936465942136,0.5,0.0,12.975326207828573,16.198936465942136,0.7961569734945371,0.05659388646169073
gradient_boosting,test,0.7,0.5,1,5,5,4480.8,2040.2271834283551,4475.2,2038.0979760551256,4475.2,2038.0979760551256,9.72702405335214,16.495547008192954,0.5,0.0,9.22702405335214,16.495547008192954,0.7961940251905334,0.05661251415004527
gradient_boosting,test,0.7,1.0,0,5,5,4480.6,2040.074567264638,4475.0,2037.945337834163,4475.0,2037.945337834163,13.475326207828573,16.198936465942136,1.0,0.0,12.475326207828575,16.19893646594214,0.7961569734945371,0.05659388646169073
