model_name,split,fold_count,run_count,n_samples_mean,mean_confidence_mean,mean_confidence_std,ece_mean,ece_std
elastic_net,test,5,5,35578.4,0.6067423586260865,0.010493127049517421,0.020399590857112144,0.007682251339680233
elastic_net,validation,5,5,16368.0,0.6076743456693454,0.009697446561477805,0.03980897313777468,0.013825688040150007
gradient_boosting,test,5,5,35578.4,0.625387637422023,0.01618938792268275,0.024544392940297935,0.014393801650746118
gradient_boosting,validation,5,5,16368.0,0.6245931122383219,0.014926458775615875,0.03641162605095837,0.02343596169435948
logistic,test,5,5,35578.4,0.6067458754586063,0.0105231945437606,0.02056450997143546,0.007462458635432239
logistic,validation,5,5,16368.0,0.6077194757194753,0.009668371556368304,0.039830477111653426,0.013481406571657948
majority,test,5,5,35578.4,0.6126985156302144,0.010831871291612427,0.024285120472328826,0.013244260181182773
majority,validation,5,5,16368.0,0.6126985156302144,0.010831871291612432,0.03693071624717559,0.019884209360498294
random_forest,test,5,5,35578.4,0.5542767191856302,0.02001601429449919,0.07294956695317915,0.022756195160658323
random_forest,validation,5,5,16368.0,0.5314917691126623,0.03128512567209883,0.09376857748235554,0.0289556039224845
