fold_id,model_name,split,accuracy,macro_f1,mcc,brier_score,ece,n_train,n_validation,n_test,seed,status,error
1,majority,validation,0.6149822844609415,0.2538654408692019,0.0,0.5483396349475288,0.01908054120527858,33585,5927,38397,0,ok,
1,majority,test,0.5911659765085814,0.24768670071144863,0.0,0.569683496580462,0.042896849157638695,33585,5927,38397,0,ok,
1,logistic,validation,0.6166694786569934,0.31122033278641087,0.09601141106438442,0.5314506385657642,0.020497387799689428,33585,5927,38397,0,ok,
1,logistic,test,0.594343308070943,0.33282132091497396,0.11839941945666792,0.5428173606334371,0.016862852538349342,33585,5927,38397,0,ok,
1,ridge,validation,0.6158258815589674,0.2948280325148483,0.07799524174374124,,,33585,5927,38397,0,ok,
1,ridge,test,0.596062192358778,0.3122164597534258,0.10822555654873446,,,33585,5927,38397,0,ok,
1,elastic_net,validation,0.6165007592373882,0.3107250483051771,0.09508602971452983,0.5314349246708786,0.01990384360387654,33585,5927,38397,0,ok,
1,elastic_net,test,0.5943693517722739,0.3325417187831567,0.11828725789159845,0.542779628165573,0.016475028327389438,33585,5927,38397,0,ok,
1,random_forest,validation,0.599122659018053,0.3924954464834502,0.15657306611818203,0.5424940775844285,0.06602364214343297,33585,5927,38397,0,ok,
1,random_forest,test,0.5980154699585906,0.4436232278425603,0.22127712820002582,0.5372164078642909,0.06661905878063387,33585,5927,38397,0,ok,
1,gradient_boosting,validation,0.6030032056689725,0.41113902003841907,0.1942128365522771,0.5226947573892823,0.01645832358055543,33585,5927,38397,0,ok,
1,gradient_boosting,test,0.6067140662030888,0.45999212052261845,0.2490021932840827,0.5197988015146451,0.013114348871054013,33585,5927,38397,0,ok,
2,majority,validation,0.6286472148541115,0.25732899022801303,0.0,0.5363325273938363,0.02020893150416736,66222,11687,28535,0,ok,
2,majority,test,0.6435955843700718,0.2610518834399432,0.0,0.5241918361005984,0.03515730102012771,66222,11687,28535,0,ok,
2,logistic,validation,0.6255668691708737,0.34718089930972457,0.12127658328419835,0.5161084572017738,0.03716398230128356,66222,11687,28535,0,ok,
2,logistic,test,0.6447520588750657,0.31135009744071246,0.09594275620858116,0.5024350290758338,0.025840207680680734,66222,11687,28535,0,ok,
2,ridge,validation,0.6293317361170532,0.32871591089301067,0.11336833216316891,,,66222,11687,28535,0,ok,
2,ridge,test,0.6454529525144559,0.29710124880418776,0.08390074491323683,,,66222,11687,28535,0,ok,
2,elastic_net,validation,0.625737999486609,0.34750022026552535,0.1218413050262075,0.5160894974543331,0.037098479837232454,66222,11687,28535,0,ok,
2,elastic_net,test,0.6447520588750657,0.3113644356096977,0.09590362452614586,0.5024439120483573,0.025850575425695868,66222,11687,28535,0,ok,
2,random_forest,validation,0.6283049542226405,0.40403321240503076,0.17880946110730625,0.5168336070782952,0.08954013005904,66222,11687,28535,0,ok,
2,random_forest,test,0.6420536183634133,0.4504374930952047,0.22585287931882672,0.5124905906748476,0.11519590533485752,66222,11687,28535,0,ok,
2,gradient_boosting,validation,0.6461880722169933,0.440480517431431,0.23588004383082475,0.4798181247724532,0.032038882981860736,66222,11687,28535,0,ok,
2,gradient_boosting,test,0.6685123532503943,0.46648172437288377,0.27045678079214514,0.4585828892194804,0.05280408918676837,66222,11687,28535,0,ok,
3,majority,validation,0.6774597607565604,0.2692403424930307,0.0,0.49583849076222786,0.0675036393113313,90477,15967,37023,0,ok,
3,majority,test,0.5981146854657915,0.24950845347350156,0.0,0.561771214164473,0.011841435979437764,90477,15967,37023,0,ok,
3,logistic,validation,0.6755808855765015,0.3196867845286192,0.09375924442566622,0.47272082413679317,0.05853088030830155,90477,15967,37023,0,ok,
3,logistic,test,0.6069740431623585,0.3255002225412065,0.12785368394134666,0.5344446962455868,0.016467338985587318,90477,15967,37023,0,ok,
3,ridge,validation,0.6776476482745662,0.3083157349285011,0.0880392936716679,,,90477,15967,37023,0,ok,
3,ridge,test,0.6063798179510035,0.3090852518407341,0.11671391488070579,,,90477,15967,37023,0,ok,
3,elastic_net,validation,0.6756435147491702,0.3203446027585914,0.09446365261433036,0.47269039253580525,0.05911161125589844,90477,15967,37023,0,ok,
3,elastic_net,test,0.6067579612673203,0.3249415624447181,0.1269474560056485,0.5344278687846566,0.01615828765478372,90477,15967,37023,0,ok,
3,random_forest,validation,0.6604246257906933,0.39242334901778975,0.15264997617005782,0.5036499370706331,0.12861956681760026,90477,15967,37023,0,ok,
3,random_forest,test,0.6265834751370769,0.45118832620984284,0.24622680207961659,0.5092169081275035,0.05640195552945734,90477,15967,37023,0,ok,
3,gradient_boosting,validation,0.688169349282896,0.41897411159459375,0.22531599440393868,0.4418948659356206,0.05457853993491347,90477,15967,37023,0,ok,
3,gradient_boosting,test,0.6414120951840747,0.463843416975055,0.27775680134832587,0.4797466005789559,0.01798716926734612,90477,15967,37023,0,ok,
4,majority,validation,0.6600529715161935,0.26507305603761966,0.0,0.5108762119172147,0.053694419370161506,121946,21521,34785,0,ok,
