fold,horizon,seed,lookback,model_family,ssl_objective,supervised_run_id,ssl_run_id,supervised_macro_f1,ssl_macro_f1,delta_macro_f1,supervised_mcc,ssl_mcc,delta_mcc,supervised_ece,ssl_ece,delta_ece
1,10,0,20,matrix_transformer,masked_reconstruction,fold_1__h10__seed_0__lb20__supervised,fold_1__h10__seed_0__lb20__masked_reconstruction,0.2760479579596437,0.3212193950277254,0.04517143706808169,-0.023084984977199,0.0054207783237872,0.0285057633009862,0.1195301970840779,0.1520280729014138,0.03249787581733589
1,10,0,20,matrix_transformer,next_field,fold_1__h10__seed_0__lb20__supervised,fold_1__h10__seed_0__lb20__next_field,0.2760479579596437,0.2476608474446737,-0.028387110514970004,-0.023084984977199,,,0.1195301970840779,0.0988430506940966,-0.0206871463899813
1,10,1,20,matrix_transformer,masked_reconstruction,fold_1__h10__seed_1__lb20__supervised,fold_1__h10__seed_1__lb20__masked_reconstruction,0.2997821486585026,0.2849542112147222,-0.014827937443780415,-0.0235122012044123,-0.029860458605292,-0.0063482574008797005,0.1661234203386267,0.1321458792146026,-0.0339775411240241
1,10,1,20,matrix_transformer,next_field,fold_1__h10__seed_1__lb20__supervised,fold_1__h10__seed_1__lb20__next_field,0.2997821486585026,0.2476608474446737,-0.05212130121382891,-0.0235122012044123,,,0.1661234203386267,0.0944642479389232,-0.0716591723997035
1,10,2,20,matrix_transformer,masked_reconstruction,fold_1__h10__seed_2__lb20__supervised,fold_1__h10__seed_2__lb20__masked_reconstruction,0.2702190667849797,0.2674250913245116,-0.002793975460468112,0.0308423569593501,-0.0352451181401895,-0.0660874750995396,0.1542568201776782,0.2176019589961867,0.0633451388185085
1,10,2,20,matrix_transformer,next_field,fold_1__h10__seed_2__lb20__supervised,fold_1__h10__seed_2__lb20__next_field,0.2702190667849797,0.2476608474446737,-0.022558219340305996,0.0308423569593501,,,0.1542568201776782,0.1226988725073355,-0.0315579476703427
1,20,0,20,matrix_transformer,masked_reconstruction,fold_1__h20__seed_0__lb20__supervised,fold_1__h20__seed_0__lb20__masked_reconstruction,0.3008972644269983,0.3635497954883411,0.06265253106134278,0.0190278777557836,0.0770581018601606,0.058030224104377,0.038950209247518,0.1272046904744465,0.0882544812269285
1,20,0,20,matrix_transformer,next_field,fold_1__h20__seed_0__lb20__supervised,fold_1__h20__seed_0__lb20__next_field,0.3008972644269983,0.2166247442144084,-0.08427252021258994,0.0190278777557836,,,0.038950209247518,0.1298107346529351,0.09086052540541711
1,20,1,20,matrix_transformer,masked_reconstruction,fold_1__h20__seed_1__lb20__supervised,fold_1__h20__seed_1__lb20__masked_reconstruction,0.3503696282203564,0.2928189244572948,-0.057550703763061595,0.0173261301703816,-0.0118364703527049,-0.0291626005230865,0.1029516799035616,0.115562596763862,0.0126109168603004
1,20,1,20,matrix_transformer,next_field,fold_1__h20__seed_1__lb20__supervised,fold_1__h20__seed_1__lb20__next_field,0.3503696282203564,0.2166247442144084,-0.133744884005948,0.0173261301703816,,,0.1029516799035616,0.1077562279745103,0.004804548070948697
1,20,2,20,matrix_transformer,masked_reconstruction,fold_1__h20__seed_2__lb20__supervised,fold_1__h20__seed_2__lb20__masked_reconstruction,0.362063627236223,0.2800749434688883,-0.0819886837673347,0.0368561949506428,-0.014018258792213,-0.050874453742855805,0.0506417326620133,0.1531906869793753,0.102548954317362
1,20,2,20,matrix_transformer,next_field,fold_1__h20__seed_2__lb20__supervised,fold_1__h20__seed_2__lb20__next_field,0.362063627236223,0.2166247442144084,-0.1454388830218146,0.0368561949506428,,,0.0506417326620133,0.1384411804019671,0.0877994477399538
1,50,0,20,matrix_transformer,masked_reconstruction,fold_1__h50__seed_0__lb20__supervised,fold_1__h50__seed_0__lb20__masked_reconstruction,0.3558359411227859,0.4274369602609278,0.07160101913814193,0.0444423557274433,0.1511690151842268,0.10672665945678349,0.0831653807010802,0.0738699338789811,-0.00929544682209911
