true_label,predicted_label,count,row_normalised_percent
up,up,73882,40.48883408686121
up,stationary,16980,9.305384299219071
up,down,91613,50.20578161391971
stationary,up,43579,25.9616702113083
stationary,stationary,45089,26.861234726764724
stationary,down,79191,47.17709506192698
down,up,49355,26.961547496135083
down,stationary,16366,8.94038468892203
down,down,117336,64.09806781494288
