model_family,pretraining_objective,horizon,threshold,run_group_count,ok_group_count,status,mean_retained_sample_fraction,mean_active_trade_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_trade_hit_rate,mean_gross_directional_proxy,mean_net_cost_adjusted_proxy,payoff_mode,cost_mode,model_key
matrix_transformer,masked_reconstruction,20,0.35,15,15,ok,0.99265126020612,0.6256488037509784,0.3935461471545985,0.354874546454724,0.2947277217980436,-8954.8,-8954.8,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.4,15,15,ok,0.8811132400105031,0.5418865154255237,0.3991628399564469,0.3536338949917906,0.291275942244953,-7954.666666666667,-7954.666666666667,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.45,15,15,ok,0.7014158812637151,0.403005800438745,0.4138628661053419,0.3489343126079265,0.2858702018706385,-6128.333333333333,-6128.333333333333,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.5,15,15,ok,0.4985970514855212,0.2497061083971566,0.4539752462621597,0.3513499777671395,0.2919663953808785,-3748.6,-3748.6,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.55,15,15,ok,0.3088151242828278,0.1346009016419423,0.5014515758564744,0.3520243245200433,0.299925928063723,-1990.5333333333333,-1990.5333333333333,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.6,15,15,ok,0.1933347914641665,0.0646483258632432,0.5335764581703003,0.3304388039648619,0.2860640863797669,-970.3333333333334,-970.3333333333334,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.65,15,15,ok,0.1218455004100945,0.0260214620382272,0.5876471467262604,0.316694224593686,0.2810322125443096,-414.73333333333335,-414.73333333333335,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.7,15,13,ok,0.080452195454602,0.0086694443779239,0.7538603867018255,0.3418552609300701,0.3055842868544894,-165.53846153846155,-165.53846153846155,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.75,15,13,ok,0.0456473892053364,0.0020961319748836,0.799181090840034,0.3053048473677021,0.4225203446609449,-49.46153846153846,-49.46153846153846,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.8,15,12,ok,0.0300742253471021,0.0004505151706523,0.8521940783159354,0.2996951784187127,0.0771428571428571,-12.25,-12.25,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.85,15,9,ok,0.0245355409234727,0.0,0.9451354970529536,0.3237990836962919,,0.0,0.0,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,20,0.9,15,7,ok,0.0105964548082637,0.0,0.9709586678146372,0.3283355493750715,,0.0,0.0,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.33,15,15,ok,1.0,0.8176541798996632,0.4367562157077133,0.4147550866093952,0.4151952633967967,-4922.266666666666,-4922.266666666666,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
