true_label,predicted_label,count,row_normalised_percent
up,up,21334,20.35531638806198
up,stationary,57826,55.173269216090375
up,down,25648,24.471414395847646
stationary,up,48768,15.130023640661939
stationary,stationary,186754,57.939477423478095
stationary,down,86804,26.93049893585997
down,up,15981,15.039950309156103
down,stationary,58057,54.63828265431925
down,down,32219,30.32176703652465
