fold_id,seed,model_name,lookback,split,accuracy,macro_f1,mcc,brier_score,ece,n_train,n_validation,n_test,status,error
fold_1,0,deeplob_style,20,test,0.49804575538068685,0.4995108857843961,0.3035774896609226,0.6298639266542733,0.22020757158833426,33585,5927,38397,ok,
fold_1,0,matrix_transformer,20,test,0.7607222888112981,0.6809423311571964,0.5612900483824037,0.33584150943342955,0.05462601940775434,33585,5927,38397,ok,
fold_2,0,deeplob_style,20,test,0.45009819048954974,0.43791556052662833,0.27623973711560984,0.9428113685330483,0.41731385638080487,66222,11687,28535,ok,
fold_2,0,matrix_transformer,20,test,0.8222401458830131,0.7436381427447326,0.6448036558985163,0.24575156410286889,0.020123895738927734,66222,11687,28535,ok,
fold_3,0,deeplob_style,20,test,0.45649119014160633,0.4515606347806065,0.2559787920967315,0.7466808594829526,0.279176435879314,90477,15967,37023,ok,
fold_3,0,matrix_transformer,20,test,0.802129499513566,0.7338142727764269,0.632452095269451,0.27016187108313194,0.0355314596037717,90477,15967,37023,ok,
fold_4,0,deeplob_style,20,test,0.4801530230685152,0.47737497780788934,0.29316359048883495,0.6661802296020178,0.21716747559594796,121946,21521,34785,ok,
fold_4,0,matrix_transformer,20,test,0.7977621814416384,0.7471132055474672,0.6413546306756692,0.2720572093787965,0.020838390804861356,121946,21521,34785,ok,
fold_5,0,deeplob_style,20,test,0.5228323920987402,0.5100659002644224,0.337038122783327,0.8322937891039884,0.3613963503491055,151514,26738,39152,ok,
fold_5,0,matrix_transformer,20,test,0.8211483913832316,0.7631542086577122,0.6643459844889738,0.2452361108563992,0.026463079561701623,151514,26738,39152,ok,
