model_family,pretraining_objective,horizon,fold,seed,lookback,confidence_threshold,fee_bps,spread_multiplier,gross_proxy,net_proxy,degradation_percentage,active_trade_count,active_trade_fraction,average_cost_per_active_trade,cost_mode,payoff_mode,status,skipped_reason
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,1.0,2.0,-11334.0,-11711.6388,3.331911064055061,18788,0.4895513054354057,0.020100000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,2.0,0.0,-11334.0,-11337.7576,0.033153343920953066,18788,0.4895513054354057,0.00020000000000000004,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,2.0,0.5,-11334.0,-11431.6976,0.8619869419445872,18788,0.4895513054354057,0.005199999999999998,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,2.0,1.0,-11334.0,-11525.6376,1.6908205399682372,18788,0.4895513054354057,0.010199999999999997,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,2.0,2.0,-11334.0,-11713.5176,3.3484877360155214,18788,0.4895513054354057,0.0202,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,5.0,0.0,-11334.0,-11343.394,0.08288335980236662,18788,0.4895513054354057,0.0005000000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,5.0,0.5,-11334.0,-11437.334,0.9117169578260168,18788,0.4895513054354057,0.0055000000000000005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,5.0,1.0,-11334.0,-11531.274,1.7405505558496508,18788,0.4895513054354057,0.0105,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,5.0,2.0,-11334.0,-11719.154,3.3982177518969516,18788,0.4895513054354057,0.0205,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,10.0,0.0,-11334.0,-11352.788,0.16576671960473324,18788,0.4895513054354057,0.0010000000000000007,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,10.0,0.5,-11334.0,-11446.728,0.9946003176283673,18788,0.4895513054354057,0.006000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,10.0,1.0,-11334.0,-11540.668,1.8234339156520174,18788,0.4895513054354057,0.011000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,10.0,2.0,-11334.0,-11728.548,3.481101111699318,18788,0.4895513054354057,0.021,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,0.0,0.0,-11511.0,-11511.0,0.0,18785,0.48947313565063316,0.0,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,0.0,0.5,-11511.0,-11604.925,0.8159586482494942,18785,0.48947313565063316,0.005000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,0.0,1.0,-11511.0,-11698.85,1.6319172964990043,18785,0.48947313565063316,0.010000000000000002,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,0.0,2.0,-11511.0,-11886.7,3.2638345929980086,18785,0.48947313565063316,0.020000000000000004,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,1.0,0.0,-11511.0,-11512.8785,0.016319172964996204,18785,0.48947313565063316,0.00010000000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,1.0,0.5,-11511.0,-11606.8035,0.8322778212144903,18785,0.48947313565063316,0.005099999999999999,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,1.0,1.0,-11511.0,-11700.7285,1.6482364694639844,18785,0.48947313565063316,0.0101,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,1.0,2.0,-11511.0,-11888.5785,3.2801537659629885,18785,0.48947313565063316,0.020100000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,2.0,0.0,-11511.0,-11514.757,0.0326383459299766,18785,0.48947313565063316,0.00020000000000000006,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,2.0,0.5,-11511.0,-11608.682,0.8485969941794865,18785,0.48947313565063316,0.005199999999999998,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,2.0,1.0,-11511.0,-11702.607,1.6645556424289807,18785,0.48947313565063316,0.010199999999999997,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,2.0,2.0,-11511.0,-11890.457,3.2964729389279848,18785,0.48947313565063316,0.0202,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,5.0,0.0,-11511.0,-11520.3925,0.0815958648249494,18785,0.48947313565063316,0.0005000000000000002,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,5.0,0.5,-11511.0,-11614.3175,0.8975545130744436,18785,0.48947313565063316,0.005500000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,5.0,1.0,-11511.0,-11708.2425,1.7135131613239536,18785,0.48947313565063316,0.0105,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,5.0,2.0,-11511.0,-11896.0925,3.345430457822958,18785,0.48947313565063316,0.0205,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,10.0,0.0,-11511.0,-11529.785,0.1631917296498988,18785,0.48947313565063316,0.0010000000000000005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,10.0,0.5,-11511.0,-11623.71,0.979150377899393,18785,0.48947313565063316,0.006000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,10.0,1.0,-11511.0,-11717.635,1.7951090261489027,18785,0.48947313565063316,0.011000000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,10.0,2.0,-11511.0,-11905.485,3.427026322647907,18785,0.48947313565063316,0.021,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,0.0,0.0,-8682.0,-8682.0,0.0,14476,0.5076448309720858,0.0,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,0.0,0.5,-8682.0,-8754.38,0.833678875835052,14476,0.5076448309720858,0.005000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,0.0,1.0,-8682.0,-8826.76,1.6673577516701246,14476,0.5076448309720858,0.010000000000000002,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,0.0,2.0,-8682.0,-8971.52,3.334715503340249,14476,0.5076448309720858,0.020000000000000004,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,1.0,0.0,-8682.0,-8683.4476,0.01667357751669559,14476,0.5076448309720858,0.00010000000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,1.0,0.5,-8682.0,-8755.8276,0.8503524533517683,14476,0.5076448309720858,0.005099999999999999,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,1.0,1.0,-8682.0,-8828.2076,1.6840313291868203,14476,0.5076448309720858,0.0101,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,1.0,2.0,-8682.0,-8972.9676,3.3513890808569444,14476,0.5076448309720858,0.020100000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,2.0,0.0,-8682.0,-8684.8952,0.033347155033412124,14476,0.5076448309720858,0.00020000000000000006,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,2.0,0.5,-8682.0,-8757.2752,0.867026030868464,14476,0.5076448309720858,0.005199999999999998,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,2.0,1.0,-8682.0,-8829.6552,1.7007049067035158,14476,0.5076448309720858,0.010199999999999997,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,2.0,2.0,-8682.0,-8974.4152,3.3680626583736406,14476,0.5076448309720858,0.0202,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,5.0,0.0,-8682.0,-8689.238,0.0833678875834989,14476,0.5076448309720858,0.0005000000000000002,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,5.0,0.5,-8682.0,-8761.618,0.9170467634185716,14476,0.5076448309720858,0.0055000000000000005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,5.0,1.0,-8682.0,-8833.998,1.7507256392536235,14476,0.5076448309720858,0.0105,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,5.0,2.0,-8682.0,-8978.758,3.418083390923748,14476,0.5076448309720858,0.020499999999999997,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,10.0,0.0,-8682.0,-8696.476,0.16673577516701873,14476,0.5076448309720858,0.0010000000000000005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,10.0,0.5,-8682.0,-8768.856,1.0004146510020706,14476,0.5076448309720858,0.006000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,10.0,1.0,-8682.0,-8841.236,1.8340935268371432,14476,0.5076448309720858,0.011000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,10.0,2.0,-8682.0,-8985.996,3.501451278507247,14476,0.5076448309720858,0.021,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,0.0,0.0,-8815.0,-8815.0,0.0,14491,0.5081708514518165,0.0,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,0.0,0.5,-8815.0,-8887.455,0.8219512195121943,14491,0.5081708514518165,0.005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,0.0,1.0,-8815.0,-8959.91,1.6439024390243886,14491,0.5081708514518165,0.01,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,0.0,2.0,-8815.0,-9104.82,3.287804878048777,14491,0.5081708514518165,0.02,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,1.0,0.0,-8815.0,-8816.4491,0.01643902439024182,14491,0.5081708514518165,0.00010000000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,1.0,0.5,-8815.0,-8888.9041,0.8383902439024361,14491,0.5081708514518165,0.005099999999999999,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,1.0,1.0,-8815.0,-8961.3591,1.6603414634146305,14491,0.5081708514518165,0.0101,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,1.0,2.0,-8815.0,-9106.2691,3.304243902439019,14491,0.5081708514518165,0.020100000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,2.0,0.0,-8815.0,-8817.8982,0.03287804878048364,14491,0.5081708514518165,0.00020000000000000006,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,2.0,0.5,-8815.0,-8890.3532,0.854829268292678,14491,0.5081708514518165,0.005199999999999998,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,2.0,1.0,-8815.0,-8962.8082,1.6767804878048722,14491,0.5081708514518165,0.010199999999999997,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,2.0,2.0,-8815.0,-9107.7182,3.320682926829261,14491,0.5081708514518165,0.0202,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,5.0,0.0,-8815.0,-8822.2455,0.08219512195122974,14491,0.5081708514518165,0.0005000000000000002,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,5.0,0.5,-8815.0,-8894.7005,0.904146341463424,14491,0.5081708514518165,0.005500000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,5.0,1.0,-8815.0,-8967.1555,1.7260975609756184,14491,0.5081708514518165,0.0105,unit_proxy,unit_payoff,ok,
