model_family,pretraining_objective,horizon,fold,seed,lookback,threshold,status,skipped_reason,sample_count,retained_count,retained_sample_fraction,active_trade_count,active_trade_fraction,classification_accuracy,macro_f1,directional_trade_hit_rate,gross_directional_proxy,net_cost_adjusted_proxy,turnover_proxy,payoff_mode,cost_mode,reference_fee_bps,reference_spread_multiplier,true_up_fraction,true_stationary_fraction,true_down_fraction,predicted_up_fraction,predicted_stationary_fraction,predicted_down_fraction
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.35,ok,,38378,38376,0.9999478868101517,18786,0.4894991922455573,0.38745570148009173,0.28496578214761187,0.19839241988715,-11332.0,-11332.0,0.48951194726007763,unit_payoff,unit_proxy,0.0,0.0,0.20861997081509276,0.5910986032937252,0.200281425891182,0.4671409214092141,0.510475297060663,0.022383781530122993
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.4,ok,,38378,33481,0.8724008546563136,13896,0.3620824430663401,0.41901376900331533,0.2837273940744029,0.20797351755900978,-8116.0,-8116.0,0.3620918779477291,unit_payoff,unit_proxy,0.0,0.0,0.21669006302081778,0.5892297123741824,0.19408022460499985,0.41106896448732116,0.5849586332546818,0.003972402257997073
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.45,ok,,38378,20044,0.5222783886601698,463,0.012064203449893169,0.5637098383556176,0.2619863439109364,0.34989200863930886,-139.0,-139.0,0.012064517810146702,unit_payoff,unit_proxy,0.0,0.0,0.22645180602674117,0.5646577529435243,0.20889044102973459,0.02274995010975853,0.9769008181999601,0.00034923169028138097
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.5,ok,,38378,19588,0.510396581374746,12,0.0003126791390901037,0.5684602818051868,0.24192881011508838,0.16666666666666666,-8.0,-8.0,0.00031268728665607005,unit_payoff,unit_proxy,0.0,0.0,0.22355523790075557,0.5687665917908924,0.20767817030835206,0.000612619971411068,0.999387380028589,0.0
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.55,ok,,38378,19579,0.5101620720204284,8,0.00020845275939340247,0.5684151386689821,0.24161700372336384,0.0,-8.0,-8.0,0.0002084581911040467,unit_payoff,unit_proxy,0.0,0.0,0.22355585065631545,0.5687726645896113,0.20767148475407324,0.0004086010521477093,0.9995913989478523,0.0
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.6,ok,,38378,19523,0.5087029027046746,0,0.0,0.5697382574399427,0.24196741282168419,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,0.22317266813502024,0.5697382574399427,0.20708907442503713,0.0,1.0,0.0
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.65,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.7,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.75,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.8,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.85,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.9,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.95,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
