model_family,pretraining_objective,horizon,confidence_bucket,fill_assumption,adverse_selection_mode,filled_count,adverse_count,adverse_fraction,status,skipped_reason
matrix_transformer,next_field,10.0,0.70-0.85,passive_conservative,label_proxy,2014,244,0.1211519364448858,ok,
matrix_transformer,next_field,10.0,0.85-1.00,passive_conservative,label_proxy,186,23,0.12365591397849462,ok,
matrix_transformer,next_field,20.0,0.70-0.85,passive_conservative,label_proxy,5293,922,0.1741923294917816,ok,
matrix_transformer,next_field,20.0,0.85-1.00,passive_conservative,label_proxy,2762,379,0.13721940622737147,ok,
matrix_transformer,next_field,50.0,0.70-0.85,passive_conservative,label_proxy,9460,2575,0.27219873150105706,ok,
matrix_transformer,next_field,50.0,0.85-1.00,passive_conservative,label_proxy,1899,526,0.27698788836229593,ok,
matrix_transformer,supervised,10.0,0.70-0.85,passive_conservative,label_proxy,241,15,0.06224066390041494,ok,
matrix_transformer,supervised,20.0,0.70-0.85,passive_conservative,label_proxy,340,33,0.09705882352941177,ok,
matrix_transformer,supervised,50.0,0.70-0.85,passive_conservative,label_proxy,2286,641,0.2804024496937883,ok,
matrix_transformer,supervised,50.0,0.85-1.00,passive_conservative,label_proxy,455,150,0.32967032967032966,ok,
all,all,,all,abstain_only,label_proxy,0,0,,skipped,fill assumption produced no filled trades
