model_family,pretraining_objective,horizon,fold,seed,lookback,confidence_threshold,fill_mode,active_signal_count,filled_count,fill_fraction,directional_hit_rate_on_filled_trades,gross_proxy,net_proxy,average_cost,cost_mode,fill_fallback,status,skipped_reason
matrix_transformer,masked_reconstruction,10,fold_3,1,20,0.33,abstain_only,22981,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,0.33,aggressive_crossing,23266,23266,1.0,0.2194188945241984,-13056.0,-13788.878999999999,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,0.33,passive_optimistic,23266,23266,1.0,0.2194188945241984,-13056.0,-13544.586,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,0.33,passive_conservative,23266,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,0.33,abstain_only,23266,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_4,0,20,0.33,aggressive_crossing,16219,16219,1.0,0.22584622973056293,-8893.0,-9403.8985,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_4,0,20,0.33,passive_optimistic,16219,16219,1.0,0.22584622973056293,-8893.0,-9233.599,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_4,0,20,0.33,passive_conservative,16219,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_4,0,20,0.33,abstain_only,16219,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_4,1,20,0.33,aggressive_crossing,20063,20063,1.0,0.23331505756865872,-10701.0,-11332.9845,0.03149999999999999,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_4,1,20,0.33,passive_optimistic,20063,20063,1.0,0.23331505756865872,-10701.0,-11122.323,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_4,1,20,0.33,passive_conservative,20063,5,0.00024921497283556795,1.0,5.0,4.9475,0.0105,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_4,1,20,0.33,abstain_only,20063,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_4,2,20,0.33,aggressive_crossing,19362,19362,1.0,0.2111352133044107,-11186.0,-11795.903,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_4,2,20,0.33,passive_optimistic,19362,19362,1.0,0.2111352133044107,-11186.0,-11592.602,0.020999999999999998,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_4,2,20,0.33,passive_conservative,19362,13,0.0006714182419171573,0.23076923076923078,-7.0,-7.1365,0.0105,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_4,2,20,0.33,abstain_only,19362,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_5,0,20,0.33,aggressive_crossing,7626,7626,1.0,0.19184369263047468,-4700.0,-4940.219,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_5,0,20,0.33,passive_optimistic,7626,7626,1.0,0.19184369263047468,-4700.0,-4860.146,0.020999999999999998,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_5,0,20,0.33,passive_conservative,7626,13,0.0017046944662995017,0.0,-13.0,-13.1365,0.0105,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_5,0,20,0.33,abstain_only,7626,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_5,1,20,0.33,aggressive_crossing,19659,19659,1.0,0.2294623327737932,-10637.0,-11256.2585,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_5,1,20,0.33,passive_optimistic,19659,19659,1.0,0.2294623327737932,-10637.0,-11049.839,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
