model_family,pretraining_objective,horizon,fold,seed,lookback,partition,latency_step,retained_samples,dropped_samples,active_trades,directional_hit_rate,gross_proxy,net_proxy,degradation_vs_latency_0,net_degradation_vs_latency_0,payoff_mode,cost_mode,status,skipped_reason
matrix_transformer,masked_reconstruction,10,fold_3,0,20,test,10,36994,10,21487,0.2054730767440778,-12657.0,-12657.0,-692.0,-692.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_3,1,20,test,0,37004,0,22981,0.2256646795178626,-12609.0,-12609.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_3,1,20,test,1,37003,1,22981,0.22453331012575606,-12661.0,-12661.0,-52.0,-52.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_3,1,20,test,2,37002,2,22981,0.21561289761107003,-13071.0,-13071.0,-462.0,-462.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_3,1,20,test,5,36999,5,22981,0.2106957921761455,-13297.0,-13297.0,-688.0,-688.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_3,1,20,test,10,36994,10,22981,0.2106522779687568,-13299.0,-13299.0,-690.0,-690.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,test,0,37004,0,23266,0.2194188945241984,-13056.0,-13056.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,test,1,37003,1,23266,0.2180864781225823,-13118.0,-13118.0,-62.0,-62.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,test,2,37002,2,23266,0.21159632081148458,-13420.0,-13420.0,-364.0,-364.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,test,5,36999,5,23266,0.20785695865211037,-13594.0,-13594.0,-538.0,-538.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,test,10,36994,10,23266,0.20747012808389925,-13612.0,-13612.0,-556.0,-556.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,0,20,test,0,34766,0,16219,0.22584622973056293,-8893.0,-8893.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,0,20,test,1,34765,1,16219,0.22584622973056293,-8893.0,-8893.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,0,20,test,2,34764,2,16219,0.21758431469264444,-9161.0,-9161.0,-268.0,-268.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,0,20,test,5,34761,5,16219,0.2068561563598249,-9509.0,-9509.0,-616.0,-616.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,0,20,test,10,34756,10,16219,0.2049448178062766,-9571.0,-9571.0,-678.0,-678.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,1,20,test,0,34766,0,20063,0.23331505756865872,-10701.0,-10701.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,1,20,test,1,34765,1,20063,0.23231819767731646,-10741.0,-10741.0,-40.0,-40.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,1,20,test,2,34764,2,20063,0.2219010118127897,-11159.0,-11159.0,-458.0,-458.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,1,20,test,5,34761,5,20063,0.21686686936151123,-11361.0,-11361.0,-660.0,-660.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,1,20,test,10,34756,10,20063,0.21143398295369586,-11579.0,-11579.0,-878.0,-878.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,2,20,test,0,34766,0,19362,0.2111352133044107,-11186.0,-11186.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,2,20,test,1,34765,1,19362,0.21005061460592914,-11228.0,-11228.0,-42.0,-42.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,2,20,test,2,34764,2,19362,0.20514409668422684,-11418.0,-11418.0,-232.0,-232.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,2,20,test,5,34761,5,19362,0.20400785042867473,-11462.0,-11462.0,-276.0,-276.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_4,2,20,test,10,34756,10,19362,0.2016320628034294,-11554.0,-11554.0,-368.0,-368.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,0,20,test,0,39133,0,7626,0.19184369263047468,-4700.0,-4700.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,0,20,test,1,39132,1,7626,0.1977445580907422,-4610.0,-4610.0,90.0,90.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,0,20,test,2,39131,2,7626,0.1942040388145817,-4664.0,-4664.0,36.0,36.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,0,20,test,5,39128,5,7626,0.1911880409126672,-4710.0,-4710.0,-10.0,-10.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,0,20,test,10,39123,10,7626,0.1881720430107527,-4756.0,-4756.0,-56.0,-56.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,1,20,test,0,39133,0,19659,0.2294623327737932,-10637.0,-10637.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,1,20,test,1,39132,1,19659,0.2227478508571138,-10901.0,-10901.0,-264.0,-264.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,1,20,test,2,39131,2,19659,0.21679637824914796,-11135.0,-11135.0,-498.0,-498.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,1,20,test,5,39128,5,19659,0.21313393356732285,-11279.0,-11279.0,-642.0,-642.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,1,20,test,10,39123,10,19659,0.21155704766264816,-11341.0,-11341.0,-704.0,-704.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,2,20,test,0,39133,0,15307,0.23897563206376168,-7991.0,-7991.0,0.0,0.0,unit_payoff,unit_proxy,ok,
