horizon,model_family,run_count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,brier_score_mean,brier_score_std,ece_mean,ece_std
10,deeplob_style,45,0.5546782426295443,0.11358647103234998,0.5143424140792422,0.07180495124070001,0.3423228480100008,0.09496088699235267,0.6526426457084405,0.20448082982567714,0.22365389687562331,0.14210421170929233
10,matrix_transformer,45,0.6684432888752876,0.17728226158967142,0.5609581505538732,0.21664465671065242,0.3916385498787158,0.30021795085939756,0.4116020370402082,0.17028946166832337,0.06592147755545451,0.05580329974698617
50,deeplob_style,45,0.5304531350744613,0.05565601466266263,0.5121772851519021,0.06266781819403479,0.32879798147315387,0.08152581563592837,0.6762527239522543,0.11470362528226646,0.22098592666600808,0.10014295049652348
50,matrix_transformer,45,0.644548636336233,0.1595049552516627,0.6416742061834593,0.1632448173123977,0.46718284859959863,0.23957547516328212,0.4520345171059462,0.15284585205548484,0.057433926476575824,0.03612691212153701
