model_name,split,bin_index,bin_lower,bin_upper,count,mean_confidence,accuracy,confidence_gap
majority,validation,0,0.0,0.1,0,0.05,0.0,0.0
majority,validation,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
majority,validation,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
majority,validation,3,0.30000000000000004,0.4,0,0.35000000000000003,0.0,0.0
majority,validation,4,0.4,0.5,0,0.45,0.0,0.0
majority,validation,5,0.5,0.6000000000000001,0,0.55,0.0,0.0
majority,validation,6,0.6000000000000001,0.7000000000000001,26738,0.6046767955436463,0.6288428453885855,0.024166049844939197
majority,validation,7,0.7000000000000001,0.8,0,0.75,0.0,0.0
majority,validation,8,0.8,0.9,0,0.8500000000000001,0.0,0.0
majority,validation,9,0.9,1.0,0,0.95,0.0,0.0
majority,test,0,0.0,0.1,0,0.05,0.0,0.0
majority,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
majority,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
majority,test,3,0.30000000000000004,0.4,0,0.35000000000000003,0.0,0.0
majority,test,4,0.4,0.5,0,0.45,0.0,0.0
majority,test,5,0.5,0.6000000000000001,0,0.55,0.0,0.0
majority,test,6,0.6000000000000001,0.7000000000000001,39152,0.6046767955436463,0.6129444217409072,0.008267626197260958
majority,test,7,0.7000000000000001,0.8,0,0.75,0.0,0.0
majority,test,8,0.8,0.9,0,0.8500000000000001,0.0,0.0
majority,test,9,0.9,1.0,0,0.95,0.0,0.0
logistic,validation,0,0.0,0.1,0,0.05,0.0,0.0
logistic,validation,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
logistic,validation,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
logistic,validation,3,0.30000000000000004,0.4,1648,0.3758453299540114,0.4071601941747573,0.03131486422074592
logistic,validation,4,0.4,0.5,4915,0.4515867268055135,0.5072227873855544,0.05563606058004089
logistic,validation,5,0.5,0.6000000000000001,6418,0.5519082737830385,0.5722966656279215,0.020388391844882947
logistic,validation,6,0.6000000000000001,0.7000000000000001,6954,0.6482515426318887,0.6886683922922059,0.04041684966031722
logistic,validation,7,0.7000000000000001,0.8,5346,0.7474135487236042,0.7674897119341564,0.020076163210552167
logistic,validation,8,0.8,0.9,1423,0.8250762862078588,0.8179901616303584,0.007086124577500352
logistic,validation,9,0.9,1.0,34,0.948245828831275,0.7647058823529411,0.18353994647833383
logistic,test,0,0.0,0.1,0,0.05,0.0,0.0
logistic,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
logistic,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
logistic,test,3,0.30000000000000004,0.4,2089,0.37701844016076386,0.40593585447582575,0.028917414315061896
logistic,test,4,0.4,0.5,7634,0.45423334131219006,0.510872412889704,0.05663907157751391
logistic,test,5,0.5,0.6000000000000001,10901,0.5518887928491568,0.6101275112375012,0.05823871838834438
logistic,test,6,0.6000000000000001,0.7000000000000001,10454,0.645570204975158,0.6536254065429501,0.008055201567792047
logistic,test,7,0.7000000000000001,0.8,6549,0.746811707180162,0.7483585280195449,0.0015468208393829563
logistic,test,8,0.8,0.9,1520,0.8222158521133681,0.7960526315789473,0.026163220534420772
logistic,test,9,0.9,1.0,5,0.9072372824670832,0.8,0.1072372824670832
elastic_net,validation,0,0.0,0.1,0,0.05,0.0,0.0
elastic_net,validation,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
elastic_net,validation,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
elastic_net,validation,3,0.30000000000000004,0.4,1647,0.37587669731806783,0.4074074074074074,0.03153071008933955
elastic_net,validation,4,0.4,0.5,4903,0.4515314372872864,0.5074444217825821,0.05591298449529569
elastic_net,validation,5,0.5,0.6000000000000001,6429,0.5519002561326363,0.5725618292113859,0.020661573078749607
elastic_net,validation,6,0.6000000000000001,0.7000000000000001,6956,0.6482943643242057,0.6884703852788959,0.040176020954690195
elastic_net,validation,7,0.7000000000000001,0.8,5349,0.7474254629482241,0.7672462142456534,0.01982075129742933
elastic_net,validation,8,0.8,0.9,1420,0.8250705417030666,0.8190140845070423,0.006056457196024323
elastic_net,validation,9,0.9,1.0,34,0.9482248934181043,0.7647058823529411,0.18351901106516322
elastic_net,test,0,0.0,0.1,0,0.05,0.0,0.0
elastic_net,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
elastic_net,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
elastic_net,test,3,0.30000000000000004,0.4,2091,0.37705320272479514,0.40937350549976087,0.032320302774965726
elastic_net,test,4,0.4,0.5,7625,0.45429592064344565,0.5109508196721312,0.056654899028685535
elastic_net,test,5,0.5,0.6000000000000001,10903,0.5519507234459283,0.6103824635421443,0.05843174009621599
elastic_net,test,6,0.6000000000000001,0.7000000000000001,10450,0.6455761400341083,0.6532057416267942,0.007629601592685886
elastic_net,test,7,0.7000000000000001,0.8,6562,0.7467746565639165,0.7487046632124352,0.0019300066485187228
elastic_net,test,8,0.8,0.9,1516,0.8222596509343095,0.7955145118733509,0.026745139060958656
elastic_net,test,9,0.9,1.0,5,0.9069667279288398,0.8,0.10696672792883977
random_forest,validation,0,0.0,0.1,0,0.05,0.0,0.0
random_forest,validation,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
random_forest,validation,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
random_forest,validation,3,0.30000000000000004,0.4,1619,0.3695680461190034,0.3885114268066708,0.018943380687667377
random_forest,validation,4,0.4,0.5,6864,0.44213021469271474,0.49533799533799533,0.05320778064528059
random_forest,validation,5,0.5,0.6000000000000001,6859,0.540242378800186,0.6372649074209068,0.0970225286207208
random_forest,validation,6,0.6000000000000001,0.7000000000000001,5824,0.6379138365354883,0.7039835164835165,0.06606967994802826
random_forest,validation,7,0.7000000000000001,0.8,3825,0.7364012615416536,0.7720261437908497,0.03562488224919602
random_forest,validation,8,0.8,0.9,1560,0.8312326566951567,0.8301282051282052,0.001104451566951492
random_forest,validation,9,0.9,1.0,187,0.9179126559714796,0.9144385026737968,0.003474153297682858
random_forest,test,0,0.0,0.1,0,0.05,0.0,0.0
random_forest,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
random_forest,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
random_forest,test,3,0.30000000000000004,0.4,2238,0.3695426833121202,0.3780160857908847,0.008473402478764491
random_forest,test,4,0.4,0.5,10733,0.4425866140340192,0.4950153731482344,0.052428759114215184
random_forest,test,5,0.5,0.6000000000000001,10329,0.5391124733637077,0.6423661535482622,0.1032536801845545
random_forest,test,6,0.6000000000000001,0.7000000000000001,7781,0.6369213795101213,0.7321681017864028,0.0952467222762815
random_forest,test,7,0.7000000000000001,0.8,5105,0.7367203162165944,0.8248775710088149,0.08815725479222047
random_forest,test,8,0.8,0.9,2534,0.832182292253918,0.8756906077348067,0.043508315480888626
random_forest,test,9,0.9,1.0,432,0.9219483024691357,0.9004629629629629,0.021485339506172818
gradient_boosting,validation,0,0.0,0.1,0,0.05,0.0,0.0
gradient_boosting,validation,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
gradient_boosting,validation,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
gradient_boosting,validation,3,0.30000000000000004,0.4,1782,0.3761551617340064,0.38047138047138046,0.0043162187373740335
gradient_boosting,validation,4,0.4,0.5,4159,0.44751557205237796,0.4491464294301515,0.0016308573777735202
gradient_boosting,validation,5,0.5,0.6000000000000001,3521,0.5504771758182384,0.5302470888952002,0.020230086923038182
gradient_boosting,validation,6,0.6000000000000001,0.7000000000000001,5615,0.6559039041356655,0.6639358860195904,0.008031981883924955
gradient_boosting,validation,7,0.7000000000000001,0.8,7821,0.7495926502212301,0.7514384349827388,0.001845784761508651
gradient_boosting,validation,8,0.8,0.9,3840,0.8347937057656846,0.8528645833333334,0.018070877567648802
gradient_boosting,validation,9,0.9,1.0,0,0.95,0.0,0.0
gradient_boosting,test,0,0.0,0.1,0,0.05,0.0,0.0
gradient_boosting,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
gradient_boosting,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
gradient_boosting,test,3,0.30000000000000004,0.4,2311,0.3760217643996829,0.3738641280830809,0.002157636316601985
gradient_boosting,test,4,0.4,0.5,6567,0.45034549901945337,0.45165220039591897,0.0013067013764656021
gradient_boosting,test,5,0.5,0.6000000000000001,5864,0.5500621122229516,0.5370054570259208,0.013056655197030809
gradient_boosting,test,6,0.6000000000000001,0.7000000000000001,7934,0.6531123934400402,0.6623392992185531,0.009226905778512817
gradient_boosting,test,7,0.7000000000000001,0.8,11243,0.750200071716868,0.7934714933736547,0.04327142165678677
gradient_boosting,test,8,0.8,0.9,5193,0.833286772450229,0.8717504332755632,0.038463660825334256
gradient_boosting,test,9,0.9,1.0,40,0.908514034813605,0.95,0.04148596518639491
