feature_group,seed,run_count,mean_delta_macro_f1,mean_delta_mcc,std_delta_macro_f1,std_delta_mcc,macro_f1_degradation_count,macro_f1_improvement_count,macro_f1_neutral_count,mcc_degradation_count,mcc_improvement_count,mcc_neutral_count
depth_imbalance,0,40,-0.00011066611836254428,2.4944545337233104e-06,0.0009351096074437734,0.0010429490351648173,17,22,1,17,22,1
depth_imbalance,1,30,1.6974930724039906e-07,9.797095194868858e-05,0.0007451670864234596,0.0009303269017310699,13,16,1,13,16,1
depth_imbalance,2,30,1.6974930724039906e-07,9.797095194868858e-05,0.0007451670864234596,0.0009303269017310699,13,16,1,13,16,1
depth_slope,0,30,4.006331789087286e-05,7.171651463445062e-05,0.0007650606836158634,0.0009420395430678584,7,8,15,5,10,15
depth_slope,1,30,4.006331789087286e-05,7.171651463445062e-05,0.0007650606836158634,0.0009420395430678584,7,8,15,5,10,15
depth_slope,2,30,4.006331789087286e-05,7.171651463445062e-05,0.0007650606836158634,0.0009420395430678584,7,8,15,5,10,15
liquidity_concentration,0,30,0.0004199124007771286,0.00039440186305063157,0.00130814628181868,0.0013337109949795943,11,15,4,12,14,4
liquidity_concentration,1,30,0.0004199124007771286,0.00039440186305063157,0.00130814628181868,0.0013337109949795943,11,15,4,12,14,4
liquidity_concentration,2,30,0.0004199124007771286,0.00039440186305063157,0.00130814628181868,0.0013337109949795943,11,15,4,12,14,4
microprice,0,30,2.678247368779641e-05,3.050802364584211e-05,0.0005041751189860586,0.0007270412268434876,17,12,1,14,15,1
microprice,1,30,2.678247368779641e-05,3.050802364584211e-05,0.0005041751189860586,0.0007270412268434876,17,12,1,14,15,1
microprice,2,30,2.678247368779641e-05,3.050802364584211e-05,0.0005041751189860586,0.0007270412268434876,17,12,1,14,15,1
midprice,0,30,-2.2194540383409363e-06,8.882366964331721e-05,0.0008586011015496619,0.0009633729937851597,21,9,0,14,16,0
midprice,1,30,-2.2194540383409363e-06,8.882366964331721e-05,0.0008586011015496619,0.0009633729937851597,21,9,0,14,16,0
midprice,2,30,-2.2194540383409363e-06,8.882366964331721e-05,0.0008586011015496619,0.0009633729937851597,21,9,0,14,16,0
price_levels,0,30,-0.0060399746724569,-0.006691830510755933,0.009102416204455612,0.014973111097716473,21,9,0,17,13,0
price_levels,1,30,-0.0060399746724569,-0.006691830510755933,0.009102416204455612,0.014973111097716473,21,9,0,17,13,0
price_levels,2,30,-0.0060399746724569,-0.006691830510755933,0.009102416204455612,0.014973111097716473,21,9,0,17,13,0
size_levels,0,30,-0.00865923768097311,-0.011456092947013805,0.011016440062222797,0.019403507706396365,26,4,0,19,11,0
size_levels,1,30,-0.00865923768097311,-0.011456092947013805,0.011016440062222797,0.019403507706396365,26,4,0,19,11,0
size_levels,2,30,-0.00865923768097311,-0.011456092947013805,0.011016440062222797,0.019403507706396365,26,4,0,19,11,0
snapshot_order_flow_proxy,0,40,-0.18196356411546125,-0.2362924208794987,0.17347139757507915,0.21172910190310948,40,0,0,40,0,0
snapshot_order_flow_proxy,1,30,-0.13030214214138228,-0.17012884738763243,0.14167467662252364,0.17431744223000514,30,0,0,30,0,0
snapshot_order_flow_proxy,2,30,-0.13030214214138228,-0.17012884738763243,0.14167467662252364,0.17431744223000514,30,0,0,30,0,0
spread,0,40,-0.006626630457787453,-0.004129017475771969,0.007990004639505464,0.007062664685845222,32,8,0,23,17,0
spread,1,30,-0.008064258052996692,-0.004712540615080849,0.008602042172877626,0.007744240052110245,26,4,0,19,11,0
spread,2,30,-0.008064258052996692,-0.004712540615080849,0.008602042172877626,0.007744240052110245,26,4,0,19,11,0
top_of_book,0,30,4.476497014820318e-06,8.773070069912068e-05,0.0007965675446376424,0.000994357117291812,19,11,0,16,14,0
top_of_book,1,30,4.476497014820318e-06,8.773070069912068e-05,0.0007965675446376424,0.000994357117291812,19,11,0,16,14,0
top_of_book,2,30,4.476497014820318e-06,8.773070069912068e-05,0.0007965675446376424,0.000994357117291812,19,11,0,16,14,0
top_of_book_imbalance,0,40,0.00018821387894143535,0.0002446996383400642,0.0008638248717705494,0.0010433864135972702,8,12,20,9,11,20
top_of_book_imbalance,1,30,0.0002600840265388634,0.0003453720157779235,0.0009833556490759995,0.0011777426232862096,5,10,15,6,9,15
top_of_book_imbalance,2,30,0.0002600840265388634,0.0003453720157779235,0.0009833556490759995,0.0011777426232862096,5,10,15,6,9,15
volatility_proxy,0,30,0.00011525751878827182,0.0006620600800483211,0.0008163107146010528,0.0011422845056487953,14,16,0,8,22,0
volatility_proxy,1,30,0.00011525751878827182,0.0006620600800483211,0.0008163107146010528,0.0011422845056487953,14,16,0,8,22,0
volatility_proxy,2,30,0.00011525751878827182,0.0006620600800483211,0.0008163107146010528,0.0011422845056487953,14,16,0,8,22,0
