fold,horizon,seed,model,ablation_mode,feature_group,features_used,proxy_features_used,unsupported_groups,accuracy,macro_f1,mcc,ece,brier_score,status
fold_3,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,6,0,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.6014639548388839,0.2763930349479797,0.0769740466000615,0.012075342894807531,0.5483090088824347,completed
fold_3,10,0,gradient_boosting,remove_one_group,spread,44,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.8384517732220511,0.7914407655010471,0.7105177800264256,0.0055279090175716725,0.2710043953534424,completed
fold_3,10,0,gradient_boosting,remove_one_group,depth_imbalance,43,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.8385328039326905,0.7915296681634825,0.7105337467388543,0.0060308839115411,0.2681756843061505,completed
fold_3,10,0,gradient_boosting,remove_one_group,top_of_book_imbalance,45,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.8384247629851714,0.7913440884845252,0.7103268908401393,0.004946437037885464,0.26837233667286386,completed
fold_3,10,0,gradient_boosting,no_proxy_features,no_proxy,6,0,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.6014639548388839,0.2763930349479797,0.0769740466000615,0.012075342894807531,0.5483090088824347,completed
fold_3,50,0,gradient_boosting,all_features,all,46,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.5321556870053751,0.5313600098656345,0.30699521110865496,0.01724657365991073,0.5694242278089531,completed
fold_3,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,6,0,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.3687977743564811,0.3680896809775864,0.05362357118617147,0.01895432468354337,0.6601313100309224,completed
fold_3,50,0,gradient_boosting,remove_one_group,spread,44,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.5267806498662994,0.5260230583509318,0.29960739090093336,0.017609517401759086,0.5725938173622924,completed
fold_3,50,0,gradient_boosting,remove_one_group,depth_imbalance,43,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.5311022877670637,0.5300712985384798,0.30629093837357296,0.015652093278671196,0.569534785980478,completed
fold_3,50,0,gradient_boosting,remove_one_group,top_of_book_imbalance,45,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.5321556870053751,0.5313600098656345,0.30699521110865496,0.01724778918292516,0.5694248054104638,completed
fold_3,50,0,gradient_boosting,no_proxy_features,no_proxy,6,0,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.3687977743564811,0.3680896809775864,0.05362357118617147,0.01895432468354337,0.6601313100309224,completed
fold_4,10,0,gradient_boosting,all_features,all,46,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.8313640937185568,0.7880113508017267,0.7042191489980065,0.004236370894359218,0.2765445305259751,completed
fold_4,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,6,0,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.5928992381773753,0.29402229442066274,0.11577112934462079,0.012378063653496993,0.5548861230611398,completed
fold_4,10,0,gradient_boosting,remove_one_group,spread,44,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.8312491016242634,0.7879370094768902,0.7042727537437135,0.004581885616279532,0.28016605600821454,completed
fold_4,10,0,gradient_boosting,remove_one_group,depth_imbalance,43,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.8313640937185568,0.7880255214415276,0.7042258836527393,0.004508757862095463,0.2765086362301339,completed
fold_4,10,0,gradient_boosting,remove_one_group,top_of_book_imbalance,45,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.8314215897657036,0.7881087838266088,0.7043287368575097,0.004182569866783585,0.2765270233240524,completed
fold_4,10,0,gradient_boosting,no_proxy_features,no_proxy,6,0,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.5928992381773753,0.29402229442066274,0.11577112934462079,0.012378063653496993,0.5548861230611398,completed
fold_4,50,0,gradient_boosting,all_features,all,46,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.5172631881558143,0.5172429896769114,0.285588138906263,0.01062275015664506,0.5781171499538958,completed
fold_4,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,6,0,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.3780077619663648,0.3769468234002417,0.061344514328379604,0.006410152018938049,0.6563157693135687,completed
fold_4,50,0,gradient_boosting,remove_one_group,spread,44,40,"time_context,true_order_flow_imbalance,cancellation_imbalance,trade_imbalance,queue_position",0.513985913468449,0.5139824547455886,0.2808422997056088,0.013039118698242242,0.5791024128598476,completed
