pretraining_objective,horizon,reference_cost_adjusted_proxy,representative_fee_bps,representative_spread_multiplier,representative_cost_adjusted_proxy,representative_cost_degradation_pct,max_cost_fee_bps,max_cost_spread_multiplier,max_cost_adjusted_proxy,max_cost_degradation_pct,representative_latency_step,latency_degradation_vs_lag0,latency_directional_hit_rate
masked_reconstruction,10,-10224.2,2.0,1.0,-10406.64468,1.7789997916512417,10.0,2.0,-10599.821400000004,3.662646629870205,10,-485.3333333333333,0.1989937836083747
masked_reconstruction,20,-9021.933333333332,2.0,1.0,-9251.963053333337,2.535974743594428,10.0,2.0,-9495.523933333334,5.221124472106174,10,-1055.4666666666667,0.2727195156011808
masked_reconstruction,50,-4922.266666666666,2.0,1.0,-5220.574506666667,6.394379794308804,10.0,2.0,-5536.429866666668,13.164899576518126,10,-2236.4666666666667,0.3763680222758317
next_field,10,-2465.4666666666667,2.0,1.0,-2507.3601066666665,1.6609869060327431,10.0,2.0,-2551.717866666667,3.4196789241850607,10,-37.2,0.2004067080865831
next_field,20,-2870.6666666666665,2.0,1.0,-2944.762186666667,3.663393607029815,10.0,2.0,-3023.216266666667,7.542280955649615,10,-337.46666666666664,0.2826086525661541
next_field,50,-4668.333333333333,2.0,1.0,-4933.372173333333,6.919183803648612,10.0,2.0,-5214.001533333335,14.245378419276555,10,-1974.1333333333332,0.366863450940711
supervised,10,-8243.2,2.0,1.0,-8400.11272,1.9584772625870743,10.0,2.0,-8566.255599999999,4.032159070032214,10,-748.2,0.2076324684256358
supervised,20,-8180.4,2.0,1.0,-8404.12272,2.722977376038212,10.0,2.0,-8641.0056,5.606129891843374,10,-1508.2,0.2750827159504009
supervised,50,-4834.666666666667,2.0,1.0,-5144.036746666667,7.485485478412023,10.0,2.0,-5471.605066666667,15.411293632024757,10,-2476.6666666666665,0.3781174173905116
