source,split,metric,rank,model_name,lookback,n_folds,mean,standard_error,ci_lower,ci_upper
neural,test,macro_f1,1,matrix_transformer,20.0,5,0.733732432176707,0.014017151266732603,0.6948208202602573,0.7726440440931568
neural,test,macro_f1,2,deeplob_style,20.0,5,0.4752855918327885,0.013711843571062221,0.4372215140795198,0.5133496695860572
classical,test,macro_f1,3,gradient_boosting,,5,0.4653881257525262,0.0019558201577010337,0.45995876899474814,0.47081748251030425
classical,test,macro_f1,4,random_forest,,5,0.4546700764844619,0.004052077756145404,0.44342150863340224,0.46591864433552155
classical,test,macro_f1,5,logistic,,5,0.32606759805121416,0.005292835198720625,0.3113746875395657,0.3407605085628626
classical,test,macro_f1,6,elastic_net,,5,0.3259838670303604,0.005300138768243466,0.31127068180971657,0.3406970522510043
classical,test,macro_f1,7,ridge,,5,0.30866617990813905,0.004115467466441252,0.2972416422212981,0.32009071759498
classical,test,macro_f1,8,majority,,5,0.25142837660321493,0.0027249899271936787,0.24386380456532528,0.25899294864110456
