source,model_name,lookback,split,metric,n_folds,n_seeds,mean,std,standard_error,ci_level,ci_lower,ci_upper,bootstrap_lower,bootstrap_upper,bootstrap_iterations,n_missing
classical,elastic_net,,test,accuracy,5,1,0.6125126029671083,0.021297867195362325,0.00952469576491859,0.95,0.5860720475236942,0.6389531584105224,0.5992662428197563,0.6301427599500296,1000,0
classical,elastic_net,,test,macro_f1,5,1,0.3259838670303604,0.011851470575974394,0.005300138768243466,0.95,0.31127068180971657,0.3406970522510043,0.31748217451996386,0.336322536984352,1000,0
classical,elastic_net,,test,mcc,5,1,0.12270045219701527,0.017266579754617706,0.007721849214049365,0.95,0.10126459877881423,0.14413630561521631,0.10829372732688697,0.13439227877183246,1000,0
classical,elastic_net,,test,brier_score,5,1,0.5286961353680342,0.015699419133161998,0.00702099367780221,0.95,0.5092058569184552,0.5481864138176131,0.5156813445956965,0.538656272242662,1000,0
classical,elastic_net,,test,ece,5,1,0.0203995908571121,0.008589018107881902,0.003841125669840111,0.95,0.009736625997635952,0.031062555716588246,0.014249299140925391,0.027866389369146975,1000,0
classical,elastic_net,,validation,accuracy,5,1,0.6429905562186773,0.02557884512991163,0.011439207299284368,0.95,0.6112353167558638,0.6747457956814907,0.6234719115979093,0.6625092008394453,1000,0
classical,elastic_net,,validation,macro_f1,5,1,0.33534098426017617,0.018506448133783302,0.008276335209842717,0.95,0.3123658777176528,0.35831609080269955,0.32084202439468484,0.3489779273613133,1000,0
classical,elastic_net,,validation,mcc,5,1,0.11683306264739102,0.02101139007483386,0.00939657930181858,0.95,0.09074815850554264,0.1429179667892394,0.10018813393678554,0.13347799135799648,1000,0
classical,elastic_net,,validation,brier_score,5,1,0.5026650737158145,0.024332858558827348,0.010881985164885102,0.95,0.47245668289809345,0.5328734645335356,0.48422618898087977,0.5211182560124714,1000,0
classical,elastic_net,,validation,ece,5,1,0.039808973137774636,0.015457589146740638,0.006912844020075007,0.95,0.020618918138046418,0.05899902813750285,0.02724266045448054,0.051382630857932245,1000,0
classical,gradient_boosting,,test,accuracy,5,1,0.640951393883556,0.02388766404476347,0.010682888125553739,0.95,0.6112956964470189,0.6706070913200932,0.6216521306778977,0.658458100018215,1000,0
classical,gradient_boosting,,test,macro_f1,5,1,0.4653881257525262,0.00437334682438387,0.0019558201577010337,0.95,0.45995876899474814,0.47081748251030425,0.46230090208465213,0.46924476191842057,1000,0
classical,gradient_boosting,,test,mcc,5,1,0.2723530079601043,0.014535420706798561,0.006500437756391924,0.95,0.25430779274836035,0.29039822317184827,0.26022287182754333,0.2822805236091527,1000,0
classical,gradient_boosting,,test,brier_score,5,1,0.4816810476119559,0.024405231213950048,0.010914351200198404,0.95,0.45138280868020514,0.5119792865437067,0.46520512288102783,0.5019346702581265,1000,0
classical,gradient_boosting,,test,ece,5,1,0.0245443929402979,0.016092759472858487,0.007196900825373051,0.95,0.004565796249062313,0.04452298963153349,0.01563188079789662,0.038654734329927505,1000,0
classical,gradient_boosting,,validation,accuracy,5,1,0.6516128858032735,0.032600095895092815,0.014579206098887876,0.95,0.6111410096727607,0.6920847619337862,0.6258288134360651,0.6741977756739426,1000,0
