model_name,split,bin_index,bin_lower,bin_upper,count,mean_confidence,accuracy,confidence_gap
majority,test,0,0.0,0.1,0,0.05,0.0,0.0
majority,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
majority,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
majority,test,3,0.30000000000000004,0.4,0,0.35000000000000003,0.0,0.0
majority,test,4,0.4,0.5,0,0.45,0.0,0.0
majority,test,5,0.5,0.6000000000000001,0,0.55,0.0,0.0
majority,test,6,0.6000000000000001,0.7000000000000001,38397,0.6340628256662201,0.5911659765085814,0.042896849157638695
majority,test,7,0.7000000000000001,0.8,0,0.75,0.0,0.0
majority,test,8,0.8,0.9,0,0.8500000000000001,0.0,0.0
majority,test,9,0.9,1.0,0,0.95,0.0,0.0
logistic,test,0,0.0,0.1,0,0.05,0.0,0.0
logistic,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
logistic,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
logistic,test,3,0.30000000000000004,0.4,1752,0.3768603134869156,0.3447488584474886,0.03211145503942703
logistic,test,4,0.4,0.5,7175,0.45412485581478257,0.45714285714285713,0.00301800132807456
logistic,test,5,0.5,0.6000000000000001,10488,0.5528152890294569,0.5710335621662853,0.018218273136828445
logistic,test,6,0.6000000000000001,0.7000000000000001,10197,0.6471962907349099,0.6381288614298323,0.009067429305077646
logistic,test,7,0.7000000000000001,0.8,6880,0.7471068601418551,0.7300872093023256,0.0170196508395295
logistic,test,8,0.8,0.9,1842,0.8291982492988604,0.754614549402823,0.07458369989603741
logistic,test,9,0.9,1.0,63,0.9453543157077957,0.4444444444444444,0.5009098712633513
random_forest,test,0,0.0,0.1,0,0.05,0.0,0.0
random_forest,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
random_forest,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
random_forest,test,3,0.30000000000000004,0.4,3537,0.37000216756196397,0.3862029968900198,0.016200829328055832
random_forest,test,4,0.4,0.5,14113,0.44064802180585505,0.4998228583575427,0.05917483655168765
random_forest,test,5,0.5,0.6000000000000001,10355,0.5362034252297411,0.6383389666827619,0.10213554145302084
random_forest,test,6,0.6000000000000001,0.7000000000000001,5160,0.6357174418604651,0.7137596899224806,0.07804224806201554
random_forest,test,7,0.7000000000000001,0.8,3039,0.7374021059559066,0.7956564659427443,0.0582543599868377
random_forest,test,8,0.8,0.9,1811,0.8331954721148538,0.8288238542241856,0.0043716178906682
random_forest,test,9,0.9,1.0,382,0.9169415357766144,0.8638743455497382,0.053067190226876226
gradient_boosting,test,0,0.0,0.1,0,0.05,0.0,0.0
gradient_boosting,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
gradient_boosting,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
gradient_boosting,test,3,0.30000000000000004,0.4,1496,0.3775146530204164,0.39037433155080214,0.01285967853038572
gradient_boosting,test,4,0.4,0.5,8728,0.45641488894808374,0.45142071494042163,0.004994174007662111
gradient_boosting,test,5,0.5,0.6000000000000001,10150,0.5497605133575019,0.563743842364532,0.013983329007030143
gradient_boosting,test,6,0.6000000000000001,0.7000000000000001,9045,0.6480349777858445,0.6702045328911,0.022169555105255534
gradient_boosting,test,7,0.7000000000000001,0.8,6074,0.746469405160449,0.7403687849851828,0.006100620175266247
gradient_boosting,test,8,0.8,0.9,2880,0.8361362013854338,0.8572916666666667,0.02115546528123291
gradient_boosting,test,9,0.9,1.0,24,0.9047041050575518,0.9166666666666666,0.011962561609114797
deeplob_style,test,0,0.0,0.1,0,0.05,0.0,0.0
deeplob_style,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
deeplob_style,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
deeplob_style,test,3,0.30000000000000004,0.4,570,0.3740419671114959,0.35964912280701755,0.014392844304478347
deeplob_style,test,4,0.4,0.5,5879,0.46272058053705917,0.3578839938765096,0.10483658666054957
deeplob_style,test,5,0.5,0.6000000000000001,8426,0.5534862428605123,0.5237360550676478,0.029750187792864535
deeplob_style,test,6,0.6000000000000001,0.7000000000000001,11360,0.6482016774512223,0.6220950704225352,0.026106607028687057
deeplob_style,test,7,0.7000000000000001,0.8,5306,0.746463601775821,0.6937429325292123,0.05272066924660879
deeplob_style,test,8,0.8,0.9,6856,0.8366544815611666,0.7667736289381564,0.06988085262301025
deeplob_style,test,9,0.9,1.0,0,0.95,0.0,0.0
transformer,test,0,0.0,0.1,0,0.05,0.0,0.0
transformer,test,1,0.1,0.2,0,0.15000000000000002,0.0,0.0
transformer,test,2,0.2,0.30000000000000004,0,0.25,0.0,0.0
transformer,test,3,0.30000000000000004,0.4,2244,0.3774990333328396,0.3306595365418895,0.046839496790950064
transformer,test,4,0.4,0.5,9981,0.45212007265057963,0.38322813345356177,0.06889193919701786
transformer,test,5,0.5,0.6000000000000001,8968,0.5467295473442552,0.4025423728813559,0.14418717446289925
transformer,test,6,0.6000000000000001,0.7000000000000001,6018,0.6454745450992454,0.39664340312396146,0.24883114197528394
transformer,test,7,0.7000000000000001,0.8,3128,0.741216766543172,0.5108695652173914,0.23034720132578068
transformer,test,8,0.8,0.9,2204,0.8511884421675774,0.7336660617059891,0.11752238046158825
transformer,test,9,0.9,1.0,5851,0.9583418038824972,0.8533584002734576,0.10498340360903968
