model_name,split,confidence_threshold,cost_bps,latency_steps,eligible_predictions,trade_count_proxy,turnover_proxy,gross_signal_return_proxy,cost_proxy,net_signal_return_proxy,hit_rate_proxy
majority,test,0.0,0.0,0,19588,19588,19588.0,14.119752929450797,0.0,14.119752929450797,0.5688176434551766
majority,test,0.0,1.0,0,19588,19588,19588.0,14.119752929450797,1.0,13.119752929450797,0.5688176434551766
majority,test,0.0,5.0,0,19588,19588,19588.0,14.119752929450797,5.0,9.119752929450797,0.5688176434551766
majority,test,0.5,0.0,0,19588,19588,19588.0,14.119752929450797,0.0,14.119752929450797,0.5688176434551766
majority,test,0.5,1.0,0,19588,19588,19588.0,14.119752929450797,1.0,13.119752929450797,0.5688176434551766
majority,test,0.5,5.0,0,19588,19588,19588.0,14.119752929450797,5.0,9.119752929450797,0.5688176434551766
majority,test,0.6,0.0,0,19588,19588,19588.0,14.119752929450797,0.0,14.119752929450797,0.5688176434551766
majority,test,0.6,1.0,0,19588,19588,19588.0,14.119752929450797,1.0,13.119752929450797,0.5688176434551766
majority,test,0.6,5.0,0,19588,19588,19588.0,14.119752929450797,5.0,9.119752929450797,0.5688176434551766
majority,test,0.7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
majority,test,0.7,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
majority,test,0.7,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0
logistic,test,0.0,0.0,0,19588,18132,18132.0,15.226320652920824,0.0,15.226320652920824,0.574075964876455
logistic,test,0.0,1.0,0,19588,18132,18132.0,15.226320652920824,1.0,14.226320652920824,0.574075964876455
logistic,test,0.0,5.0,0,19588,18132,18132.0,15.226320652920824,5.0,10.226320652920824,0.574075964876455
logistic,test,0.5,0.0,0,13583,13215,13215.0,14.358631894600068,0.0,14.358631894600068,0.6453655304424648
logistic,test,0.5,1.0,0,13583,13215,13215.0,14.358631894600068,1.0,13.358631894600068,0.6453655304424648
logistic,test,0.5,5.0,0,13583,13215,13215.0,14.358631894600068,5.0,9.358631894600068,0.6453655304424648
logistic,test,0.6,0.0,0,8022,7849,7849.0,24.51382633506251,0.0,24.51382633506251,0.694091249065071
logistic,test,0.6,1.0,0,8022,7849,7849.0,24.51382633506251,1.0,23.51382633506251,0.694091249065071
logistic,test,0.6,5.0,0,8022,7849,7849.0,24.51382633506251,5.0,19.51382633506251,0.694091249065071
logistic,test,0.7,0.0,0,3656,3564,3564.0,54.45143390829343,0.0,54.45143390829343,0.7420678336980306
logistic,test,0.7,1.0,0,3656,3564,3564.0,54.45143390829343,1.0,53.45143390829343,0.7420678336980306
logistic,test,0.7,5.0,0,3656,3564,3564.0,54.45143390829343,5.0,49.45143390829343,0.7420678336980306
random_forest,test,0.0,0.0,0,19588,17718,17718.0,9.984776791530559,0.0,9.984776791530559,0.5592199305697366
random_forest,test,0.0,1.0,0,19588,17718,17718.0,9.984776791530559,1.0,8.984776791530559,0.5592199305697366
random_forest,test,0.0,5.0,0,19588,17718,17718.0,9.984776791530559,5.0,4.9847767915305585,0.5592199305697366
random_forest,test,0.5,0.0,0,7282,7082,7082.0,12.051945950460855,0.0,12.051945950460855,0.6956879978028014
random_forest,test,0.5,1.0,0,7282,7082,7082.0,12.051945950460855,1.0,11.051945950460855,0.6956879978028014
random_forest,test,0.5,5.0,0,7282,7082,7082.0,12.051945950460855,5.0,7.051945950460855,0.6956879978028014
random_forest,test,0.6,0.0,0,1677,1669,1669.0,16.507881220905478,0.0,16.507881220905478,0.7680381633870006
random_forest,test,0.6,1.0,0,1677,1669,1669.0,16.507881220905478,1.0,15.507881220905478,0.7680381633870006
random_forest,test,0.6,5.0,0,1677,1669,1669.0,16.507881220905478,5.0,11.507881220905478,0.7680381633870006
random_forest,test,0.7,0.0,0,142,142,142.0,199.92708220916296,0.0,199.92708220916296,0.7887323943661971
random_forest,test,0.7,1.0,0,142,142,142.0,199.92708220916296,1.0,198.92708220916296,0.7887323943661971
random_forest,test,0.7,5.0,0,142,142,142.0,199.92708220916296,5.0,194.92708220916296,0.7887323943661971
gradient_boosting,test,0.0,0.0,0,19588,18264,18264.0,13.060061575362836,0.0,13.060061575362836,0.5641208903410251
gradient_boosting,test,0.0,1.0,0,19588,18264,18264.0,13.060061575362836,1.0,12.060061575362836,0.5641208903410251
gradient_boosting,test,0.0,5.0,0,19588,18264,18264.0,13.060061575362836,5.0,8.060061575362836,0.5641208903410251
gradient_boosting,test,0.5,0.0,0,13233,12806,12806.0,13.933440413051766,0.0,13.933440413051766,0.6238948084334618
gradient_boosting,test,0.5,1.0,0,13233,12806,12806.0,13.933440413051766,1.0,12.933440413051766,0.6238948084334618
gradient_boosting,test,0.5,5.0,0,13233,12806,12806.0,13.933440413051766,5.0,8.933440413051766,0.6238948084334618
gradient_boosting,test,0.6,0.0,0,6826,6749,6749.0,21.42733827252613,0.0,21.42733827252613,0.6752124230881922
gradient_boosting,test,0.6,1.0,0,6826,6749,6749.0,21.42733827252613,1.0,20.42733827252613,0.6752124230881922
gradient_boosting,test,0.6,5.0,0,6826,6749,6749.0,21.42733827252613,5.0,16.42733827252613,0.6752124230881922
gradient_boosting,test,0.7,0.0,0,1920,1913,1913.0,44.16511920229634,0.0,44.16511920229634,0.7
gradient_boosting,test,0.7,1.0,0,1920,1913,1913.0,44.16511920229634,1.0,43.16511920229634,0.7
gradient_boosting,test,0.7,5.0,0,1920,1913,1913.0,44.16511920229634,5.0,39.16511920229634,0.7
deeplob_style,test,0.0,0.0,0,19588,19491,19491.0,14.119437871408621,0.0,14.119437871408621,0.5701960383908515
deeplob_style,test,0.0,1.0,0,19588,19491,19491.0,14.119437871408621,1.0,13.119437871408621,0.5701960383908515
deeplob_style,test,0.0,5.0,0,19588,19491,19491.0,14.119437871408621,5.0,9.119437871408621,0.5701960383908515
deeplob_style,test,0.5,0.0,0,14489,14489,14489.0,13.07911134239367,0.0,13.07911134239367,0.6415901718545103
deeplob_style,test,0.5,1.0,0,14489,14489,14489.0,13.07911134239367,1.0,12.07911134239367,0.6415901718545103
deeplob_style,test,0.5,5.0,0,14489,14489,14489.0,13.07911134239367,5.0,8.07911134239367,0.6415901718545103
deeplob_style,test,0.6,0.0,0,10135,10135,10135.0,19.13617904835805,0.0,19.13617904835805,0.6990626541687223
deeplob_style,test,0.6,1.0,0,10135,10135,10135.0,19.13617904835805,1.0,18.13617904835805,0.6990626541687223
deeplob_style,test,0.6,5.0,0,10135,10135,10135.0,19.13617904835805,5.0,14.136179048358049,0.6990626541687223
deeplob_style,test,0.7,0.0,0,6152,6152,6152.0,31.875413438706786,0.0,31.875413438706786,0.7439856957087126
deeplob_style,test,0.7,1.0,0,6152,6152,6152.0,31.875413438706786,1.0,30.875413438706786,0.7439856957087126
deeplob_style,test,0.7,5.0,0,6152,6152,6152.0,31.875413438706786,5.0,26.875413438706786,0.7439856957087126
transformer,test,0.0,0.0,0,19585,16208,16208.0,-3.4669416327802676,0.0,-3.4669416327802676,0.6008680112330865
transformer,test,0.0,1.0,0,19585,16208,16208.0,-3.4669416327802676,1.0,-4.466941632780268,0.6008680112330865
transformer,test,0.0,5.0,0,19585,16208,16208.0,-3.4669416327802676,5.0,-8.466941632780268,0.6008680112330865
transformer,test,0.5,0.0,0,15183,13518,13518.0,-6.507578681112617,0.0,-6.507578681112617,0.6639004149377593
transformer,test,0.5,1.0,0,15183,13518,13518.0,-6.507578681112617,1.0,-7.507578681112617,0.6639004149377593
transformer,test,0.5,5.0,0,15183,13518,13518.0,-6.507578681112617,5.0,-11.507578681112616,0.6639004149377593
transformer,test,0.6,0.0,0,11453,11043,11043.0,-0.3978368699788469,0.0,-0.3978368699788469,0.72976512704095
transformer,test,0.6,1.0,0,11453,11043,11043.0,-0.3978368699788469,1.0,-1.3978368699788468,0.72976512704095
transformer,test,0.6,5.0,0,11453,11043,11043.0,-0.3978368699788469,5.0,-5.397836869978847,0.72976512704095
transformer,test,0.7,0.0,0,9067,9033,9033.0,5.679861081276043,0.0,5.679861081276043,0.7807433550237124
transformer,test,0.7,1.0,0,9067,9033,9033.0,5.679861081276043,1.0,4.679861081276043,0.7807433550237124
transformer,test,0.7,5.0,0,9067,9033,9033.0,5.679861081276043,5.0,0.6798610812760426,0.7807433550237124
