ablation_name,ablation_type,status,model_name,split,horizon,feature_group,lookback,calibration_bins,cost_bps,latency_steps,metric_name,metric_value,source_experiment,warning
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,n_samples,38394.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,class_count_train,3.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,class_count_test,3.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,brier_score,0.61830119026569,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,mean_confidence,0.6237708479375876,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,expected_calibration_error,0.13484028587059801,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.count,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.mean_confidence,0.05,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.count,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.mean_confidence,0.15,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.count,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.mean_confidence,0.25,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.count,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.mean_confidence,0.35,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.count,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.mean_confidence,0.45,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.count,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.mean_confidence,0.55,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.count,38397.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.mean_confidence,0.6340628256662201,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.accuracy,0.5911659765085814,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.confidence_gap,0.0428968491576386,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.count,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.mean_confidence,0.75,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.count,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.mean_confidence,0.8500000000000001,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.count,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.mean_confidence,0.95,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.count,0.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.mean_confidence,0.05,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.count,0.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.mean_confidence,0.15,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.count,0.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.mean_confidence,0.25,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.count,1752.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.mean_confidence,0.3768603134869156,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.accuracy,0.3447488584474886,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.confidence_gap,0.032111455039427,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.count,7175.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.mean_confidence,0.4541248558147825,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.accuracy,0.4571428571428571,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.confidence_gap,0.0030180013280745,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.count,10488.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.mean_confidence,0.5528152890294569,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.accuracy,0.5710335621662853,experiments/baseline,none
