pretraining_objective,horizon,threshold,n_groups,mean_retained_fraction,mean_active_fraction,mean_abstention_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_hit_rate,mean_gross_directional_proxy,mean_cost_adjusted_proxy,mean_signal_change_rate,mean_turnover_adjusted_cost_proxy
masked_reconstruction,10,0.33,15,1.0,0.5052264409832705,0.4947735590167293,0.4061412567720745,0.3232775854138219,0.2124238754531264,-10224.2,-10224.2,0.5052408942426241,-0.5751522490937473
masked_reconstruction,10,0.35,15,0.9928334841197192,0.5007011013389,0.4963170682644622,0.4070067253903855,0.3230403727473546,0.2122145395118906,-10135.333333333334,-10135.333333333334,0.5007154318577175,-0.5755709209762188
masked_reconstruction,10,0.4,15,0.8951123937637592,0.4322572188808076,0.5241569565287159,0.4212584407837424,0.3196408462887949,0.2082403419312811,-8836.133333333333,-8836.133333333333,0.4322696583016081,-0.5835193161374377
masked_reconstruction,10,0.45,15,0.7118106281745207,0.2929199396470952,0.6067640331228715,0.4635039081386745,0.3138210139295666,0.2115274925020282,-6041.8,-6041.8,0.292928410914606,-0.5769450149959435
masked_reconstruction,10,0.5,15,0.5339853219677075,0.159995619606807,0.7127320489714106,0.5243306906446127,0.3096100592015429,0.1999579343908656,-3328.4,-3328.4,0.1600002004285001,-0.6000841312182686
masked_reconstruction,10,0.55,15,0.412629841630721,0.0808895212829021,0.807136112803459,0.5859753170725329,0.3066658888913073,0.1962896127328872,-1693.3333333333333,-1693.3333333333333,0.0808917859456058,-0.6074207745342256
masked_reconstruction,10,0.6,15,0.3159614881136334,0.0262519199720208,0.889665186182075,0.6473604278940037,0.3028981858755484,0.2197392950289189,-558.3333333333334,-558.3333333333334,0.0262526494330841,-0.5605214099421619
masked_reconstruction,10,0.65,14,0.2141970308946153,0.0087805215430616,0.9372135954928382,0.7255455222194168,0.3109765445426848,0.1929084993930568,-208.0,-208.0,0.0087807601560792,-0.6141830012138864
masked_reconstruction,10,0.7,13,0.1571799714295917,0.0023678115390002,0.9019776945612522,0.760178107713313,0.3050604436848723,0.1834762929634288,-62.69230769230769,-62.69230769230769,0.0023678742642733,-0.6330474140731421
masked_reconstruction,10,0.75,13,0.1134298048095619,0.0003485549680006,0.9196166543470234,0.7947372143656152,0.3012138321054362,0.3014457870779709,-9.461538461538462,-9.461538461538462,0.0003485640060281,-0.397108425844058
