pretraining_objective,horizon,predictive_macro_f1,predictive_ece,predictive_accuracy,confidence_filtered_ece,active_fraction_at_0_50,turnover_proxy_at_0_50,threshold_macro_f1_at_0_50,cost_adjusted_proxy_at_0_50,active_fraction_at_0_70,turnover_proxy_at_0_70,threshold_macro_f1_at_0_70,cost_adjusted_proxy_at_0_70,active_fraction_at_0_85,turnover_proxy_at_0_85,threshold_macro_f1_at_0_85,cost_adjusted_proxy_at_0_85,representative_fee_bps,representative_spread_multiplier,representative_cost_adjusted_proxy,representative_cost_degradation_pct,representative_latency_step,latency_degradation_vs_lag0,latency_directional_hit_rate,high_confidence_bucket,high_confidence_fill_assumption,high_confidence_adverse_selection_proxy
masked_reconstruction,10,0.323277585413822,0.1424651832931761,0.4061412567720745,unavailable: retained confidence-threshold tables do not include ECE,0.159995619606807,0.1600002004285001,0.3096100592015429,-3328.4,0.0023678115390002,0.0023678742642733,0.3050604436848723,-62.69230769230769,0.0,0.0,0.3247260968333165,0.0,2.0,1.0,-10406.64468,1.7789997916512417,10,-485.3333333333333,0.1989937836083747,unavailable,unavailable,unavailable
masked_reconstruction,20,0.354660208701847,0.1281113254174867,0.3930936856239708,unavailable: retained confidence-threshold tables do not include ECE,0.2497061083971565,0.2497132097739869,0.3513499777671395,-3748.6,0.0086694443779239,0.0086696758466101,0.3418552609300701,-165.53846153846155,0.0,0.0,0.3237990836962919,0.0,2.0,1.0,-9251.963053333337,2.535974743594428,10,-1055.4666666666667,0.2727195156011808,unavailable,unavailable,unavailable
masked_reconstruction,50,0.4147550866093952,0.0854119535713275,0.4367562157077133,unavailable: retained confidence-threshold tables do not include ECE,0.3968871081201344,0.3968985116165577,0.4207597987317028,-1843.0666666666664,0.0329805925999047,0.0329814951974662,0.4285540970728948,-101.28571428571428,0.0016548669937878,0.0016549103247649,0.3255566083915073,12.923076923076923,2.0,1.0,-5220.574506666667,6.394379794308804,10,-2236.4666666666667,0.3763680222758317,0.85-1.00,aggressive_crossing,0.2019464720194647
next_field,10,0.273269787401566,0.0846766037360791,0.5570450580658334,unavailable: retained confidence-threshold tables do not include ECE,0.05349108179347,0.0534926003091842,0.2684645589377552,-1167.7333333333331,0.0090780502236704,0.009078315688073,0.2973185687234811,-187.46666666666667,0.0006698344492096,0.000669856413308,0.277831516269184,-8.88888888888889,2.0,1.0,-2507.3601066666665,1.6609869060327431,10,-37.2,0.2004067080865831,0.85-1.00,aggressive_crossing,0.1236559139784946
next_field,20,0.2805151636127316,0.0955842958047957,0.462551515595891,unavailable: retained confidence-threshold tables do not include ECE,0.0712908772393045,0.0712927511689215,0.2817224986890236,-1166.2666666666669,0.0231301855881019,0.0231307789279695,0.3233232528891194,-405.61538461538464,0.0100864994828438,0.0100867573441542,0.3364039605785923,-175.14285714285714,2.0,1.0,-2944.762186666667,3.663393607029815,10,-337.46666666666664,0.2826086525661541,0.85-1.00,aggressive_crossing,0.1372194062273714
next_field,50,0.3822988716148037,0.0845739935464671,0.4116148442114458,unavailable: retained confidence-threshold tables do not include ECE,0.2670836651955637,0.2670912478937935,0.38625925131617,-758.8571428571429,0.0542928484519512,0.0542945103471378,0.3867296731136409,-219.83333333333331,0.0052693007634732,0.0052694478208435,0.2950114780176561,3.9,2.0,1.0,-4933.372173333333,6.919183803648612,10,-1974.1333333333332,0.366863450940711,0.85-1.00,aggressive_crossing,0.2769878883622959
supervised,10,0.3336073181458961,0.1164978477726638,0.4476840575224404,unavailable: retained confidence-threshold tables do not include ECE,0.1244908892498824,0.1244946487040563,0.3271724430881939,-2156.4666666666667,0.0022066440355659,0.002206701110313,0.3212036846075328,-47.25,0.0,0.0,0.3236812222687045,0.0,2.0,1.0,-8400.11272,1.9584772625870743,10,-748.2,0.2076324684256358,unavailable,unavailable,unavailable
supervised,20,0.3711322885696212,0.0999088512896911,0.409139097736246,unavailable: retained confidence-threshold tables do not include ECE,0.2029528696387523,0.2029589670610418,0.3821254257577611,-2607.733333333333,0.0068873131485291,0.0068875068015968,0.3757998900465982,-105.5,0.0,0.0,0.3236137485434844,0.0,2.0,1.0,-8404.12272,2.722977376038212,10,-1508.2,0.2750827159504009,unavailable,unavailable,unavailable
supervised,50,0.4179687985365532,0.0732609167633092,0.4416133999559026,unavailable: retained confidence-threshold tables do not include ECE,0.4204148523191726,0.4204268837815091,0.4281270237529216,-1327.8,0.0152445642263818,0.0152449750116205,0.4187491083687932,-26.866666666666667,0.0011855750690499,0.0011856059619042,0.3073379276658346,5.5,2.0,1.0,-5144.036746666667,7.485485478412023,10,-2476.6666666666665,0.3781174173905116,0.85-1.00,aggressive_crossing,0.3296703296703296
