pretraining_objective,horizon,confidence_bucket,fill_assumption,total_filled,total_adverse,mean_adverse_fraction,weighted_adverse_fraction,adverse_selection_mode
masked_reconstruction,10.0,0.33-0.50,aggressive_crossing,183417,34267,0.1868256486585213,0.1868256486585213,label_proxy
masked_reconstruction,10.0,0.33-0.50,passive_optimistic,183417,34267,0.1868256486585213,0.1868256486585213,label_proxy
masked_reconstruction,10.0,0.50-0.70,aggressive_crossing,83719,13641,0.1629379232910092,0.1629379232910092,label_proxy
masked_reconstruction,10.0,0.50-0.70,passive_optimistic,83719,13641,0.1629379232910092,0.1629379232910092,label_proxy
masked_reconstruction,10.0,0.70-0.85,aggressive_crossing,1165,94,0.0806866952789699,0.0806866952789699,label_proxy
masked_reconstruction,10.0,0.70-0.85,passive_conservative,175,15,0.0857142857142857,0.0857142857142857,label_proxy
masked_reconstruction,10.0,0.70-0.85,passive_optimistic,1165,94,0.0806866952789699,0.0806866952789699,label_proxy
masked_reconstruction,20.0,0.33-0.50,aggressive_crossing,204712,52779,0.2578207432881316,0.2578207432881316,label_proxy
masked_reconstruction,20.0,0.33-0.50,passive_optimistic,204712,52779,0.2578207432881316,0.2578207432881316,label_proxy
masked_reconstruction,20.0,0.50-0.70,aggressive_crossing,129329,28562,0.2208476057187483,0.2208476057187483,label_proxy
masked_reconstruction,20.0,0.50-0.70,passive_optimistic,129329,28562,0.2208476057187483,0.2208476057187483,label_proxy
masked_reconstruction,20.0,0.70-0.85,aggressive_crossing,4238,682,0.1609249646059462,0.1609249646059462,label_proxy
masked_reconstruction,20.0,0.70-0.85,passive_conservative,1045,129,0.123444976076555,0.123444976076555,label_proxy
masked_reconstruction,20.0,0.70-0.85,passive_optimistic,4238,682,0.1609249646059462,0.1609249646059462,label_proxy
masked_reconstruction,50.0,0.33-0.50,aggressive_crossing,228850,75769,0.3310858641031243,0.3310858641031243,label_proxy
masked_reconstruction,50.0,0.33-0.50,passive_optimistic,228850,75769,0.3310858641031243,0.3310858641031243,label_proxy
masked_reconstruction,50.0,0.50-0.70,aggressive_crossing,192886,59448,0.3082027726221706,0.3082027726221706,label_proxy
masked_reconstruction,50.0,0.50-0.70,passive_optimistic,192886,59448,0.3082027726221706,0.3082027726221706,label_proxy
masked_reconstruction,50.0,0.70-0.85,aggressive_crossing,16130,4090,0.2535647861128332,0.2535647861128332,label_proxy
masked_reconstruction,50.0,0.70-0.85,passive_conservative,4665,1095,0.2347266881028939,0.2347266881028939,label_proxy
masked_reconstruction,50.0,0.70-0.85,passive_optimistic,16130,4090,0.2535647861128332,0.2535647861128332,label_proxy
masked_reconstruction,50.0,0.85-1.00,aggressive_crossing,822,166,0.2019464720194647,0.2019464720194647,label_proxy
