model_name,source,fold_id,split,confidence_threshold,cost_bps,latency_steps,eligible_predictions,coverage,trade_count_proxy,turnover_proxy,gross_signal_return_proxy,cost_proxy,net_signal_return_proxy,hit_rate_proxy,adverse_selection_proxy,fill_assumption,fill_assumption_proxy,status,skip_reason
majority,classical,fold_1,test,0.7,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,full_fill_at_mid_no_queue,,ok,
logistic,classical,fold_1,test,0.0,0.0,0.0,19588.0,1.0,18132.0,18132.0,15.226320652920824,0.0,15.226320652920824,0.574075964876455,0.0,full_fill_at_mid_no_queue,0.9256687768021238,ok,
logistic,classical,fold_1,test,0.0,0.5,0.0,19588.0,1.0,18132.0,18132.0,15.226320652920824,0.5,14.726320652920824,0.574075964876455,0.0,full_fill_at_mid_no_queue,0.9256687768021238,ok,
logistic,classical,fold_1,test,0.0,1.0,0.0,19588.0,1.0,18132.0,18132.0,15.226320652920824,1.0,14.226320652920824,0.574075964876455,0.0,full_fill_at_mid_no_queue,0.9256687768021238,ok,
logistic,classical,fold_1,test,0.0,5.0,0.0,19588.0,1.0,18132.0,18132.0,15.226320652920824,5.0,10.226320652920824,0.574075964876455,0.0,full_fill_at_mid_no_queue,0.9256687768021238,ok,
logistic,classical,fold_1,test,0.0,0.0,1.0,19587.0,1.0,18131.0,18131.0,14.916864356636165,0.0,14.916864356636165,0.574156328176852,0.30945629628465987,full_fill_at_mid_no_queue,0.9256649818757339,ok,
logistic,classical,fold_1,test,0.0,0.5,1.0,19587.0,1.0,18131.0,18131.0,14.916864356636165,0.5,14.416864356636165,0.574156328176852,0.30945629628465987,full_fill_at_mid_no_queue,0.9256649818757339,ok,
logistic,classical,fold_1,test,0.0,1.0,1.0,19587.0,1.0,18131.0,18131.0,14.916864356636165,1.0,13.916864356636165,0.574156328176852,0.30945629628465987,full_fill_at_mid_no_queue,0.9256649818757339,ok,
logistic,classical,fold_1,test,0.0,5.0,1.0,19587.0,1.0,18131.0,18131.0,14.916864356636165,5.0,9.916864356636165,0.574156328176852,0.30945629628465987,full_fill_at_mid_no_queue,0.9256649818757339,ok,
logistic,classical,fold_1,test,0.5,0.0,0.0,13583.0,0.6934347559730447,13215.0,13215.0,14.358631894600068,0.0,14.358631894600068,0.6453655304424648,0.0,full_fill_at_mid_no_queue,0.9729073106088493,ok,
logistic,classical,fold_1,test,0.5,0.5,0.0,13583.0,0.6934347559730447,13215.0,13215.0,14.358631894600068,0.5,13.858631894600068,0.6453655304424648,0.0,full_fill_at_mid_no_queue,0.9729073106088493,ok,
logistic,classical,fold_1,test,0.5,1.0,0.0,13583.0,0.6934347559730447,13215.0,13215.0,14.358631894600068,1.0,13.358631894600068,0.6453655304424648,0.0,full_fill_at_mid_no_queue,0.9729073106088493,ok,
logistic,classical,fold_1,test,0.5,5.0,0.0,13583.0,0.6934347559730447,13215.0,13215.0,14.358631894600068,5.0,9.358631894600068,0.6453655304424648,0.0,full_fill_at_mid_no_queue,0.9729073106088493,ok,
logistic,classical,fold_1,test,0.5,0.0,1.0,13583.0,0.6934701587787818,13215.0,13215.0,16.30622955444774,0.0,16.30622955444774,0.6454391518810277,-1.9475976598476716,full_fill_at_mid_no_queue,0.9729073106088493,ok,
logistic,classical,fold_1,test,0.5,0.5,1.0,13583.0,0.6934701587787818,13215.0,13215.0,16.30622955444774,0.5,15.80622955444774,0.6454391518810277,-1.9475976598476716,full_fill_at_mid_no_queue,0.9729073106088493,ok,
logistic,classical,fold_1,test,0.5,1.0,1.0,13583.0,0.6934701587787818,13215.0,13215.0,16.30622955444774,1.0,15.30622955444774,0.6454391518810277,-1.9475976598476716,full_fill_at_mid_no_queue,0.9729073106088493,ok,
logistic,classical,fold_1,test,0.5,5.0,1.0,13583.0,0.6934701587787818,13215.0,13215.0,16.30622955444774,5.0,11.30622955444774,0.6454391518810277,-1.9475976598476716,full_fill_at_mid_no_queue,0.9729073106088493,ok,
logistic,classical,fold_1,test,0.6,0.0,0.0,8022.0,0.409536450888299,7849.0,7849.0,24.51382633506251,0.0,24.51382633506251,0.694091249065071,0.0,full_fill_at_mid_no_queue,0.9784343056594366,ok,
