model_name,split,confidence_threshold,cost_bps,latency_steps,fold_count,coverage_mean,eligible_predictions_mean,turnover_proxy_mean,gross_signal_return_proxy_mean,cost_proxy_mean,net_signal_return_proxy_mean,net_signal_return_proxy_std,hit_rate_proxy_mean,status
elastic_net,test,0.0,0.0,0,5,1.0,16671.4,15811.0,19.697543779947186,0.0,19.697543779947186,4.0518727346809555,0.6021972891566216,ok
elastic_net,test,0.0,0.0,1,5,1.0,16670.4,15810.0,19.538370452466474,0.0,19.538370452466474,4.01740915201062,0.6021978086154889,ok
elastic_net,test,0.0,0.5,0,5,1.0,16671.4,15811.0,19.697543779947186,0.5,19.197543779947186,4.0518727346809555,0.6021972891566216,ok
elastic_net,test,0.0,0.5,1,5,1.0,16670.4,15810.0,19.538370452466474,0.5,19.038370452466474,4.01740915201062,0.6021978086154889,ok
elastic_net,test,0.0,1.0,0,5,1.0,16671.4,15811.0,19.697543779947186,1.0,18.697543779947186,4.0518727346809555,0.6021972891566216,ok
elastic_net,test,0.0,1.0,1,5,1.0,16670.4,15810.0,19.538370452466474,1.0,18.538370452466474,4.01740915201062,0.6021978086154889,ok
elastic_net,test,0.0,5.0,0,5,1.0,16671.4,15811.0,19.697543779947186,5.0,14.697543779947182,4.051872734680955,0.6021972891566216,ok
elastic_net,test,0.0,5.0,1,5,1.0,16670.4,15810.0,19.538370452466474,5.0,14.538370452466475,4.01740915201062,0.6021978086154889,ok
elastic_net,test,0.5,0.0,0,5,0.7143268959146806,11815.4,11652.2,18.2037569019253,0.0,18.2037569019253,4.5722148174931085,0.664685541534993,ok
elastic_net,test,0.5,0.0,1,5,0.7143152776614554,11814.6,11651.4,18.56750104014999,0.0,18.56750104014999,4.452740866772065,0.6646794719826878,ok
elastic_net,test,0.5,0.5,0,5,0.7143268959146806,11815.4,11652.2,18.2037569019253,0.5,17.7037569019253,4.5722148174931085,0.664685541534993,ok
elastic_net,test,0.5,0.5,1,5,0.7143152776614554,11814.6,11651.4,18.56750104014999,0.5,18.06750104014999,4.452740866772065,0.6646794719826878,ok
elastic_net,test,0.5,1.0,0,5,0.7143268959146806,11815.4,11652.2,18.2037569019253,1.0,17.2037569019253,4.5722148174931085,0.664685541534993,ok
elastic_net,test,0.5,1.0,1,5,0.7143152776614554,11814.6,11651.4,18.56750104014999,1.0,17.56750104014999,4.452740866772065,0.6646794719826878,ok
elastic_net,test,0.5,5.0,0,5,0.7143268959146806,11815.4,11652.2,18.2037569019253,5.0,13.2037569019253,4.572214817493108,0.664685541534993,ok
elastic_net,test,0.5,5.0,1,5,0.7143152776614554,11814.6,11651.4,18.56750104014999,5.0,13.567501040149988,4.452740866772065,0.6646794719826878,ok
elastic_net,test,0.6,0.0,0,5,0.4437787847250337,7270.2,7202.4,18.29805980287593,0.0,18.29805980287593,7.90071966344279,0.7140105673425973,ok
elastic_net,test,0.6,0.0,1,5,0.4438036879572153,7270.2,7202.4,19.775500596949254,0.0,19.775500596949254,5.687625706962374,0.7140107851299741,ok
elastic_net,test,0.6,0.5,0,5,0.4437787847250337,7270.2,7202.4,18.29805980287593,0.5,17.79805980287593,7.90071966344279,0.7140105673425973,ok
elastic_net,test,0.6,0.5,1,5,0.4438036879572153,7270.2,7202.4,19.775500596949254,0.5,19.275500596949254,5.687625706962374,0.7140107851299741,ok
elastic_net,test,0.6,1.0,0,5,0.4437787847250337,7270.2,7202.4,18.29805980287593,1.0,17.29805980287593,7.90071966344279,0.7140105673425973,ok
elastic_net,test,0.6,1.0,1,5,0.4438036879572153,7270.2,7202.4,19.775500596949254,1.0,18.775500596949254,5.687625706962374,0.7140107851299741,ok
elastic_net,test,0.6,5.0,0,5,0.4437787847250337,7270.2,7202.4,18.29805980287593,5.0,13.29805980287593,7.90071966344279,0.7140105673425973,ok
elastic_net,test,0.6,5.0,1,5,0.4438036879572153,7270.2,7202.4,19.775500596949254,5.0,14.775500596949254,5.687625706962374,0.7140107851299741,ok
elastic_net,test,0.7,0.0,0,5,0.20432316028915443,3326.2,3293.2,23.433327247870714,0.0,23.433327247870714,18.574434578235664,0.7695209616545303,ok
elastic_net,test,0.7,0.0,1,5,0.2043331394462249,3326.2,3293.2,23.621104334733147,0.0,23.621104334733147,15.89692823288222,0.7695151003860924,ok
elastic_net,test,0.7,0.5,0,5,0.20432316028915443,3326.2,3293.2,23.433327247870714,0.5,22.933327247870714,18.574434578235664,0.7695209616545303,ok
elastic_net,test,0.7,0.5,1,5,0.2043331394462249,3326.2,3293.2,23.621104334733147,0.5,23.121104334733147,15.89692823288222,0.7695151003860924,ok
elastic_net,test,0.7,1.0,0,5,0.20432316028915443,3326.2,3293.2,23.433327247870714,1.0,22.433327247870714,18.574434578235664,0.7695209616545303,ok
elastic_net,test,0.7,1.0,1,5,0.2043331394462249,3326.2,3293.2,23.621104334733147,1.0,22.621104334733147,15.89692823288222,0.7695151003860924,ok
elastic_net,test,0.7,5.0,0,5,0.20432316028915443,3326.2,3293.2,23.433327247870714,5.0,18.433327247870714,18.574434578235664,0.7695209616545303,ok
elastic_net,test,0.7,5.0,1,5,0.2043331394462249,3326.2,3293.2,23.621104334733147,5.0,18.62110433473315,15.89692823288222,0.7695151003860924,ok
gradient_boosting,test,0.0,0.0,0,5,1.0,16671.4,15346.4,13.028808645291075,0.0,13.028808645291075,9.479706649377867,0.6197996238882171,ok
gradient_boosting,test,0.0,0.0,1,5,1.0,16670.4,15345.6,10.597473661826209,0.0,10.597473661826209,9.504684643159543,0.6198156748099248,ok
gradient_boosting,test,0.0,0.5,0,5,1.0,16671.4,15346.4,13.028808645291075,0.5,12.528808645291075,9.479706649377867,0.6197996238882171,ok
gradient_boosting,test,0.0,0.5,1,5,1.0,16670.4,15345.6,10.597473661826209,0.5,10.097473661826209,9.504684643159543,0.6198156748099248,ok
gradient_boosting,test,0.0,1.0,0,5,1.0,16671.4,15346.4,13.028808645291075,1.0,12.028808645291075,9.479706649377867,0.6197996238882171,ok
gradient_boosting,test,0.0,1.0,1,5,1.0,16670.4,15345.6,10.597473661826209,1.0,9.597473661826209,9.504684643159543,0.6198156748099248,ok
gradient_boosting,test,0.0,5.0,0,5,1.0,16671.4,15346.4,13.028808645291075,5.0,8.028808645291075,9.479706649377867,0.6197996238882171,ok
gradient_boosting,test,0.0,5.0,1,5,1.0,16670.4,15345.6,10.597473661826209,5.0,5.597473661826209,9.504684643159543,0.6198156748099248,ok
gradient_boosting,test,0.5,0.0,0,5,0.7223532995933841,12012.0,11680.0,12.174072871674399,0.0,12.174072871674399,6.872261769219748,0.6933600895951877,ok
gradient_boosting,test,0.5,0.0,1,5,0.7223711224583811,12011.6,11679.6,10.963677774452469,0.0,10.963677774452469,6.567409510169981,0.6933569283998805,ok
gradient_boosting,test,0.5,0.5,0,5,0.7223532995933841,12012.0,11680.0,12.174072871674399,0.5,11.674072871674399,6.872261769219748,0.6933600895951877,ok
gradient_boosting,test,0.5,0.5,1,5,0.7223711224583811,12011.6,11679.6,10.963677774452469,0.5,10.463677774452469,6.567409510169981,0.6933569283998805,ok
gradient_boosting,test,0.5,1.0,0,5,0.7223532995933841,12012.0,11680.0,12.174072871674399,1.0,11.174072871674399,6.872261769219748,0.6933600895951877,ok
gradient_boosting,test,0.5,1.0,1,5,0.7223711224583811,12011.6,11679.6,10.963677774452469,1.0,9.963677774452469,6.567409510169981,0.6933569283998805,ok
gradient_boosting,test,0.5,5.0,0,5,0.7223532995933841,12012.0,11680.0,12.174072871674399,5.0,7.174072871674399,6.872261769219748,0.6933600895951877,ok
gradient_boosting,test,0.5,5.0,1,5,0.7223711224583811,12011.6,11679.6,10.963677774452469,5.0,5.963677774452472,6.567409510169981,0.6933569283998805,ok
gradient_boosting,test,0.6,0.0,0,5,0.5105436491935703,8445.4,8387.2,14.475989736957672,0.0,14.475989736957672,8.759493636778366,0.7423152849964688,ok
gradient_boosting,test,0.6,0.0,1,5,0.5105584074899282,8445.2,8387.0,13.903602382947241,0.0,13.903602382947241,7.483736635905614,0.74232260064067,ok
